,who,started,the,ipcc,trust,fund,?
the,0.3733934462070465,0.3222070634365082,1.0,0.24925659596920013,0.1622215360403061,0.25521403551101685,0.22068053483963013
ipcc,0.21932992339134216,0.16990435123443604,0.24925659596920013,1.0000001192092896,0.2939307987689972,0.2741919159889221,0.22295254468917847
receives,0.16410404443740845,0.09243928641080856,0.3246961534023285,0.16232241690158844,0.15045574307441711,0.23826801776885986,0.05022738128900528
funding,0.26179713010787964,0.26258668303489685,0.3006567358970642,0.3656329810619354,0.36900636553764343,0.6819530725479126,0.1842934638261795
through,0.17793183028697968,0.23243321478366852,0.44071322679519653,0.165289044380188,0.1389254927635193,0.1338927447795868,0.16913433372974396
the,0.3733934462070465,0.3222070634365082,1.0,0.24925659596920013,0.1622215360403061,0.25521403551101685,0.22068053483963013
ipcc,0.21932992339134216,0.16990435123443604,0.24925659596920013,1.0000001192092896,0.2939307987689972,0.2741919159889221,0.22295254468917847
trust,0.26026591658592224,0.13519364595413208,0.1622215360403061,0.2939307987689972,0.9999999403953552,0.3589370846748352,0.22135582566261292
fund,0.23413541913032532,0.20385578274726868,0.25521403551101685,0.2741919159889221,0.3589370846748352,1.0000001192092896,0.1883198469877243
",",0.3365725874900818,0.32632124423980713,0.4933079481124878,0.15590040385723114,0.2247854769229889,0.23835203051567078,0.31091248989105225
established,0.20118318498134613,0.34046173095703125,0.33092597126960754,0.17164510488510132,0.2398708313703537,0.19141703844070435,0.15917523205280304
in,0.2792111933231354,0.3199414014816284,0.6662389636039734,0.1257958561182022,0.1298469454050064,0.2148904800415039,0.20430970191955566
1989,-0.03504699468612671,0.03289297595620155,-0.009533590637147427,0.001188402296975255,0.03886013105511665,0.10497719794511795,0.08110656589269638
by,0.39727845788002014,0.24540266394615173,0.4408751428127289,0.18031758069992065,0.12204435467720032,0.20697960257530212,0.17966607213020325
the,0.3733934462070465,0.3222070634365082,1.0,0.24925659596920013,0.1622215360403061,0.25521403551101685,0.22068053483963013
united,0.21193812787532806,0.192592591047287,0.34367692470550537,0.18249520659446716,0.20965752005577087,0.26746538281440735,0.17266890406608582
nations,0.2393599897623062,0.18768036365509033,0.3506215214729309,0.3838126063346863,0.23613552749156952,0.3733983337879181,0.20999202132225037
environment,0.14066772162914276,0.11994541436433792,0.25819888710975647,0.3423258364200592,0.205848827958107,0.2226657122373581,0.19478057324886322
programme,0.2317163497209549,0.23375511169433594,0.23601844906806946,0.337318480014801,0.1933039128780365,0.41308289766311646,0.139840766787529
(,0.2443375140428543,0.15955166518688202,0.33289089798927307,0.13946431875228882,0.18995481729507446,0.20975804328918457,0.40561532974243164
unep,0.12486115097999573,0.10520609468221664,0.22770221531391144,0.5018112659454346,0.2828632593154907,0.41047072410583496,0.1842699944972992
),0.2457384318113327,0.19399096071720123,0.3456730246543884,0.12562119960784912,0.1898544430732727,0.17832009494304657,0.42300865054130554
and,0.41279885172843933,0.2649672031402588,0.5171257257461548,0.20790739357471466,0.2450493574142456,0.27788683772087097,0.20544172823429108
the,0.3733934462070465,0.3222070634365082,1.0,0.24925659596920013,0.1622215360403061,0.25521403551101685,0.22068053483963013
world,0.25158336758613586,0.24253439903259277,0.33604270219802856,0.24100589752197266,0.1547219604253769,0.3518523573875427,0.17579582333564758
meteorological,0.13748957216739655,0.16410024464130402,0.3060455918312073,0.41662874817848206,0.23127034306526184,0.2629138231277466,0.1928279548883438
organization,0.2852892577648163,0.2779216170310974,0.311172217130661,0.3586319088935852,0.22607697546482086,0.3992557227611542,0.2069297879934311
(,0.2443375140428543,0.15955166518688202,0.33289089798927307,0.13946431875228882,0.18995481729507446,0.20975804328918457,0.40561532974243164
wmo,0.18600276112556458,0.2078501135110855,0.2798992991447449,0.48331883549690247,0.28467774391174316,0.35176417231559753,0.24371813237667084
),0.2457384318113327,0.19399096071720123,0.3456730246543884,0.12562119960784912,0.1898544430732727,0.17832009494304657,0.42300865054130554
",",0.3365725874900818,0.32632124423980713,0.4933079481124878,0.15590040385723114,0.2247854769229889,0.23835203051567078,0.31091248989105225
costs,0.14388014376163483,0.16862939298152924,0.2180386483669281,0.30495911836624146,0.21774712204933167,0.30721166729927063,0.19150719046592712
of,0.2827862501144409,0.22928385436534882,0.733189046382904,0.20174051821231842,0.19332759082317352,0.27318620681762695,0.1826142966747284
the,0.3733934462070465,0.3222070634365082,1.0,0.24925659596920013,0.1622215360403061,0.25521403551101685,0.22068053483963013
secretary,0.2019355148077011,0.16791552305221558,0.23160062730312347,0.27420851588249207,0.14537879824638367,0.2620646357536316,0.10113837569952011
