,what,will,maidens,be,able,to,predict,by,floating,their,wreaths,down,the,vistula,?
the,0.42745697498321533,0.3635469079017639,0.31327053904533386,0.4248143136501312,0.3435857892036438,0.535392165184021,0.18473787605762482,0.4408751428127289,0.2539454996585846,0.516537070274353,0.2534267008304596,0.3325848877429962,1.0,0.36214977502822876,0.22068053483963013
festival,0.15385980904102325,0.15640363097190857,0.18900960683822632,0.13384279608726501,0.06660384684801102,0.19796393811702728,0.042124710977077484,0.14534176886081696,0.17073871195316315,0.08857966214418411,0.21408095955848694,0.037103187292814255,0.20982226729393005,0.14546586573123932,0.17767390608787537
traces,0.1702120304107666,0.1325700879096985,0.2512221336364746,0.22796346247196198,0.16037172079086304,0.2246864140033722,0.1306738406419754,0.183767169713974,0.22804129123687744,0.2330106496810913,0.19615240395069122,0.18527452647686005,0.281084805727005,0.1841311901807785,0.1317649632692337
its,0.30393704771995544,0.26816651225090027,0.19930468499660492,0.2731834948062897,0.20375588536262512,0.3691340684890747,0.21943172812461853,0.24398943781852722,0.2014181762933731,0.5367968082427979,0.17654667794704437,0.20866182446479797,0.559237003326416,0.2838554382324219,0.15103481709957123
roots,0.1585880070924759,0.21739858388900757,0.1709693968296051,0.17805854976177216,0.2027818262577057,0.2079821676015854,0.13654185831546783,0.15005692839622498,0.2101224660873413,0.28454190492630005,0.21056392788887024,0.16909100115299225,0.2583441734313965,0.19807754456996918,0.09478887915611267
to,0.455847829580307,0.5091033577919006,0.28681597113609314,0.4972836375236511,0.529755175113678,1.0,0.31216660141944885,0.33534231781959534,0.2381310909986496,0.44619059562683105,0.23230066895484924,0.33130598068237305,0.535392165184021,0.24119730293750763,0.29463258385658264
a,0.3320399522781372,0.3401327431201935,0.2343900054693222,0.39883795380592346,0.2874686121940613,0.45503583550453186,0.2002958208322525,0.32094135880470276,0.2704246938228607,0.29698723554611206,0.2100801318883896,0.2387222796678543,0.5829201340675354,0.219985231757164,0.23916715383529663
peaceful,0.222978875041008,0.20425501465797424,0.21192359924316406,0.2085193246603012,0.25080642104148865,0.25491172075271606,0.2016930878162384,0.10422609001398087,0.15346819162368774,0.250880628824234,0.18007776141166687,0.10948227345943451,0.2857564091682434,0.23210881650447845,0.12101484090089798
pagan,0.18590450286865234,0.16916638612747192,0.28702738881111145,0.18707075715065002,0.09572094678878784,0.24534784257411957,0.17872966825962067,0.17585429549217224,0.12510313093662262,0.21076460182666779,0.23571693897247314,0.16412463784217834,0.19929873943328857,0.17359311878681183,0.16176795959472656
ritual,0.245653435587883,0.1846216320991516,0.31639939546585083,0.2544384300708771,0.19489260017871857,0.23120997846126556,0.23601873219013214,0.1304728239774704,0.21742434799671173,0.3599405288696289,0.2375754415988922,0.10393763333559036,0.23994816839694977,0.10162388533353806,0.15727144479751587
