,what,is,the,mongolian,name,for,the,original,place,of,the,genghis,khan,mausoleum,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1663515418767929,0.2459065467119217,0.4322226941585541,0.6662389636039734,0.2534193694591522,0.38128477334976196,0.5696388483047485,0.6662389636039734,0.224680557847023,0.1527150720357895,0.18680685758590698,0.20430970191955566
1939,0.11055738478899002,0.1788119077682495,0.3322303593158722,0.05916043743491173,-0.006169744301587343,0.15358245372772217,0.3322303593158722,0.00449130916967988,0.15873298048973083,0.30115509033203125,0.3322303593158722,0.1600877046585083,0.0676528811454773,0.11770249158143997,-0.0777229517698288
chinese,0.11643128097057343,0.1841094046831131,0.2785343527793884,0.4981498718261719,0.14820076525211334,0.20530261099338531,0.2785343527793884,0.125518336892128,0.17312222719192505,0.24275560677051544,0.2785343527793884,0.37333089113235474,0.2961319386959076,0.10087592154741287,0.20843194425106049
nationalist,0.1691114753484726,0.14482536911964417,0.22491830587387085,0.2806508541107178,0.16816303133964539,0.13499049842357635,0.22491830587387085,0.12194423377513885,0.13786059617996216,0.1902468353509903,0.22491830587387085,0.29267993569374084,0.22517552971839905,0.1384599655866623,0.15158766508102417
soldiers,0.21669568121433258,0.18588946759700775,0.3038179576396942,0.1386696994304657,0.11703931540250778,0.24610382318496704,0.3038179576396942,0.12872596085071564,0.16792085766792297,0.26257410645484924,0.3038179576396942,0.2938748896121979,0.1459471732378006,0.3136537969112396,0.1779262125492096
took,0.1316593885421753,0.18076173961162567,0.31657639145851135,0.11427865922451019,0.19017894566059113,0.27585867047309875,0.31657639145851135,0.16769631206989288,0.46866047382354736,0.2766268849372864,0.31657639145851135,0.22911474108695984,0.14650984108448029,0.208164781332016,0.14109265804290771
the,0.42745697498321533,0.5823672413825989,1.0,0.2657795250415802,0.3171212375164032,0.4739971458911896,1.0,0.4037000238895416,0.4179787337779999,0.733189046382904,1.0,0.3448939025402069,0.21067845821380615,0.21872887015342712,0.22068053483963013
mausoleum,0.17127197980880737,0.2059832662343979,0.21872887015342712,0.15952788293361664,0.28629225492477417,0.13951098918914795,0.21872887015342712,0.07054932415485382,0.27786657214164734,0.2191164493560791,0.21872887015342712,0.4492964446544647,0.31974947452545166,1.0,0.1583869904279709
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.1933802217245102,0.2635002136230469,0.314039945602417,0.40150508284568787,0.233787402510643,0.31214648485183716,0.4249346852302551,0.40150508284568787,0.19071364402770996,0.10581372678279877,0.1194143071770668,0.19969791173934937
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.21263815462589264,0.317160964012146,0.2992613911628723,0.559237003326416,0.38020971417427063,0.27794507145881653,0.48690423369407654,0.559237003326416,0.24289198219776154,0.1278151124715805,0.13149148225784302,0.15103481709957123
position,0.22031237185001373,0.19614431262016296,0.3183514177799225,0.04893342778086662,0.1538318544626236,0.27123650908470154,0.3183514177799225,0.06623539328575134,0.3035970628261566,0.23636478185653687,0.3183514177799225,0.16473393142223358,0.14742031693458557,0.1863144189119339,0.15529610216617584
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.1129956841468811,0.11450952291488647,0.34237727522850037,0.457212895154953,0.15838190913200378,0.3307865858078003,0.42558613419532776,0.457212895154953,0.17962470650672913,0.15931449830532074,0.22389397025108337,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.2657795250415802,0.3171212375164032,0.4739971458911896,1.0,0.4037000238895416,0.4179787337779999,0.733189046382904,1.0,0.3448939025402069,0.21067845821380615,0.21872887015342712,0.22068053483963013
'lord,0.21743430197238922,0.16976600885391235,0.26537758111953735,0.2382669895887375,0.2838965952396393,0.2297411412000656,0.26537758111953735,0.14232942461967468,0.2129301279783249,0.22136610746383667,0.26537758111953735,0.337172269821167,0.23310637474060059,0.17795757949352264,0.1337779462337494
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.009959477931261063,0.08507627248764038,-0.07241261005401611,-0.01540423184633255,0.0564689077436924,-0.03236493840813637,-0.03817026689648628,-0.01540423184633255,0.031423866748809814,0.05307086929678917,-0.04253236949443817,-0.023395681753754616
enclosure,0.10522505640983582,0.24033379554748535,0.24255360662937164,0.21948876976966858,0.22642730176448822,0.20757339894771576,0.24255360662937164,0.20390397310256958,0.23353886604309082,0.1644057333469391,0.24255360662937164,0.160613551735878,0.1126694530248642,0.18429061770439148,0.0959763452410698
',0.3245812654495239,0.5508411526679993,0.474788099527359,0.23851099610328674,0.3737941086292267,0.31184524297714233,0.474788099527359,0.26560282707214355,0.29779911041259766,0.39136970043182373,0.474788099527359,0.24026870727539062,0.17487680912017822,0.23212814331054688,0.330942302942276
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.22146162390708923,0.2706909477710724,0.3357032239437103,0.33289089798927307,0.24095207452774048,0.20666886866092682,0.35032153129577637,0.33289089798927307,0.2257842868566513,0.1773909628391266,0.18366412818431854,0.40561532974243164
mongolian,0.15557456016540527,0.20271806418895721,0.2657795250415802,0.9999999403953552,0.19098106026649475,0.1855597198009491,0.2657795250415802,0.15135663747787476,0.14348414540290833,0.22608324885368347,0.2657795250415802,0.463535338640213,0.4463278353214264,0.15952788293361664,0.13122369349002838
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,0.01640564575791359,-0.0774015560746193,-0.02522280067205429,-0.03403344005346298,-0.12546323239803314,0.052159421145915985,-0.08807745575904846,-0.03403344005346298,-0.06470442563295364,-0.01070716418325901,-0.16682662069797516,-0.07156077772378922
edsen,0.13635244965553284,0.1416548192501068,0.1894557625055313,0.11344612389802933,0.1358862966299057,0.22024759650230408,0.1894557625055313,0.16417504847049713,0.12194665521383286,0.18870428204536438,0.1894557625055313,0.14755648374557495,0.13444232940673828,0.08908278495073318,0.14977885782718658
khoroo,0.22866857051849365,0.26841533184051514,0.29632309079170227,0.4331258237361908,0.20258040726184845,0.17639759182929993,0.29632309079170227,0.15721112489700317,0.1784498542547226,0.2613096833229065,0.29632309079170227,0.505858302116394,0.5113955140113831,0.3560255169868469,0.18816590309143066
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.23745420575141907,0.2638341188430786,0.3639558255672455,0.3456730246543884,0.24932408332824707,0.2269994467496872,0.3680361211299896,0.3456730246543884,0.24887141585350037,0.2105041742324829,0.18726271390914917,0.42300865054130554
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1663515418767929,0.2459065467119217,0.4322226941585541,0.6662389636039734,0.2534193694591522,0.38128477334976196,0.5696388483047485,0.6662389636039734,0.224680557847023,0.1527150720357895,0.18680685758590698,0.20430970191955566
mongolia,0.18044717609882355,0.19608411192893982,0.26887956261634827,0.875663697719574,0.18427474796772003,0.17332881689071655,0.26887956261634827,0.11219649016857147,0.1752169281244278,0.24969549477100372,0.26887956261634827,0.4294305145740509,0.37883228063583374,0.18481379747390747,0.12165829539299011
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.152916818857193,0.27806994318962097,0.4451248347759247,0.535392165184021,0.30182456970214844,0.3346366882324219,0.41548454761505127,0.535392165184021,0.2294713407754898,0.18221943080425262,0.18265455961227417,0.29463258385658264
protect,0.25314101576805115,0.17850741744041443,0.2559677064418793,0.12103915959596634,0.12270667403936386,0.22508934140205383,0.2559677064418793,0.11518462747335434,0.17242535948753357,0.19880573451519012,0.2559677064418793,0.13152733445167542,0.11798761039972305,0.17887359857559204,0.20180222392082214
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.1867443174123764,0.2910972535610199,0.32171204686164856,0.6251175999641418,0.3096504509449005,0.3763352930545807,0.38761502504348755,0.6251175999641418,0.2149120718240738,0.13704395294189453,0.16123519837856293,0.25732165575027466
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.1933802217245102,0.2635002136230469,0.314039945602417,0.40150508284568787,0.233787402510643,0.31214648485183716,0.4249346852302551,0.40150508284568787,0.19071364402770996,0.10581372678279877,0.1194143071770668,0.19969791173934937
japanese,0.16184724867343903,0.20400524139404297,0.21599429845809937,0.3324437439441681,0.14053042232990265,0.2696073353290558,0.21599429845809937,0.1682860255241394,0.14308030903339386,0.2048201858997345,0.21599429845809937,0.27006760239601135,0.1574859321117401,0.12094403803348541,0.12021756172180176
troops,0.18311697244644165,0.1506398767232895,0.3229958415031433,0.19204458594322205,0.08645994961261749,0.1535932570695877,0.3229958415031433,0.10572373867034912,0.15000279247760773,0.23602326214313507,0.3229958415031433,0.3267284333705902,0.14378459751605988,0.2968554198741913,0.14329779148101807
