,what,does,the,chloroplast,peripheral,reticulum,do,?
its,0.30393704771995544,0.33437713980674744,0.559237003326416,0.21647074818611145,0.21195398271083832,0.19071552157402039,0.18495778739452362,0.15103481709957123
purpose,0.33113807439804077,0.2970634996891022,0.3061215281486511,0.22679267823696136,0.20987378060817719,0.14764322340488434,0.3402831554412842,0.21892647445201874
is,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.20798198878765106,0.22493493556976318,0.2396506369113922,0.30895981192588806,0.22961433231830597
thought,0.4469435214996338,0.2166185975074768,0.3509289622306824,0.24722152948379517,0.13010559976100922,0.17107750475406647,0.2794938385486603,0.2600135803222656
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.22531428933143616,0.22708146274089813,0.15765216946601868,0.38876664638519287,0.29463258385658264
be,0.3929833769798279,0.28696945309638977,0.4248143136501312,0.26292285323143005,0.2462623417377472,0.21676214039325714,0.36575672030448914,0.3324260413646698
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.22531428933143616,0.22708146274089813,0.15765216946601868,0.38876664638519287,0.29463258385658264
increase,0.21153631806373596,0.19757407903671265,0.32049667835235596,0.1669124811887741,0.30469125509262085,0.17381539940834045,0.25109392404556274,0.11119163036346436
the,0.42745697498321533,0.35928019881248474,1.0,0.21317854523658752,0.24567924439907074,0.20027446746826172,0.30239659547805786,0.22068053483963013
chloroplast,0.23505516350269318,0.1991560012102127,0.21317854523658752,1.0000001192092896,0.3224060833454132,0.4972609281539917,0.2310386300086975,0.12532055377960205
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,-0.026425376534461975,0.01808743365108967,-0.01829817146062851,-0.01994597539305687,-0.023395681753754616
surface,0.23580394685268402,0.22910720109939575,0.2555135488510132,0.41422098875045776,0.25608864426612854,0.30845367908477783,0.17361098527908325,0.14613434672355652
area,0.21965408325195312,0.13779224455356598,0.37834644317626953,0.20941755175590515,0.19774071872234344,0.13692587614059448,0.19017988443374634,0.12640461325645447
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.20160506665706635,0.18961456418037415,0.08548585325479507,0.29510271549224854,0.264628142118454
cross-membrane,0.22160665690898895,0.22565792500972748,0.2946946620941162,0.5735757946968079,0.3813383877277374,0.520224392414093,0.2040054202079773,0.21885083615779877
transport,0.1845296025276184,0.1687224954366684,0.2433847039937973,0.20627455413341522,0.21472541987895966,0.17990979552268982,0.18837910890579224,0.16607823967933655
between,0.2462156116962433,0.16966454684734344,0.39067012071609497,0.1229001060128212,0.23497535288333893,0.14559170603752136,0.14014670252799988,0.12887074053287506
its,0.30393704771995544,0.33437713980674744,0.559237003326416,0.21647074818611145,0.21195398271083832,0.19071552157402039,0.18495778739452362,0.15103481709957123
stroma,0.17679446935653687,0.07226124405860901,0.17211614549160004,0.30717533826828003,0.18060354888439178,0.31472161412239075,0.13022096455097198,0.15478113293647766
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.19758054614067078,0.23786334693431854,0.16602884232997894,0.276123583316803,0.20544172823429108
the,0.42745697498321533,0.35928019881248474,1.0,0.21317854523658752,0.24567924439907074,0.20027446746826172,0.30239659547805786,0.22068053483963013
cell,0.19222842156887054,0.22726690769195557,0.15822452306747437,0.5453585982322693,0.2974461019039154,0.37691551446914673,0.19975709915161133,0.2058541625738144
cytoplasm,0.2066272348165512,0.24066995084285736,0.21346431970596313,0.7445112466812134,0.41143670678138733,0.5956538915634155,0.2390817254781723,0.1524042785167694
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.2371024191379547,0.1677653044462204,0.17076565325260162,0.3613996207714081,0.4130953550338745
