,what,did,the,meeting,often,become,in,argument,?
according,0.2776208221912384,0.19118738174438477,0.3202974498271942,0.1716775894165039,0.2337951511144638,0.1681850105524063,0.29259276390075684,0.12044166773557663,0.21173474192619324
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.2453547865152359,0.4351843297481537,0.36996012926101685,0.45010748505592346,0.25077900290489197,0.29463258385658264
transcripts,0.20331954956054688,0.15883801877498627,0.23820297420024872,0.15852609276771545,0.21493664383888245,0.10236627608537674,0.17222614586353302,0.22469116747379303,0.18820200860500336
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.25274211168289185,0.24139221012592316,0.29676204919815063,0.5201468467712402,0.2048395276069641,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.3390691578388214,0.38004449009895325,0.31731709837913513,0.6662389636039734,0.19591176509857178,0.22068053483963013
debate,0.2918691337108612,0.2533755600452423,0.2608932852745056,0.3601788878440857,0.17984803020954132,0.20789945125579834,0.1971871554851532,0.42616742849349976,0.227684885263443
sometimes,0.34229418635368347,0.28058236837387085,0.35816407203674316,0.20880767703056335,0.791614830493927,0.22968845069408417,0.31462913751602173,0.1368297040462494,0.1751544177532196
became,0.1434093862771988,0.3632316589355469,0.36325156688690186,0.242351233959198,0.22337526082992554,0.6258460283279419,0.31047213077545166,0.06663556396961212,0.11374033987522125
confrontational,0.2955373525619507,0.23832102119922638,0.2618546485900879,0.23437905311584473,0.3148108124732971,0.2537652552127838,0.24361640214920044,0.3744138181209564,0.18393896520137787
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.23260334134101868,0.30710849165916443,0.32859939336776733,0.5591574311256409,0.22240370512008667,0.4130953550338745
