,what,is,the,effect,of,testosterone,on,the,male,immune,system,?
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.21400253474712372,0.3646814823150635,0.18873554468154907,0.33887791633605957,0.4408751428127289,0.16616706550121307,0.17260463535785675,0.23017624020576477,0.17966607213020325
contrast,0.2773490250110626,0.2659924328327179,0.25799670815467834,0.329667866230011,0.3046875298023224,0.2812913954257965,0.15723036229610443,0.25799670815467834,0.22396600246429443,0.23172810673713684,0.22354324162006378,0.15469981729984283
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2150653600692749,0.4946078956127167,0.26711559295654297,0.49057599902153015,0.4933079481124878,0.19301897287368774,0.15102852880954742,0.18439900875091553,0.31091248989105225
male,0.18103918433189392,0.16562317311763763,0.2487100213766098,0.10828302055597305,0.22521720826625824,0.3841693103313446,0.11993876099586487,0.2487100213766098,0.9999999403953552,0.2276230752468109,0.198040172457695,0.14269542694091797
sex,0.21047964692115784,0.19569729268550873,0.20066885650157928,0.16070346534252167,0.18436278402805328,0.4793330132961273,0.20542368292808533,0.20066885650157928,0.39711979031562805,0.24771429598331451,0.16046813130378723,0.16873355209827423
hormones,0.23283596336841583,0.22572803497314453,0.2688761353492737,0.3259052038192749,0.23877643048763275,0.7317337393760681,0.19494305551052094,0.2688761353492737,0.34959715604782104,0.460243821144104,0.3152490556240082,0.17588594555854797
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.2521497309207916,0.3209529519081116,0.29374051094055176,0.3181164264678955,0.3575236201286316,0.17458467185497284,0.25108346343040466,0.22472473978996277,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.23823627829551697,0.3886612355709076,0.24986328184604645,0.36047765612602234,0.48381632566452026,0.20037491619586945,0.17487213015556335,0.1973835676908493,0.27043893933296204
testosterone,0.2379399687051773,0.2575964033603668,0.28217458724975586,0.29499876499176025,0.27133500576019287,1.0,0.18152393400669098,0.28217458724975586,0.3841693103313446,0.40742722153663635,0.247820645570755,0.2018633931875229
seem,0.4162353277206421,0.2675134241580963,0.2749357521533966,0.29769474267959595,0.22733785212039948,0.2657894194126129,0.2438974529504776,0.2749357521533966,0.13138270378112793,0.2865665853023529,0.19513605535030365,0.42079484462738037
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2521958649158478,0.41548454761505127,0.2752327024936676,0.41031414270401,0.535392165184021,0.2270790934562683,0.2541976273059845,0.26662686467170715,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.3193022906780243,0.33904364705085754,0.27075251936912537,0.37900757789611816,0.4248143136501312,0.19419555366039276,0.24360142648220062,0.24878063797950745,0.3324260413646698
immunosuppressive,0.3023419678211212,0.24333392083644867,0.3146530091762543,0.3379061818122864,0.28317955136299133,0.48215410113334656,0.18347372114658356,0.3146530091762543,0.285417765378952,0.6806807518005371,0.40662553906440735,0.25029832124710083
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2277858853340149,0.5352458953857422,0.28848522901535034,0.49257001280784607,0.5934505462646484,0.26742851734161377,0.18267881870269775,0.2277725487947464,0.4130953550338745
