,how,many,species,were,found,in,the,burgess,shale,?
until,0.1887991726398468,0.2392696738243103,0.11830321699380875,0.3025567829608917,0.13776004314422607,0.38338494300842285,0.37191009521484375,0.1845209300518036,0.14976716041564941,0.20304496586322784
the,0.33890387415885925,0.4335206151008606,0.2522439956665039,0.3906462490558624,0.3452354073524475,0.6662389636039734,1.0,0.29409268498420715,0.24453260004520416,0.22068053483963013
mid-1990s,0.2270859330892563,0.18393245339393616,0.1697700470685959,0.26284703612327576,0.13530446588993073,0.2125282883644104,0.28892791271209717,0.0837666392326355,0.1512543112039566,0.10807175934314728
only,0.36590442061424255,0.4670507609844208,0.281429260969162,0.34466472268104553,0.32691848278045654,0.42992329597473145,0.5497692227363586,0.1589704155921936,0.19476985931396484,0.2767370045185089
two,0.2499001920223236,0.5147606730461121,0.22015008330345154,0.4493520259857178,0.20758113265037537,0.36463531851768494,0.43858039379119873,0.21888889372348785,0.16925403475761414,0.19645625352859497
specimens,0.15102258324623108,0.21994850039482117,0.6064462065696716,0.24251236021518707,0.3604154586791992,0.24355998635292053,0.23410636186599731,0.34818241000175476,0.4745596647262573,0.1360892504453659
good,0.34210968017578125,0.35262995958328247,0.15308763086795807,0.16221989691257477,0.1931091845035553,0.2152448445558548,0.2735973596572876,0.1782722771167755,0.13523797690868378,0.3187684714794159
enough,0.5173793435096741,0.3550691604614258,0.19057488441467285,0.2043992280960083,0.20299668610095978,0.24705477058887482,0.304282009601593,0.11121632903814316,0.1953641176223755,0.3526461720466614
for,0.3308170735836029,0.40972793102264404,0.18632523715496063,0.33592689037323,0.19707661867141724,0.4322226941585541,0.4739971458911896,0.18602319061756134,0.13687050342559814,0.264628142118454
analysis,0.289559006690979,0.21450452506542206,0.2107149064540863,0.1901683509349823,0.20896293222904205,0.19403725862503052,0.24241644144058228,0.22997726500034332,0.27247193455696106,0.15352053940296173
were,0.2082374095916748,0.4804460406303406,0.1773861199617386,1.0000001192092896,0.23296621441841125,0.3815755248069763,0.3906462490558624,0.19459830224514008,0.20866748690605164,0.17890112102031708
known,0.16194356977939606,0.30594465136528015,0.23394286632537842,0.2330206036567688,0.28190335631370544,0.32641831040382385,0.3624623417854309,0.2517542243003845,0.22569970786571503,0.18314571678638458
",",0.22659391164779663,0.40610817074775696,0.2223871648311615,0.36755475401878357,0.27385151386260986,0.5201468467712402,0.4933079481124878,0.3007594347000122,0.22224095463752747,0.31091248989105225
both,0.3017238676548004,0.5466644167900085,0.21688368916511536,0.4254525601863861,0.21142873167991638,0.3960166871547699,0.4931981563568115,0.20780950784683228,0.17201894521713257,0.19455738365650177
members,0.20418256521224976,0.25127971172332764,0.2584170401096344,0.30637234449386597,0.16746953129768372,0.196792870759964,0.3321719169616699,0.15454606711864471,0.11854273080825806,0.10212311148643494
of,0.2480744868516922,0.37253960967063904,0.23307405412197113,0.34038281440734863,0.2982911467552185,0.5696388483047485,0.733189046382904,0.2742835581302643,0.2277384102344513,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2522439956665039,0.3906462490558624,0.3452354073524475,0.6662389636039734,1.0,0.29409268498420715,0.24453260004520416,0.22068053483963013
crown,0.09327308088541031,0.12636713683605194,0.1478215754032135,0.2171589881181717,0.10500284284353256,0.2139754444360733,0.2646690607070923,0.12568295001983643,0.18852967023849487,0.09979621320962906
group,0.15481124818325043,0.2776661217212677,0.20361487567424774,0.2810588777065277,0.17715328931808472,0.2304753065109253,0.30795547366142273,0.13491398096084595,0.16825233399868011,0.13827809691429138
",",0.22659391164779663,0.40610817074775696,0.2223871648311615,0.36755475401878357,0.27385151386260986,0.5201468467712402,0.4933079481124878,0.3007594347000122,0.22224095463752747,0.31091248989105225
from,0.22939439117908478,0.33099696040153503,0.16350167989730835,0.29991888999938965,0.15488772094249725,0.4274188280105591,0.40150508284568787,0.19880302250385284,0.2307828813791275,0.19969791173934937
the,0.33890387415885925,0.4335206151008606,0.2522439956665039,0.3906462490558624,0.3452354073524475,0.6662389636039734,1.0,0.29409268498420715,0.24453260004520416,0.22068053483963013
early,0.2415190190076828,0.4033903181552887,0.13013428449630737,0.39198037981987,0.1977369338274002,0.34672921895980835,0.34442198276519775,0.3121575713157654,0.3055275082588196,0.15272949635982513
devonian,0.1767531931400299,0.26160356402397156,0.4170888066291809,0.29631656408309937,0.26205164194107056,0.250771164894104,0.2667551338672638,0.4191667437553406,0.5282813310623169,0.13839656114578247
(,0.1676948219537735,0.1455259770154953,0.18460895121097565,0.14743882417678833,0.1583331823348999,0.3087427020072937,0.33289089798927307,0.2050301879644394,0.15847787261009216,0.40561532974243164
emsian,0.08339785039424896,0.11004392802715302,0.15061576664447784,0.1276400238275528,0.13567663729190826,0.1550591140985489,0.22147199511528015,0.25555455684661865,0.29041042923927307,0.08392149209976196
),0.17939934134483337,0.16602720320224762,0.1479661911725998,0.1566188633441925,0.16750772297382355,0.3326910734176636,0.3456730246543884,0.20590755343437195,0.15032097697257996,0.42300865054130554
period,0.22695960104465485,0.23770453035831451,0.15919160842895508,0.2902187407016754,0.13365647196769714,0.23051127791404724,0.3125074505805969,0.20139597356319427,0.30961135029792786,0.18706195056438446
.,0.3287222981452942,0.3974229395389557,0.25772613286972046,0.3378238379955292,0.3618174195289612,0.5591574311256409,0.5934505462646484,0.26663103699684143,0.19338805973529816,0.4130953550338745
