,what,theatre,was,the,best,example,of,``,polish,monumental,theatre,'',?
the,0.42745697498321533,0.25594043731689453,0.48711544275283813,1.0,0.3134109377861023,0.3755223751068115,0.733189046382904,0.029072100296616554,0.17708231508731842,0.23950743675231934,0.25594043731689453,0.041273195296525955,0.22068053483963013
wojciech,0.09873118251562119,0.18992066383361816,0.30762383341789246,0.18935735523700714,0.19677849113941193,0.054375484585762024,0.19156455993652344,0.16201840341091156,0.5398034453392029,0.20264782011508942,0.18992066383361816,-0.021531211212277412,0.1739315390586853
bogusławski,0.13991113007068634,0.29968398809432983,0.31172776222229004,0.212633416056633,0.22690583765506744,0.13950541615486145,0.19308781623840332,0.14383798837661743,0.6179146766662598,0.18114431202411652,0.29968398809432983,0.01356907095760107,0.24225881695747375
theatre,0.12211663275957108,1.0,0.2824205458164215,0.25594043731689453,0.17998507618904114,0.12828560173511505,0.19807180762290955,-0.0195930115878582,0.2685227692127228,0.18979796767234802,1.0,-0.006966894958168268,0.1159285232424736
(,0.2411840260028839,0.1672268509864807,0.2980341613292694,0.33289089798927307,0.31621530652046204,0.23614145815372467,0.35032153129577637,0.15585018694400787,0.19593769311904907,0.20829977095127106,0.1672268509864807,-0.022970275953412056,0.40561532974243164
1922–26,0.027110794559121132,0.0856148973107338,0.1542171835899353,0.09039182960987091,0.014018060639500618,-0.00841070618480444,0.10928292572498322,0.025448784232139587,0.120889812707901,0.07436078786849976,0.0856148973107338,0.06405031681060791,-0.08003212511539459
),0.26259949803352356,0.1977372169494629,0.3267642855644226,0.3456730246543884,0.32877472043037415,0.26101627945899963,0.3680361211299896,0.1698397845029831,0.2044559121131897,0.19942393898963928,0.1977372169494629,-0.028269650414586067,0.42300865054130554
",",0.3087472915649414,0.29216358065605164,0.45456063747406006,0.4933079481124878,0.3461092710494995,0.3094974756240845,0.4946078956127167,0.09681109338998795,0.2655222415924072,0.20676082372665405,0.29216358065605164,-0.037358131259679794,0.31091248989105225
was,0.22111038863658905,0.2824205458164215,1.0000001192092896,0.48711544275283813,0.2817839980125427,0.16563157737255096,0.4069072902202606,-0.012679691426455975,0.2319551259279251,0.2486848384141922,0.2824205458164215,0.04456103965640068,0.18412111699581146
the,0.42745697498321533,0.25594043731689453,0.48711544275283813,1.0,0.3134109377861023,0.3755223751068115,0.733189046382904,0.029072100296616554,0.17708231508731842,0.23950743675231934,0.25594043731689453,0.041273195296525955,0.22068053483963013
best,0.3036847710609436,0.17998507618904114,0.2817839980125427,0.3134109377861023,0.9999999403953552,0.21846425533294678,0.23660683631896973,-0.05679536238312721,0.11395196616649628,0.20654839277267456,0.17998507618904114,-0.027235809713602066,0.2799045741558075
example,0.3456268310546875,0.12828560173511505,0.16563157737255096,0.3755223751068115,0.21846425533294678,1.0,0.3570667505264282,0.17130611836910248,0.1425188183784485,0.09117951989173889,0.12828560173511505,-0.021546287462115288,0.30374911427497864
of,0.33290785551071167,0.19807180762290955,0.4069072902202606,0.733189046382904,0.23660683631896973,0.3570667505264282,1.0,0.06780257821083069,0.16866981983184814,0.24469900131225586,0.19807180762290955,0.13035868108272552,0.1826142966747284
``,0.008517155423760414,-0.0195930115878582,-0.012679691426455975,0.029072100296616554,-0.05679536238312721,0.17130611836910248,0.06780257821083069,1.0,0.10945833474397659,-0.0548614077270031,-0.0195930115878582,-0.09173435717821121,0.0685480609536171
polish,0.08233486860990524,0.2685227692127228,0.2319551259279251,0.17708231508731842,0.11395196616649628,0.1425188183784485,0.16866981983184814,0.10945833474397659,1.0,0.19589076936244965,0.2685227692127228,0.01368777360767126,0.14012759923934937
monumental,0.1396486610174179,0.18979796767234802,0.2486848384141922,0.23950743675231934,0.20654839277267456,0.09117951989173889,0.24469900131225586,-0.0548614077270031,0.19589076936244965,1.0000001192092896,0.18979796767234802,0.015605421736836433,0.15341590344905853
theatre,0.12211663275957108,1.0,0.2824205458164215,0.25594043731689453,0.17998507618904114,0.12828560173511505,0.19807180762290955,-0.0195930115878582,0.2685227692127228,0.18979796767234802,1.0,-0.006966894958168268,0.1159285232424736
'',0.08143015950918198,-0.006966894958168268,0.04456103965640068,0.041273195296525955,-0.027235809713602066,-0.021546287462115288,0.13035868108272552,-0.09173435717821121,0.01368777360767126,0.015605421736836433,-0.006966894958168268,1.0,0.018684765323996544
.,0.3567904531955719,0.2394188642501831,0.40146201848983765,0.5934505462646484,0.31068575382232666,0.41217929124832153,0.5352458953857422,0.05720457062125206,0.23422029614448547,0.21467505395412445,0.2394188642501831,-0.07181349396705627,0.4130953550338745
