,what,year,did,newcastle,first,develop,its,cycling,strategy,?
following,0.2506418824195862,0.2646180987358093,0.28040066361427307,0.09307809174060822,0.27108168601989746,0.16403022408485413,0.23075145483016968,0.1531609743833542,0.19831222295761108,0.1555173695087433
guidelines,0.46523067355155945,0.23884189128875732,0.26571422815322876,0.13223695755004883,0.15335631370544434,0.26188036799430847,0.17785249650478363,0.19771313667297363,0.2865864336490631,0.4335061311721802
set,0.28954121470451355,0.16030070185661316,0.19107604026794434,0.08309553563594818,0.2683366537094116,0.1874939203262329,0.21010567247867584,0.13579043745994568,0.16664260625839233,0.1698019951581955
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.19270820915699005,0.4127444326877594,0.22882415354251862,0.3793783485889435,0.22398041188716888,0.2451205551624298,0.20430970191955566
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2253497689962387,0.49448907375335693,0.26276466250419617,0.559237003326416,0.23055073618888855,0.2895500361919403,0.22068053483963013
national,0.16882304847240448,0.20261619985103607,0.17743784189224243,0.20298312604427338,0.2272171974182129,0.12234316021203995,0.22022826969623566,0.32714104652404785,0.1403302401304245,0.15643028914928436
cycling,0.17575226724147797,0.17669342458248138,0.10485590249300003,0.11167410761117935,0.16335615515708923,0.09129555523395538,0.13479956984519958,0.9999999403953552,0.1390445977449417,0.06800638884305954
strategy,0.25034767389297485,0.18932296335697174,0.20865093171596527,0.16229629516601562,0.21854466199874878,0.3245605528354645,0.2501945197582245,0.1390445977449417,1.0,0.22400954365730286
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.251589834690094,0.34503069519996643,0.17652153968811035,0.33157986402511597,0.16396504640579224,0.20894098281860352,0.31091248989105225
newcastle,0.16276082396507263,0.18703900277614594,0.18762841820716858,1.0000001192092896,0.2823651134967804,0.10341962426900864,0.19941815733909607,0.11167410761117935,0.16229629516601562,0.0902252271771431
first,0.28086137771606445,0.3099139928817749,0.33691170811653137,0.2823651134967804,1.0,0.1773870289325714,0.26377397775650024,0.16335615515708923,0.21854466199874878,0.18701928853988647
developed,0.15555569529533386,0.142215296626091,0.24445466697216034,0.14132197201251984,0.2750127613544464,0.6529664397239685,0.23622694611549377,0.09675809741020203,0.25869452953338623,0.10763012617826462
its,0.30393704771995544,0.15338382124900818,0.19922670722007751,0.19941815733909607,0.26377397775650024,0.28191232681274414,1.0,0.13479956984519958,0.2501945197582245,0.15103481709957123
cycling,0.17575226724147797,0.17669342458248138,0.10485590249300003,0.11167410761117935,0.16335615515708923,0.09129555523395538,0.13479956984519958,0.9999999403953552,0.1390445977449417,0.06800638884305954
strategy,0.25034767389297485,0.18932296335697174,0.20865093171596527,0.16229629516601562,0.21854466199874878,0.3245605528354645,0.2501945197582245,0.1390445977449417,1.0,0.22400954365730286
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.19270820915699005,0.4127444326877594,0.22882415354251862,0.3793783485889435,0.22398041188716888,0.2451205551624298,0.20430970191955566
1998,0.10774625837802887,-0.045153211802244186,0.1446981579065323,-0.03499091416597366,-0.025406846776604652,-0.027251511812210083,-0.10233842581510544,-0.04850399121642113,0.14395441114902496,0.11714459210634232
.,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.2714749276638031,0.4345304071903229,0.2532461881637573,0.3566088080406189,0.2063724845647812,0.24061113595962524,0.4130953550338745
