,where,did,tesla,run,to,avoid,the,army,draft,?
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.26368704438209534,0.45010748505592346,0.2092532515525818,0.6662389636039734,0.25258398056030273,0.19735127687454224,0.20430970191955566
1874,0.17637062072753906,0.1448199450969696,0.18908177316188812,0.21744529902935028,0.16703231632709503,0.07056868821382523,0.2737782895565033,0.2596690058708191,0.24405089020729065,0.15952123701572418
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.2309936285018921,0.44245919585227966,0.22226782143115997,0.4933079481124878,0.230897456407547,0.2209516018629074,0.31091248989105225
tesla,0.12761090695858002,0.09757418930530548,0.9999999403953552,0.17299385368824005,0.17548894882202148,0.04321841895580292,0.1324402391910553,0.12703821063041687,0.1519121676683426,0.10250775516033173
evaded,0.1836123764514923,0.2994097173213959,0.11831095069646835,0.27592340111732483,0.29878151416778564,0.37232670187950134,0.28425565361976624,0.27015867829322815,0.2279844880104065,0.29822131991386414
being,0.34980592131614685,0.27905046939849854,0.13586261868476868,0.23060333728790283,0.4514104127883911,0.31077301502227783,0.419739305973053,0.19246406853199005,0.21356116235256195,0.26743772625923157
drafted,0.19826921820640564,0.27433860301971436,0.10320170223712921,0.1323859989643097,0.17979004979133606,0.19145891070365906,0.21025162935256958,0.2635689973831177,0.801272451877594,0.14424492418766022
into,0.335035502910614,0.14888085424900055,0.13143925368785858,0.18940667808055878,0.38810545206069946,0.24638225138187408,0.39493247866630554,0.17944656312465668,0.17775486409664154,0.15662476420402527
the,0.5003893971443176,0.34736719727516174,0.1324402391910553,0.27883726358413696,0.535392165184021,0.24833035469055176,1.0,0.31011611223220825,0.2136591076850891,0.22068053483963013
austro-hungarian,0.13375119864940643,0.18044304847717285,0.30650296807289124,0.16105125844478607,0.1538388729095459,0.08759793639183044,0.1989392340183258,0.18462702631950378,0.1063215360045433,0.16446684300899506
army,0.16231663525104523,0.21148359775543213,0.12703821063041687,0.17200206220149994,0.22938482463359833,0.1596582978963852,0.31011611223220825,1.0000001192092896,0.15657581388950348,0.180583193898201
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.26368704438209534,0.45010748505592346,0.2092532515525818,0.6662389636039734,0.25258398056030273,0.19735127687454224,0.20430970191955566
smiljan,0.18663181364536285,0.17979542911052704,0.3143247961997986,0.16453850269317627,0.20419716835021973,0.17094098031520844,0.22545762360095978,0.1398782581090927,0.2501029670238495,0.2793274521827698
by,0.2641284465789795,0.18574509024620056,0.16513796150684357,0.1807866394519806,0.33534231781959534,0.2726847231388092,0.4408751428127289,0.2323688417673111,0.23971819877624512,0.17966607213020325
running,0.23675456643104553,0.23744943737983704,0.13063423335552216,0.6848446130752563,0.23381315171718597,0.21560944616794586,0.28883472084999084,0.07741998881101608,0.14055472612380981,0.15679655969142914
away,0.34789830446243286,0.2167721837759018,0.09422557801008224,0.2749141454696655,0.36056286096572876,0.29355332255363464,0.29030847549438477,0.2189924418926239,0.049854714423418045,0.15156377851963043
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.2691870927810669,1.0,0.33193957805633545,0.535392165184021,0.22938482463359833,0.20236501097679138,0.29463258385658264
tomingaj,0.17298543453216553,0.17888304591178894,0.2568499743938446,0.14411209523677826,0.22044764459133148,0.04584076255559921,0.2797015905380249,0.22279873490333557,0.09143203496932983,0.21797217428684235
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.2309936285018921,0.44245919585227966,0.22226782143115997,0.4933079481124878,0.230897456407547,0.2209516018629074,0.31091248989105225
near,0.4188554286956787,0.08748484402894974,0.08963809162378311,0.15551960468292236,0.2456841915845871,0.10564052313566208,0.2879819869995117,0.1663687378168106,0.07970917969942093,0.10734958201646805
gračac,0.18324951827526093,0.1253034919500351,0.24164746701717377,0.2773669958114624,0.1991540789604187,0.12130768597126007,0.26196956634521484,0.1486055701971054,0.20424029231071472,0.16939541697502136
.,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.2739698588848114,0.4645031690597534,0.19342699646949768,0.5934505462646484,0.28860729932785034,0.22211715579032898,0.4130953550338745
