,what,is,more,fundamental,than,force,in,quanton,field,theory,?
the,0.42745697498321533,0.5823672413825989,0.39758381247520447,0.3078918755054474,0.3227543234825134,0.2800885736942291,0.6662389636039734,0.27190664410591125,0.2105809599161148,0.2277156263589859,0.22068053483963013
conservation,0.18246638774871826,0.24397225677967072,0.20114439725875854,0.36098775267601013,0.15934714674949646,0.25110572576522827,0.24742233753204346,0.2455243319272995,0.2430250197649002,0.3168477714061737,0.1391831338405609
of,0.33290785551071167,0.4854315221309662,0.30478984117507935,0.35164782404899597,0.33036211133003235,0.27094775438308716,0.5696388483047485,0.30540937185287476,0.20410659909248352,0.23506702482700348,0.1826142966747284
momentum,0.2866780757904053,0.17100326716899872,0.2154543101787567,0.38371768593788147,0.20092380046844482,0.35530537366867065,0.1619764119386673,0.2480373978614807,0.2765187919139862,0.33396151661872864,0.1894138902425766
can,0.34502777457237244,0.44256699085235596,0.4044358730316162,0.21930468082427979,0.3532506823539734,0.18594154715538025,0.26527702808380127,0.18387079238891602,0.15660448372364044,0.18596251308918,0.3226337134838104
be,0.3929833769798279,0.4819129705429077,0.5445363521575928,0.2736985981464386,0.46516597270965576,0.16664405167102814,0.3481820821762085,0.21577215194702148,0.21388062834739685,0.2076098620891571,0.3324260413646698
directly,0.3618607521057129,0.2819631099700928,0.28171658515930176,0.22972604632377625,0.24932387471199036,0.1590159386396408,0.25104159116744995,0.133414626121521,0.19593633711338043,0.25070416927337646,0.2187996357679367
derived,0.20143714547157288,0.2666328251361847,0.15223826467990875,0.3135448396205902,0.1690080314874649,0.17452523112297058,0.17734654247760773,0.1865038126707077,0.14708241820335388,0.2599950134754181,0.1241099163889885
from,0.2737620174884796,0.27355384826660156,0.2529715299606323,0.1667722761631012,0.2633618414402008,0.14128944277763367,0.4274188280105591,0.08767176419496536,0.16799847781658173,0.11020279675722122,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,0.39758381247520447,0.3078918755054474,0.3227543234825134,0.2800885736942291,0.6662389636039734,0.27190664410591125,0.2105809599161148,0.2277156263589859,0.22068053483963013
homogeneity,0.34487152099609375,0.3259011209011078,0.3414672911167145,0.4440574645996094,0.320439875125885,0.17720474302768707,0.2508835792541504,0.28825923800468445,0.2625754475593567,0.4477250576019287,0.23343001306056976
or,0.33867141604423523,0.41870999336242676,0.41612157225608826,0.2565246820449829,0.5002588033676147,0.18476234376430511,0.3586423695087433,0.10959576070308685,0.23558464646339417,0.21121910214424133,0.32389625906944275
symmetry,0.25648990273475647,0.19170065224170685,0.2008073329925537,0.4196538031101227,0.18324606120586395,0.2362831085920334,0.1485697329044342,0.2424747496843338,0.24004288017749786,0.40724673867225647,0.1858944147825241
of,0.33290785551071167,0.4854315221309662,0.30478984117507935,0.35164782404899597,0.33036211133003235,0.27094775438308716,0.5696388483047485,0.30540937185287476,0.20410659909248352,0.23506702482700348,0.1826142966747284
space,0.20525942742824554,0.18578536808490753,0.21460022032260895,0.22121398150920868,0.20923641324043274,0.1929956078529358,0.17648501694202423,0.21561312675476074,0.2304641753435135,0.19928504526615143,0.1885536164045334
and,0.31309178471565247,0.3859752118587494,0.39880692958831787,0.27082425355911255,0.39361441135406494,0.24372100830078125,0.4954058527946472,0.25815895199775696,0.26487240195274353,0.1765792816877365,0.20544172823429108
so,0.539469838142395,0.3153412640094757,0.5254946947097778,0.28941333293914795,0.45253628492355347,0.25251442193984985,0.31275880336761475,0.19548901915550232,0.25050657987594604,0.27414456009864807,0.43163934350013733
is,0.28837618231773376,1.0,0.2946030795574188,0.21985967457294464,0.2839990258216858,0.22036980092525482,0.5394441485404968,0.20699696242809296,0.17269009351730347,0.19279582798480988,0.22961433231830597
usually,0.32521089911460876,0.4230746626853943,0.406992644071579,0.22365082800388336,0.444146990776062,0.18658389151096344,0.28848564624786377,0.10388144105672836,0.15064845979213715,0.18400928378105164,0.19435347616672516
considered,0.2834889590740204,0.4096149802207947,0.34512007236480713,0.286049485206604,0.3166120946407318,0.09322097152471542,0.28591203689575195,0.11005966365337372,0.17499953508377075,0.18576759099960327,0.19909770786762238
more,0.3484537899494171,0.2946030795574188,1.0,0.24002587795257568,0.726518988609314,0.18687720596790314,0.32563260197639465,0.23270341753959656,0.19695638120174408,0.23122718930244446,0.27894994616508484
fundamental,0.35305243730545044,0.21985967457294464,0.24002587795257568,0.9999998807907104,0.20159295201301575,0.3035609722137451,0.23429831862449646,0.338271826505661,0.2797236144542694,0.49196240305900574,0.2011919468641281
than,0.29388150572776794,0.2839990258216858,0.726518988609314,0.20159295201301575,1.0,0.19686487317085266,0.3270052373409271,0.1739044338464737,0.14551980793476105,0.18195666372776031,0.24917294085025787
