,what,distinction,does,the,bank,of,america,tower,hold,?
the,0.42745697498321533,0.3135315477848053,0.35928019881248474,1.0,0.3216422498226166,0.733189046382904,0.37090015411376953,0.2398453801870346,0.3067915439605713,0.22068053483963013
tallest,0.1573905199766159,0.14158295094966888,0.15673841536045074,0.271071195602417,0.20374339818954468,0.2597847878932953,0.23281291127204895,0.4509790539741516,0.24376904964447021,0.13697953522205353
building,0.23529528081417084,0.1265852153301239,0.13735412061214447,0.3159640431404114,0.26623502373695374,0.26200541853904724,0.16734442114830017,0.49597975611686707,0.22406204044818878,0.13549931347370148
in,0.30808621644973755,0.27763235569000244,0.214483380317688,0.6662389636039734,0.2690856158733368,0.5696388483047485,0.3098583221435547,0.22630389034748077,0.2667064666748047,0.20430970191955566
downtown,0.1348404437303543,0.10899914801120758,0.13814754784107208,0.2602716088294983,0.2769249379634857,0.21455974876880646,0.21240971982479095,0.31980279088020325,0.15822266042232513,0.15638743340969086
jacksonville,0.14578714966773987,0.13550277054309845,0.14389668405056,0.2176690250635147,0.1025690957903862,0.23084138333797455,0.22359871864318848,0.17981070280075073,0.2129397839307785,0.1359667330980301
's,0.02692362666130066,-0.00588699895888567,-0.02895052544772625,-0.01540423184633255,0.07716244459152222,-0.03817026689648628,0.04083184897899628,-0.06583263725042343,0.05379863828420639,-0.023395681753754616
skyline,0.11902455985546112,0.08851943165063858,0.12308294326066971,0.2234315127134323,0.22035658359527588,0.20348209142684937,0.17876781523227692,0.3916921615600586,0.2286166548728943,0.1345018744468689
is,0.28837618231773376,0.24752266705036163,0.4403602182865143,0.5823672413825989,0.21801011264324188,0.4854315221309662,0.1998184472322464,0.1400395631790161,0.22212235629558563,0.22961433231830597
the,0.42745697498321533,0.3135315477848053,0.35928019881248474,1.0,0.3216422498226166,0.733189046382904,0.37090015411376953,0.2398453801870346,0.3067915439605713,0.22068053483963013
bank,0.13934029638767242,0.06658419221639633,0.1303076595067978,0.3216422498226166,1.0,0.2346848100423813,0.21493306756019592,0.2611823081970215,0.16072389483451843,0.09656643867492676
of,0.33290785551071167,0.30949485301971436,0.3119818866252899,0.733189046382904,0.2346848100423813,1.0,0.28803038597106934,0.2271278351545334,0.2465030699968338,0.1826142966747284
america,0.2517423629760742,0.24046805500984192,0.13335242867469788,0.37090015411376953,0.21493306756019592,0.28803038597106934,0.9999998807907104,0.14780168235301971,0.18944531679153442,0.19333907961845398
tower,0.12919922173023224,0.10074696689844131,0.12271039187908173,0.2398453801870346,0.2611823081970215,0.2271278351545334,0.14780168235301971,1.0,0.1516108363866806,0.10395228117704391
",",0.3087472915649414,0.27985477447509766,0.28617382049560547,0.4933079481124878,0.2756500244140625,0.4946078956127167,0.253568559885025,0.20524810254573822,0.2803111970424652,0.31091248989105225
constructed,0.18810124695301056,0.20940853655338287,0.08339408785104752,0.29105475544929504,0.1569383293390274,0.2552719712257385,0.12192678451538086,0.28851673007011414,0.21396932005882263,0.12459525465965271
