,who,was,thought,to,have,killed,tugh,temur,?
he,0.5500732064247131,0.5410010814666748,0.29733195900917053,0.385390967130661,0.3020331561565399,0.2570396363735199,0.3185633420944214,0.23042389750480652,0.2089974731206894
was,0.3318818509578705,1.0000001192092896,0.42560186982154846,0.3636345863342285,0.2863433063030243,0.31229376792907715,0.2578143775463104,0.2032104879617691,0.18412111699581146
supposedly,0.41052260994911194,0.3860795795917511,0.39052635431289673,0.34531334042549133,0.2738690674304962,0.23526103794574738,0.1646483689546585,0.17885877192020416,0.2077445387840271
killed,0.3541788160800934,0.31229376792907715,0.3078750967979431,0.1682852953672409,0.19091160595417023,0.9999998807907104,0.27595382928848267,0.23246058821678162,0.17928971350193024
with,0.3282766342163086,0.27411898970603943,0.24736863374710083,0.4239959120750427,0.48046383261680603,0.2035834640264511,0.23135380446910858,0.21485675871372223,0.2433311939239502
poison,0.21999366581439972,0.11029466986656189,0.22075504064559937,0.23264071345329285,0.24773989617824554,0.33454611897468567,0.1620025634765625,0.213711217045784,0.13894492387771606
by,0.39727845788002014,0.4752357602119446,0.30952954292297363,0.33534231781959534,0.3359639644622803,0.27886173129081726,0.26519060134887695,0.13969005644321442,0.17966607213020325
el,0.11726998537778854,0.18103119730949402,0.08823533356189728,0.20723582804203033,0.15518184006214142,0.15095248818397522,0.2462921291589737,0.23995284736156464,0.16662782430648804
temür,0.27012577652931213,0.3291587233543396,0.2859615683555603,0.2935526967048645,0.22432367503643036,0.23147694766521454,0.3861598074436188,0.6543241739273071,0.17946790158748627
",",0.3365725874900818,0.45456063747406006,0.2965437173843384,0.44245919585227966,0.3541618287563324,0.3006497025489807,0.3907131850719452,0.24545347690582275,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.34702804684638977,0.48971283435821533,0.4711785912513733,0.23023393750190735,0.3082713782787323,0.24190698564052582,0.20544172823429108
tugh,0.31988343596458435,0.2578143775463104,0.1528072953224182,0.24520662426948547,0.24086815118789673,0.27595382928848267,1.0,0.2936148941516876,0.2607990801334381
temür,0.27012577652931213,0.3291587233543396,0.2859615683555603,0.2935526967048645,0.22432367503643036,0.23147694766521454,0.3861598074436188,0.6543241739273071,0.17946790158748627
then,0.29952746629714966,0.27044644951820374,0.22955743968486786,0.5203860402107239,0.3610527813434601,0.18951120972633362,0.31887924671173096,0.18490232527256012,0.2884598970413208
remounted,0.24475480616092682,0.3283073604106903,0.2528398036956787,0.21434777975082397,0.3052714467048645,0.3687768876552582,0.3130294382572174,0.20056383311748505,0.10986693203449249
the,0.3733934462070465,0.48711544275283813,0.3509289622306824,0.535392165184021,0.40389683842658997,0.23115427792072296,0.2538721263408661,0.2950887978076935,0.22068053483963013
throne,0.24592310190200806,0.25343436002731323,0.2308405339717865,0.2186887115240097,0.18596388399600983,0.2742985785007477,0.2790587246417999,0.328471839427948,0.17206846177577972
.,0.3541337847709656,0.40146201848983765,0.3521888852119446,0.4645031690597534,0.41614407300949097,0.2666846215724945,0.3123989999294281,0.24080398678779602,0.4130953550338745
