,why,did,berlin,huguenots,switch,to,german,from,french,in,their,services,?
they,0.39327314496040344,0.4879390597343445,0.17146913707256317,0.2739465832710266,0.19575951993465424,0.5452046394348145,0.2028503268957138,0.3321932256221771,0.1999853253364563,0.4330179989337921,0.7104025483131409,0.2394973784685135,0.2753053903579712
ultimately,0.22359061241149902,0.30089887976646423,0.1394501030445099,0.27277714014053345,0.2031770646572113,0.3470746874809265,0.19875039160251617,0.2778351902961731,0.1505058854818344,0.2386224865913391,0.2925736904144287,0.1993773728609085,0.18806859850883484
decided,0.2961423695087433,0.5689980983734131,0.20063850283622742,0.22416990995407104,0.15542110800743103,0.43155255913734436,0.23383910953998566,0.2047601044178009,0.16767200827598572,0.30060529708862305,0.3664236068725586,0.17482566833496094,0.258772075176239
to,0.4100138247013092,0.4452643394470215,0.17857243120670319,0.2685132324695587,0.25462213158607483,1.0,0.15143753588199615,0.4069952368736267,0.1713797152042389,0.45010748505592346,0.44619059562683105,0.27867045998573303,0.29463258385658264
switch,0.20977044105529785,0.139723539352417,0.081210196018219,0.09250235557556152,0.9999999403953552,0.25462213158607483,0.15356242656707764,0.12441506236791611,0.12648683786392212,0.15835623443126678,0.19718916714191437,0.1789296418428421,0.21329930424690247
to,0.4100138247013092,0.4452643394470215,0.17857243120670319,0.2685132324695587,0.25462213158607483,1.0,0.15143753588199615,0.4069952368736267,0.1713797152042389,0.45010748505592346,0.44619059562683105,0.27867045998573303,0.29463258385658264
german,0.1577603816986084,0.2048940509557724,0.47090986371040344,0.35620182752609253,0.15356242656707764,0.15143753588199615,1.0000001192092896,0.18661607801914215,0.4790405333042145,0.21098364889621735,0.18420307338237762,0.16822315752506256,0.13978645205497742
in,0.23227278888225555,0.2593238651752472,0.2694317102432251,0.25916293263435364,0.15835623443126678,0.45010748505592346,0.21098364889621735,0.4274188280105591,0.22093388438224792,1.0,0.34976133704185486,0.22287973761558533,0.20430970191955566
protest,0.18201817572116852,0.23183682560920715,0.17232178151607513,0.3177328109741211,0.03420313447713852,0.22359536588191986,0.15858645737171173,0.1838717758655548,0.19673089683055878,0.29343265295028687,0.18885156512260437,0.16289980709552765,0.1878921240568161
against,0.21670548617839813,0.22514554858207703,0.08783131837844849,0.23383420705795288,0.044542498886585236,0.310872346162796,0.12953688204288483,0.2447778731584549,0.12307969480752945,0.27273955941200256,0.2741570472717285,0.12863855063915253,0.18095137178897858
the,0.30742117762565613,0.34736719727516174,0.24435602128505707,0.30745792388916016,0.21010391414165497,0.535392165184021,0.256483793258667,0.40150508284568787,0.2555147111415863,0.6662389636039734,0.516537070274353,0.2381475418806076,0.22068053483963013
occupation,0.06615754216909409,0.203959122300148,0.2110747992992401,0.20352432131767273,0.12637922167778015,0.1859113872051239,0.26412612199783325,0.20112301409244537,0.2574719190597534,0.1896161586046219,0.1813144087791443,0.21681654453277588,0.13284437358379364
of,0.28464117646217346,0.2513895630836487,0.19328787922859192,0.27577435970306396,0.1011207103729248,0.41548454761505127,0.2122138887643814,0.4249346852302551,0.19450366497039795,0.5696388483047485,0.4329940676689148,0.23787347972393036,0.1826142966747284
prussia,0.12590548396110535,0.1611667275428772,0.4548446834087372,0.37437358498573303,0.11673253774642944,0.2132999449968338,0.48635345697402954,0.1399911642074585,0.2987757921218872,0.25057199597358704,0.2007627785205841,0.20855467021465302,0.09988865256309509
by,0.19170543551445007,0.18574509024620056,0.1784864068031311,0.16713643074035645,0.13762013614177704,0.33534231781959534,0.24848632514476776,0.3373257517814636,0.23343317210674286,0.370934396982193,0.3242124021053314,0.2132156491279602,0.17966607213020325
napoleon,0.10120002925395966,0.17893347144126892,0.24025453627109528,0.36618730425834656,0.07401029765605927,0.2339506298303604,0.2576780617237091,0.15285775065422058,0.4024990499019623,0.1983536332845688,0.1608794778585434,0.060108497738838196,0.15321364998817444
in,0.23227278888225555,0.2593238651752472,0.2694317102432251,0.25916293263435364,0.15835623443126678,0.45010748505592346,0.21098364889621735,0.4274188280105591,0.22093388438224792,1.0,0.34976133704185486,0.22287973761558533,0.20430970191955566
1806-07,0.13895343244075775,0.17665274441242218,0.09898609668016434,0.15655651688575745,0.11521431058645248,0.2512129545211792,0.03032653033733368,0.14477457106113434,0.03292221575975418,0.10711422562599182,0.29604682326316833,0.1256423145532608,0.15788215398788452
.,0.32909876108169556,0.35288307070732117,0.252303808927536,0.2170230895280838,0.2557997405529022,0.4645031690597534,0.2407633364200592,0.41536515951156616,0.2480926215648651,0.5591574311256409,0.34427863359451294,0.2179025262594223,0.4130953550338745
