,when,is,the,last,time,a,fumble,return,touchdown,happened,in,a,super,bowl,?
this,0.4959332048892975,0.480927973985672,0.6274310946464539,0.34740546345710754,0.43249568343162537,0.5422310829162598,0.1432829350233078,0.25008323788642883,0.1915639489889145,0.3963470757007599,0.45205554366111755,0.5422310829162598,0.1776810586452484,0.17725728452205658,0.3155723512172699
was,0.37326499819755554,0.5810302495956421,0.48711544275283813,0.32424551248550415,0.3641340136528015,0.4508470594882965,0.21974442899227142,0.12940508127212524,0.19985096156597137,0.36671528220176697,0.45514053106307983,0.4508470594882965,0.21420986950397491,0.21915455162525177,0.18412111699581146
the,0.5091903209686279,0.5823672413825989,1.0,0.3698786795139313,0.43061500787734985,0.5829201340675354,0.16197896003723145,0.2543797492980957,0.1805710643529892,0.3589572608470917,0.6662389636039734,0.5829201340675354,0.21959073841571808,0.21576224267482758,0.22068053483963013
first,0.4282494783401489,0.30889374017715454,0.49448907375335693,0.5431418418884277,0.4013477563858032,0.4287874400615692,0.17934276163578033,0.20940691232681274,0.203080952167511,0.32675081491470337,0.4127444326877594,0.4287874400615692,0.2717077434062958,0.20817767083644867,0.18701928853988647
fumble,0.2093559056520462,0.07088259607553482,0.16197896003723145,0.21866817772388458,0.21844233572483063,0.17153340578079224,1.0000001192092896,0.33790716528892517,0.62925785779953,0.17965936660766602,0.13453851640224457,0.17153340578079224,0.3436383605003357,0.40204131603240967,0.17646178603172302
return,0.24235358834266663,0.16104018688201904,0.2543797492980957,0.22744311392307281,0.2599903643131256,0.20093116164207458,0.33790716528892517,0.9999998807907104,0.3293076753616333,0.155220627784729,0.1852470338344574,0.20093116164207458,0.10588037222623825,0.14629174768924713,0.14655634760856628
touchdown,0.22582276165485382,0.15842995047569275,0.1805710643529892,0.2233768254518509,0.22822794318199158,0.22309942543506622,0.62925785779953,0.3293076753616333,0.9999999403953552,0.17567792534828186,0.14772959053516388,0.22309942543506622,0.28897354006767273,0.4045678675174713,0.12741123139858246
in,0.4431333839893341,0.5394441485404968,0.6662389636039734,0.30714505910873413,0.3431483507156372,0.539380669593811,0.13453851640224457,0.1852470338344574,0.14772959053516388,0.3302023410797119,1.0,0.539380669593811,0.18576006591320038,0.17236235737800598,0.20430970191955566
a,0.44397395849227905,0.658733606338501,0.5829201340675354,0.2864423990249634,0.3292340338230133,1.0,0.17153340578079224,0.20093116164207458,0.22309942543506622,0.2774496078491211,0.539380669593811,1.0,0.26005712151527405,0.19533146917819977,0.23916715383529663
super,0.20393483340740204,0.15390309691429138,0.21959073841571808,0.17231976985931396,0.18677926063537598,0.26005712151527405,0.3436383605003357,0.10588037222623825,0.28897354006767273,0.15749286115169525,0.18576006591320038,0.26005712151527405,1.0000001192092896,0.4848237931728363,0.166326642036438
bowl,0.20523639023303986,0.14233897626399994,0.21576224267482758,0.20327796041965485,0.20419740676879883,0.19533146917819977,0.40204131603240967,0.14629174768924713,0.4045678675174713,0.19787606596946716,0.17236235737800598,0.19533146917819977,0.4848237931728363,1.0,0.21118052303791046
since,0.42774689197540283,0.3567592203617096,0.4054957628250122,0.3911735415458679,0.4138842225074768,0.3303585946559906,0.15950147807598114,0.18937577307224274,0.18366366624832153,0.36886170506477356,0.4325680434703827,0.3303585946559906,0.13119962811470032,0.14065173268318176,0.2876587212085724
super,0.20393483340740204,0.15390309691429138,0.21959073841571808,0.17231976985931396,0.18677926063537598,0.26005712151527405,0.3436383605003357,0.10588037222623825,0.28897354006767273,0.15749286115169525,0.18576006591320038,0.26005712151527405,1.0000001192092896,0.4848237931728363,0.166326642036438
