,what,is,kenya,a,founding,member,of,?
kenya,0.18398970365524292,0.17591087520122528,1.0,0.1701713502407074,0.233821302652359,0.18366804718971252,0.22226637601852417,0.17197901010513306
(,0.2411840260028839,0.35393038392066956,0.10727446526288986,0.3206180930137634,0.19939430058002472,0.27166029810905457,0.35032153129577637,0.40561532974243164
/ˈkɛnjə/,0.30697768926620483,0.13520526885986328,0.10589445382356644,0.14863064885139465,0.1130480021238327,0.04880835860967636,0.1311349719762802,0.35686802864074707
;,0.10986888408660889,0.05324986204504967,0.0019817061256617308,-0.02122584730386734,-0.026938455179333687,0.08145781606435776,0.054534342139959335,0.10349778085947037
locally,0.25886961817741394,0.3363647758960724,0.15745830535888672,0.24041469395160675,0.14735634624958038,0.13032180070877075,0.17105622589588165,0.21358361840248108
[,0.010752761736512184,-0.06921151280403137,-0.005438144318759441,0.03893941268324852,0.033328697085380554,-0.036629386246204376,0.010817250236868858,0.011015460826456547
ˈkɛɲa,0.2179657220840454,0.1898343712091446,0.22068089246749878,0.2513175308704376,0.23639988899230957,0.2479361891746521,0.3138962686061859,0.21855288743972778
],-0.03775298595428467,-0.02998926118016243,0.0001010681880870834,-0.049516137689352036,0.018968388438224792,-0.04577697068452835,-0.035044461488723755,-0.0022520492784678936
(,0.2411840260028839,0.35393038392066956,0.10727446526288986,0.3206180930137634,0.19939430058002472,0.27166029810905457,0.35032153129577637,0.40561532974243164
listen,0.34003081917762756,0.0984208956360817,0.06636884808540344,0.16091835498809814,0.12226202338933945,0.1217547059059143,0.1133200079202652,0.23244893550872803
),0.26259949803352356,0.37732169032096863,0.12372948974370956,0.3640355169773102,0.22557392716407776,0.26767680048942566,0.3680361211299896,0.42300865054130554
),0.26259949803352356,0.37732169032096863,0.12372948974370956,0.3640355169773102,0.22557392716407776,0.26767680048942566,0.3680361211299896,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.23432263731956482,0.427140474319458,0.2779809832572937,0.25757819414138794,0.4946078956127167,0.31091248989105225
officially,0.17107035219669342,0.2830421030521393,0.20154735445976257,0.2489907592535019,0.2843412756919861,0.21984364092350006,0.27491217851638794,0.15603435039520264
the,0.42745697498321533,0.5823672413825989,0.21657514572143555,0.5829201340675354,0.34138360619544983,0.2806392312049866,0.733189046382904,0.22068053483963013
republic,0.18626701831817627,0.17956054210662842,0.2751295268535614,0.12861405313014984,0.27419525384902954,0.19576169550418854,0.2802940905094147,0.16880398988723755
of,0.33290785551071167,0.4854315221309662,0.22226637601852417,0.5052502155303955,0.3665546774864197,0.2701796889305115,1.0,0.1826142966747284
kenya,0.18398970365524292,0.17591087520122528,1.0,0.1701713502407074,0.233821302652359,0.18366804718971252,0.22226637601852417,0.17197901010513306
",",0.3087472915649414,0.4691906273365021,0.23432263731956482,0.427140474319458,0.2779809832572937,0.25757819414138794,0.4946078956127167,0.31091248989105225
is,0.28837618231773376,1.0,0.17591087520122528,0.658733606338501,0.26780420541763306,0.2522773742675781,0.4854315221309662,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.1701713502407074,1.0,0.2064124047756195,0.24081070721149445,0.5052502155303955,0.23916715383529663
country,0.22705033421516418,0.24409033358097076,0.2935680150985718,0.20991116762161255,0.2255680114030838,0.19373685121536255,0.28866857290267944,0.12647280097007751
in,0.30808621644973755,0.5394441485404968,0.23621977865695953,0.539380669593811,0.2295561581850052,0.20856694877147675,0.5696388483047485,0.20430970191955566
africa,0.19696469604969025,0.18992355465888977,0.4904056489467621,0.18140724301338196,0.17144183814525604,0.13313263654708862,0.2694264054298401,0.12926554679870605
and,0.31309178471565247,0.3859752118587494,0.20742860436439514,0.3739250600337982,0.28134027123451233,0.28606608510017395,0.5116966962814331,0.20544172823429108
a,0.3320399522781372,0.658733606338501,0.1701713502407074,1.0,0.2064124047756195,0.24081070721149445,0.5052502155303955,0.23916715383529663
founding,0.2093554586172104,0.26780420541763306,0.233821302652359,0.2064124047756195,1.0,0.5388715267181396,0.3665546774864197,0.1416333168745041
member,0.09932345896959305,0.2522773742675781,0.18366804718971252,0.24081070721149445,0.5388715267181396,0.9999998807907104,0.2701796889305115,0.06826172769069672
of,0.33290785551071167,0.4854315221309662,0.22226637601852417,0.5052502155303955,0.3665546774864197,0.2701796889305115,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.21657514572143555,0.5829201340675354,0.34138360619544983,0.2806392312049866,0.733189046382904,0.22068053483963013
east,0.19840149581432343,0.2596127688884735,0.2637212574481964,0.18767057359218597,0.2490406483411789,0.19740363955497742,0.314786434173584,0.10070597380399704
african,0.11136822402477264,0.17217126488685608,0.3880566954612732,0.17609646916389465,0.19099347293376923,0.1976759433746338,0.23470255732536316,0.11862778663635254
community,0.29032719135284424,0.26023760437965393,0.16584056615829468,0.2694961726665497,0.2669147551059723,0.2346835732460022,0.2367410808801651,0.2380419820547104
(,0.2411840260028839,0.35393038392066956,0.10727446526288986,0.3206180930137634,0.19939430058002472,0.27166029810905457,0.35032153129577637,0.40561532974243164
eac,0.15741553902626038,0.22350899875164032,0.2714400291442871,0.2462608516216278,0.24811743199825287,0.19422869384288788,0.2203972041606903,0.18416853249073029
),0.26259949803352356,0.37732169032096863,0.12372948974370956,0.3640355169773102,0.22557392716407776,0.26767680048942566,0.3680361211299896,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.24234211444854736,0.50484299659729,0.2340429127216339,0.19907453656196594,0.5352458953857422,0.4130953550338745
