,which,full-sized,model,cars,were,not,popular,?
the,0.6521818041801453,0.2661772072315216,0.14028635621070862,0.22665506601333618,0.3906462490558624,0.4310511648654938,0.2724021077156067,0.22068053483963013
only,0.5654799342155457,0.31878092885017395,0.18113557994365692,0.2617316246032715,0.34466472268104553,0.5868885517120361,0.27194276452064514,0.2767370045185089
full-size,0.2706618905067444,0.7459695935249329,0.2436656802892685,0.20744688808918,0.12678323686122894,0.38376444578170776,0.12117713689804077,0.2742193341255188
models,0.23248709738254547,0.2906573712825775,0.6909285187721252,0.37966933846473694,0.2261762022972107,0.16445514559745789,0.2122732549905777,0.16656708717346191
that,0.6894589066505432,0.3395042419433594,0.16250061988830566,0.25923076272010803,0.35517072677612305,0.6600887179374695,0.2694941759109497,0.32716336846351624
did,0.2750149369239807,0.25460946559906006,0.13862785696983337,0.24831874668598175,0.4162326455116272,0.6481515765190125,0.20788706839084625,0.3023456633090973
not,0.46766895055770874,0.3519863486289978,0.10403621941804886,0.24613699316978455,0.33318549394607544,0.9999999403953552,0.20684370398521423,0.41942933201789856
recover,0.25916385650634766,0.24576203525066376,0.07594461739063263,0.19173495471477509,0.2337428331375122,0.29991018772125244,0.09996435046195984,0.1497272402048111
were,0.2807837128639221,0.2467290312051773,0.1041949987411499,0.28461217880249023,1.0000001192092896,0.33318549394607544,0.22666151821613312,0.17890112102031708
lower,0.35006284713745117,0.21337193250656128,0.07297609001398087,0.17554336786270142,0.17496317625045776,0.20697054266929626,0.14038880169391632,0.08471795171499252
price,0.21813181042671204,0.15687106549739838,0.24464485049247742,0.2692522704601288,0.1550656259059906,0.1938207745552063,0.164886012673378,0.14631175994873047
models,0.23248709738254547,0.2906573712825775,0.6909285187721252,0.37966933846473694,0.2261762022972107,0.16445514559745789,0.2122732549905777,0.16656708717346191
such,0.406057745218277,0.23248127102851868,0.11309406906366348,0.20530229806900024,0.2970055043697357,0.4058493673801422,0.2801416516304016,0.17851735651493073
as,0.41006597876548767,0.2946663498878479,0.21406425535678864,0.2156364917755127,0.3025437891483307,0.5105602741241455,0.2382158637046814,0.27043893933296204
the,0.6521818041801453,0.2661772072315216,0.14028635621070862,0.22665506601333618,0.3906462490558624,0.4310511648654938,0.2724021077156067,0.22068053483963013
chevrolet,0.19571171700954437,0.3762664794921875,0.3160022795200348,0.4771844744682312,0.20201580226421356,0.18207906186580658,0.280755877494812,0.1429024338722229
bel,0.16534718871116638,0.07911455631256104,0.10580061376094818,0.12485336512327194,0.16203288733959198,0.12786339223384857,0.11439264565706253,0.12241754680871964
air,0.23809513449668884,0.12016572803258896,0.1228041797876358,0.2208859771490097,0.1481994241476059,0.159974604845047,0.08331987261772156,0.1491677612066269
",",0.3658004403114319,0.18470431864261627,0.244965597987175,0.23312760889530182,0.36755475401878357,0.3769696354866028,0.2819201350212097,0.31091248989105225
and,0.506277859210968,0.22306783497333527,0.22216768562793732,0.2871580421924591,0.42175528407096863,0.39099299907684326,0.3164171278476715,0.20544172823429108
ford,0.1759905368089676,0.2517135739326477,0.28958290815353394,0.43371817469596863,0.19550251960754395,0.15568852424621582,0.1701548546552658,0.19164219498634338
galaxie,0.14349418878555298,0.23052078485488892,0.14557026326656342,0.23127391934394836,0.1526208519935608,0.15927277505397797,0.1440366506576538,0.14283907413482666
500,-0.023339297622442245,-0.048611853271722794,0.011537567712366581,-0.09351459890604019,-0.14740398526191711,-0.09968709945678711,-0.13907961547374725,0.05473969131708145
.,0.45942068099975586,0.24635915458202362,0.1938832700252533,0.27835485339164734,0.3378238379955292,0.4824007451534271,0.2864297032356262,0.4130953550338745
