,what,is,'grey,literature,',?
authors,0.20440030097961426,0.18932047486305237,0.21926113963127136,0.37727370858192444,0.19493339955806732,0.19121912121772766
may,0.25739946961402893,0.322792649269104,0.2392265647649765,0.17791280150413513,0.32926297187805176,0.2768254578113556
refer,0.17466352880001068,0.32020241022109985,0.1276458352804184,0.103195421397686,0.35076454281806946,0.12567369639873505
to,0.455847829580307,0.42745086550712585,0.2660192549228668,0.19063922762870789,0.34544456005096436,0.29463258385658264
non-peer-reviewed,0.3576415479183197,0.21410977840423584,0.31272271275520325,0.314970463514328,0.2872200310230255,0.3732050359249115
sources,0.30212491750717163,0.2594712972640991,0.19920557737350464,0.26188552379608154,0.22989802062511444,0.2886999845504761
(,0.2411840260028839,0.35393038392066956,0.3136194050312042,0.17221997678279877,0.5287467241287231,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,0.37059351801872253,0.2611817419528961,0.474788099527359,0.22068053483963013
``,0.008517155423760414,0.058766357600688934,0.07857804000377655,0.06339197605848312,0.0022648978047072887,0.0685480609536171
grey,0.13404807448387146,0.22512753307819366,0.7681747674942017,0.1305072009563446,0.22671736776828766,0.1291438490152359
literature,0.22505109012126923,0.19709013402462006,0.21438471972942352,0.9999998807907104,0.2152765840291977,0.2043706774711609
'',0.08143015950918198,0.0793738141655922,0.0886843204498291,0.05799779295921326,0.05904744192957878,0.018684765323996544
),0.26259949803352356,0.37732169032096863,0.29024362564086914,0.20548895001411438,0.5468860864639282,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.31759679317474365,0.2802010178565979,0.5178600549697876,0.31091248989105225
provided,0.2206064909696579,0.19162359833717346,0.17012503743171692,0.11228292435407639,0.19535881280899048,0.16893617808818817
that,0.6297725439071655,0.3995479643344879,0.2886353135108948,0.19748573005199432,0.3494868278503418,0.32716336846351624
they,0.4431931674480438,0.330102801322937,0.33539795875549316,0.16707393527030945,0.27022266387939453,0.2753053903579712
are,0.29724663496017456,0.5330929756164551,0.2327965497970581,0.1406758576631546,0.24618251621723175,0.24591213464736938
of,0.33290785551071167,0.4854315221309662,0.2760724425315857,0.25150051712989807,0.39136970043182373,0.1826142966747284
sufficient,0.34977179765701294,0.21905657649040222,0.24361737072467804,0.13494840264320374,0.19269901514053345,0.2950035035610199
quality,0.28952741622924805,0.24161657691001892,0.21746689081192017,0.2124975621700287,0.18318477272987366,0.23524069786071777
.,0.3567904531955719,0.4569662809371948,0.3711724579334259,0.24930934607982635,0.4806240200996399,0.4130953550338745
