,what,two,women,were,defying,the,pharaoh,in,the,story,from,the,book,of,exodus,?
by,0.2455483376979828,0.33852577209472656,0.13107776641845703,0.4406847059726715,0.29547446966171265,0.4408751428127289,0.1307685822248459,0.370934396982193,0.4408751428127289,0.22246123850345612,0.3373257517814636,0.4408751428127289,0.27178502082824707,0.3646814823150635,0.171789288520813,0.17966607213020325
this,0.5489566326141357,0.33004114031791687,0.20820912718772888,0.25469228625297546,0.2991673946380615,0.6274310946464539,0.20012719929218292,0.45205554366111755,0.6274310946464539,0.2301301807165146,0.3469814360141754,0.6274310946464539,0.2779081463813782,0.45148900151252747,0.29462292790412903,0.3155723512172699
definition,0.330344021320343,0.15746432542800903,0.1304292231798172,0.1477038562297821,0.21694636344909668,0.23176956176757812,0.08499793708324432,0.20306213200092316,0.23176956176757812,0.17689836025238037,0.18503937125205994,0.23176956176757812,0.19816076755523682,0.24912455677986145,0.21293306350708008,0.2796523869037628
",",0.3087472915649414,0.35859420895576477,0.18865817785263062,0.36755475401878357,0.2531081438064575,0.4933079481124878,0.1681014597415924,0.5201468467712402,0.4933079481124878,0.20667347311973572,0.39760664105415344,0.4933079481124878,0.23644568026065826,0.4946078956127167,0.18189449608325958,0.31091248989105225
civil,0.15091551840305328,0.17554090917110443,0.21850663423538208,0.2641898989677429,0.18625082075595856,0.2477465271949768,0.12106432020664215,0.26466667652130127,0.2477465271949768,0.14553289115428925,0.11420916765928268,0.2477465271949768,0.18018245697021484,0.24698495864868164,0.14244838058948517,0.1494513899087906
disobedience,0.3298627436161041,0.17593710124492645,0.2757474482059479,0.28859755396842957,0.44675418734550476,0.30963727831840515,0.25788208842277527,0.3054615259170532,0.30963727831840515,0.2857411205768585,0.1641564965248108,0.30963727831840515,0.2950320243835449,0.31932318210601807,0.33255431056022644,0.19890835881233215
could,0.4188697934150696,0.3010946810245514,0.18457819521427155,0.40738195180892944,0.279285192489624,0.35393214225769043,0.2235560268163681,0.29357993602752686,0.35393214225769043,0.24358682334423065,0.25045305490493774,0.35393214225769043,0.2001878321170807,0.29043012857437134,0.1377430260181427,0.3411986827850342
be,0.3929833769798279,0.28515341877937317,0.19141218066215515,0.4064064621925354,0.2171710729598999,0.4248143136501312,0.19186867773532867,0.3481820821762085,0.4248143136501312,0.22018593549728394,0.3107333183288574,0.4248143136501312,0.21336250007152557,0.33904364705085754,0.18297737836837769,0.3324260413646698
traced,0.22912096977233887,0.2118166983127594,0.12136188894510269,0.27926936745643616,0.17755402624607086,0.34548765420913696,0.15603052079677582,0.26159778237342834,0.34548765420913696,0.25353217124938965,0.33633938431739807,0.34548765420913696,0.24503162503242493,0.325751930475235,0.1278134137392044,0.10152046382427216
back,0.2965294420719147,0.2993374466896057,0.13328500092029572,0.2695517838001251,0.2544309198856354,0.3612101674079895,0.1684940904378891,0.25397348403930664,0.3612101674079895,0.20241272449493408,0.38032060861587524,0.3612101674079895,0.13070915639400482,0.23051875829696655,0.09118837863206863,0.2397768795490265
to,0.455847829580307,0.3343428373336792,0.24881750345230103,0.31913647055625916,0.2687724530696869,0.535392165184021,0.2153654396533966,0.45010748505592346,0.535392165184021,0.2319863736629486,0.4069952368736267,0.535392165184021,0.20275522768497467,0.41548454761505127,0.12425104528665543,0.29463258385658264
