,what,did,industry,do,to,the,rhine,until,the,1980s,?
until,0.2693650424480438,0.33905428647994995,0.15421219170093536,0.1848897933959961,0.354556679725647,0.37191009521484375,0.2225569188594818,1.0,0.37191009521484375,-0.0009024933096952736,0.20304496586322784
the,0.42745697498321533,0.34736719727516174,0.26942890882492065,0.30239659547805786,0.535392165184021,1.0,0.30735138058662415,0.37191009521484375,1.0,0.07890266180038452,0.22068053483963013
early,0.2454567849636078,0.32047218084335327,0.3010035455226898,0.16360098123550415,0.24557004868984222,0.34442198276519775,0.17102190852165222,0.36689868569374084,0.34442198276519775,0.03928886726498604,0.15272949635982513
1980s,-0.06585196405649185,-0.09640773385763168,0.24564936757087708,0.028761444613337517,-0.014551017433404922,0.07890266180038452,0.11513366550207138,-0.0009024933096952736,0.07890266180038452,1.0,-0.0718669518828392
",",0.3087472915649414,0.3015086054801941,0.24502649903297424,0.3283645510673523,0.44245919585227966,0.4933079481124878,0.167837992310524,0.2947838604450226,0.4933079481124878,0.012025163508951664,0.31091248989105225
industry,0.1966298520565033,0.16876111924648285,1.0000001192092896,0.15989835560321808,0.24876736104488373,0.26942890882492065,0.21157976984977722,0.15421219170093536,0.26942890882492065,0.24564936757087708,0.11813290417194366
was,0.22111038863658905,0.41399896144866943,0.28708288073539734,0.11523093283176422,0.3636345863342285,0.48711544275283813,0.18681856989860535,0.43126991391181946,0.48711544275283813,-0.0172738004475832,0.18412111699581146
a,0.3320399522781372,0.2552328109741211,0.27788880467414856,0.26237669587135315,0.45503583550453186,0.5829201340675354,0.1823403388261795,0.2314814180135727,0.5829201340675354,0.1030743196606636,0.23916715383529663
major,0.21026742458343506,0.20997437834739685,0.1881316751241684,0.19035987555980682,0.19240309298038483,0.31775903701782227,0.10607928037643433,0.1658858060836792,0.31775903701782227,0.13175968825817108,0.19788557291030884
source,0.2553733289241791,0.16339050233364105,0.19889791309833527,0.25658899545669556,0.2501981854438782,0.30258262157440186,0.20831243693828583,0.16776546835899353,0.30258262157440186,0.07237759977579117,0.2462312877178192
of,0.33290785551071167,0.2513895630836487,0.27385562658309937,0.26150479912757874,0.41548454761505127,0.733189046382904,0.2548927664756775,0.2787701487541199,0.733189046382904,0.11110851913690567,0.1826142966747284
water,0.17456887662410736,0.1909485161304474,0.2170514017343521,0.2054748237133026,0.27858173847198486,0.297396719455719,0.18943050503730774,0.1726219356060028,0.297396719455719,0.2478904277086258,0.14731885492801666
pollution,0.23829525709152222,0.17897959053516388,0.3359397053718567,0.2127109169960022,0.29624056816101074,0.2658846378326416,0.15997937321662903,0.16452309489250183,0.2658846378326416,0.15071649849414825,0.22070297598838806
.,0.3567904531955719,0.35288307070732117,0.24857841432094574,0.3613996207714081,0.4645031690597534,0.5934505462646484,0.2089352011680603,0.36876651644706726,0.5934505462646484,0.033740852028131485,0.4130953550338745
