,in,addition,to,english,",",what,language,is,also,often,taught,in,nepalese,private,schools,?
the,0.6662389636039734,0.32955414056777954,0.535392165184021,0.23982001841068268,0.4933079481124878,0.42745697498321533,0.30198320746421814,0.5823672413825989,0.6021018624305725,0.38004449009895325,0.17271466553211212,0.6662389636039734,0.18889059126377106,0.18291357159614563,0.22905772924423218,0.22068053483963013
medium,0.14635127782821655,0.15946657955646515,0.14374034106731415,0.14797163009643555,0.1837785542011261,0.09298098087310791,0.16223110258579254,0.2135585993528366,0.20409879088401794,0.2304120659828186,0.10434095561504364,0.14635127782821655,0.14937958121299744,0.18643686175346375,0.19195465743541718,0.09342553466558456
of,0.5696388483047485,0.27503931522369385,0.41548454761505127,0.17198967933654785,0.4946078956127167,0.33290785551071167,0.25272229313850403,0.4854315221309662,0.4924938678741455,0.3351972997188568,0.23614580929279327,0.5696388483047485,0.2030399739742279,0.18706899881362915,0.265506386756897,0.1826142966747284
education,0.2654339671134949,0.2276851087808609,0.2626708149909973,0.21933698654174805,0.2718683183193207,0.19940856099128723,0.30624115467071533,0.18778188526630402,0.23276391625404358,0.12748026847839355,0.49708476662635803,0.2654339671134949,0.1652432382106781,0.34071704745292664,0.6035618185997009,0.18067774176597595
is,0.5394441485404968,0.2727152407169342,0.42745086550712585,0.24613474309444427,0.4691906273365021,0.28837618231773376,0.270936518907547,1.0,0.5012649297714233,0.3856629431247711,0.15364351868629456,0.5394441485404968,0.17413824796676636,0.1420905888080597,0.2022145688533783,0.22961433231830597
english,0.19623121619224548,0.1473325490951538,0.21984367072582245,0.9999999403953552,0.3339248597621918,0.25060737133026123,0.4612087905406952,0.24613474309444427,0.2739046514034271,0.17056885361671448,0.2004404515028,0.19623121619224548,0.27643927931785583,0.17193938791751862,0.21713261306285858,0.23251567780971527
",",0.5201468467712402,0.3040202856063843,0.44245919585227966,0.3339248597621918,1.0000001192092896,0.3087472915649414,0.2694627344608307,0.4691906273365021,0.4717654287815094,0.24139221012592316,0.2902868986129761,0.5201468467712402,0.2516903579235077,0.1899166703224182,0.2760516405105591,0.31091248989105225
but,0.48674455285072327,0.3602294325828552,0.5542377829551697,0.2963116765022278,0.48126736283302307,0.5029441118240356,0.2890211343765259,0.4106791317462921,0.5491819977760315,0.44118013978004456,0.2199246734380722,0.48674455285072327,0.14849400520324707,0.21809467673301697,0.2203376144170761,0.27921953797340393
as,0.3887844979763031,0.3581290543079376,0.42092081904411316,0.2722744047641754,0.48816442489624023,0.31749409437179565,0.2037375271320343,0.43216490745544434,0.5774298906326294,0.405699223279953,0.26709210872650146,0.3887844979763031,0.2024603933095932,0.22101859748363495,0.21233005821704865,0.27043893933296204
a,0.539380669593811,0.2617819607257843,0.45503583550453186,0.21707510948181152,0.427140474319458,0.3320399522781372,0.21064592897891998,0.658733606338501,0.5149940252304077,0.3930865228176117,0.17421811819076538,0.539380669593811,0.18409869074821472,0.20346391201019287,0.2118925303220749,0.23916715383529663
compulsory,0.27406829595565796,0.23172955214977264,0.31706616282463074,0.16812936961650848,0.2254411280155182,0.29406166076660156,0.2822451591491699,0.18758688867092133,0.23155245184898376,0.25166651606559753,0.3071075677871704,0.27406829595565796,0.21544601023197174,0.26994845271110535,0.36350685358047485,0.1774163395166397
