,what,country,is,abc,broadcast,in,",",in,contrast,to,disney,'s,other,channels,?
in,0.30808621644973755,0.3040012717247009,0.5394441485404968,0.1697147786617279,0.26723843812942505,1.0,0.5201468467712402,1.0,0.2357589453458786,0.45010748505592346,0.18521910905838013,-0.037580832839012146,0.39989137649536133,0.19040870666503906,0.20430970191955566
contrast,0.2773490250110626,0.17796748876571655,0.2659924328327179,0.11095484346151352,0.09751233458518982,0.2357589453458786,0.21571755409240723,0.2357589453458786,1.0000001192092896,0.23685190081596375,0.11924400180578232,-0.011143652722239494,0.3216317594051361,0.16272015869617462,0.15469981729984283
to,0.455847829580307,0.31281599402427673,0.42745086550712585,0.1762417107820511,0.2326623648405075,0.45010748505592346,0.44245919585227966,0.45010748505592346,0.23685190081596375,1.0,0.23984374105930328,0.03782717138528824,0.4193183183670044,0.21767447888851166,0.29463258385658264
disney,0.19632026553153992,0.16367635130882263,0.18704643845558167,0.37895750999450684,0.3236337900161743,0.18521910905838013,0.2132069319486618,0.18521910905838013,0.11924400180578232,0.23984374105930328,1.0,0.0786653682589531,0.192842036485672,0.31901150941848755,0.22150784730911255
's,0.02692362666130066,0.0747150406241417,0.02396530658006668,0.06670809537172318,0.0797032043337822,-0.037580832839012146,-0.0016132977325469255,-0.037580832839012146,-0.011143652722239494,0.03782717138528824,0.0786653682589531,0.9999999403953552,0.04445967823266983,0.09595498442649841,-0.023395681753754616
other,0.341873437166214,0.28020480275154114,0.25895947217941284,0.10159935057163239,0.1580214649438858,0.39989137649536133,0.4446498453617096,0.39989137649536133,0.3216317594051361,0.4193183183670044,0.192842036485672,0.04445967823266983,0.9999999403953552,0.2746264636516571,0.24682199954986572
channels,0.1923084557056427,0.18776361644268036,0.23861566185951233,0.3453997075557709,0.4576503038406372,0.19040870666503906,0.2199012041091919,0.19040870666503906,0.16272015869617462,0.21767447888851166,0.31901150941848755,0.09595498442649841,0.2746264636516571,1.0,0.19657258689403534
",",0.3087472915649414,0.27878350019454956,0.4691906273365021,0.2097204476594925,0.24917922914028168,0.5201468467712402,1.0000001192092896,0.5201468467712402,0.21571755409240723,0.44245919585227966,0.2132069319486618,-0.0016132977325469255,0.4446498453617096,0.2199012041091919,0.31091248989105225
abc,0.1317344456911087,0.19232627749443054,0.16037321090698242,1.0000001192092896,0.4876510202884674,0.1697147786617279,0.2097204476594925,0.1697147786617279,0.11095484346151352,0.1762417107820511,0.37895750999450684,0.06670809537172318,0.10159935057163239,0.3453997075557709,0.19065172970294952
is,0.28837618231773376,0.24409033358097076,1.0,0.16037321090698242,0.1702820062637329,0.5394441485404968,0.4691906273365021,0.5394441485404968,0.2659924328327179,0.42745086550712585,0.18704643845558167,0.02396530658006668,0.25895947217941284,0.23861566185951233,0.22961433231830597
