,when,was,most,of,sunnside,developed,?
largely,0.2664821743965149,0.307300329208374,0.40840786695480347,0.3087159991264343,0.24063648283481598,0.2685953676700592,0.08185246586799622
developed,0.19180624186992645,0.3253139555454254,0.28766918182373047,0.21960023045539856,0.14516982436180115,1.0000001192092896,0.10763012617826462
in,0.4431333839893341,0.45514053106307983,0.41416558623313904,0.5696388483047485,0.38668301701545715,0.2498214840888977,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.47635307908058167,0.733189046382904,0.3850114047527313,0.24490751326084137,0.22068053483963013
1950s,0.39774516224861145,0.2797155976295471,0.2404293268918991,0.2965795397758484,0.35438570380210876,0.1799660623073578,0.16557677090168
through,0.34666842222213745,0.21752823889255524,0.22759674489498138,0.3647414743900299,0.27875468134880066,0.18890781700611115,0.16913433372974396
the,0.5091903209686279,0.48711544275283813,0.47635307908058167,0.733189046382904,0.3850114047527313,0.24490751326084137,0.22068053483963013
1970s,0.011553144082427025,0.012108612805604935,0.1453016996383667,0.060115184634923935,0.03131354972720146,0.07862294465303421,0.03861190751194954
",",0.36674630641937256,0.45456063747406006,0.3636029064655304,0.4946078956127167,0.3736211955547333,0.24565434455871582,0.31091248989105225
it,0.4775012135505676,0.4577186405658722,0.4001435935497284,0.38761502504348755,0.29264217615127563,0.29597824811935425,0.25732165575027466
has,0.34538573026657104,0.40313825011253357,0.3426419198513031,0.3909035325050354,0.29675549268722534,0.2396264225244522,0.15994466841220856
recently,0.397892028093338,0.4035745859146118,0.3312380611896515,0.21953822672367096,0.3374682366847992,0.2036736011505127,0.18352322280406952
experienced,0.2986077666282654,0.23122946918010712,0.343662828207016,0.2707912027835846,0.2514186501502991,0.30362558364868164,0.23420310020446777
a,0.44397395849227905,0.4508470594882965,0.3508910834789276,0.5052502155303955,0.3736298084259033,0.286296546459198,0.23916715383529663
surge,0.21723775565624237,0.21476934850215912,0.2285815328359604,0.2236190140247345,0.3260495364665985,0.17638608813285828,0.10600325465202332
in,0.4431333839893341,0.45514053106307983,0.41416558623313904,0.5696388483047485,0.38668301701545715,0.2498214840888977,0.20430970191955566
new,0.257220059633255,0.2748313844203949,0.23625826835632324,0.343457967042923,0.2993267774581909,0.1857285499572754,0.14782847464084625
home,0.24208083748817444,0.25139835476875305,0.1963888257741928,0.24402645230293274,0.3271431028842926,0.1546749770641327,0.0757145956158638
construction,0.16481471061706543,0.224521666765213,0.1613602638244629,0.2815735340118408,0.2568061351776123,0.232700914144516,0.13494056463241577
.,0.475719153881073,0.40146201848983765,0.35404038429260254,0.5352458953857422,0.3888895809650421,0.2569568455219269,0.4130953550338745
