,imperialism,and,colonialism,both,assert,a,states,dominance,over,what,?
imperialism,1.0,0.19073538482189178,0.6857813596725464,0.1669248342514038,0.2333214282989502,0.17335295677185059,0.24396070837974548,0.2979675531387329,0.17058397829532623,0.24614648520946503,0.14998586475849152
and,0.19073538482189178,1.0,0.22906047105789185,0.5503310561180115,0.14361271262168884,0.3739250600337982,0.2974761426448822,0.30922091007232666,0.4021143913269043,0.31309178471565247,0.20544172823429108
colonialism,0.6857813596725464,0.22906047105789185,0.9999999403953552,0.17301024496555328,0.29070115089416504,0.19192901253700256,0.2624041438102722,0.36685410141944885,0.1836649477481842,0.27914220094680786,0.1519109606742859
have,0.1434110701084137,0.4711785912513733,0.24325884878635406,0.43702858686447144,0.23889651894569397,0.338716596364975,0.20162390172481537,0.26399388909339905,0.41283175349235535,0.39808809757232666,0.32991164922714233
been,0.10602488368749619,0.3424558639526367,0.17289848625659943,0.35588735342025757,0.2274600714445114,0.3315402865409851,0.20674076676368713,0.17233943939208984,0.36951375007629395,0.2567804455757141,0.24354910850524902
used,0.19512230157852173,0.3150506615638733,0.2240746021270752,0.3154800534248352,0.11209550499916077,0.3864384889602661,0.23992468416690826,0.21588411927223206,0.21628807485103607,0.27546408772468567,0.22430120408535004
in,0.2081184834241867,0.4954058527946472,0.20611877739429474,0.3960166871547699,0.2012619823217392,0.539380669593811,0.3977442979812622,0.24914605915546417,0.3605569899082184,0.30808621644973755,0.20430970191955566
order,0.21219590306282043,0.2671266496181488,0.16033662855625153,0.19211289286613464,0.1902693212032318,0.24138490855693817,0.1552746444940567,0.1843862533569336,0.14019016921520233,0.16634008288383484,0.13725648820400238
to,0.21685542166233063,0.48971283435821533,0.24242931604385376,0.3897709250450134,0.25770631432533264,0.45503583550453186,0.2828785181045532,0.2552642822265625,0.38635820150375366,0.455847829580307,0.29463258385658264
describe,0.25242701172828674,0.24788004159927368,0.30992090702056885,0.2248302549123764,0.2674706280231476,0.3062607944011688,0.20835228264331818,0.3608640730381012,0.1718718260526657,0.3217031955718994,0.15151022374629974
one,0.19011688232421875,0.42438167333602905,0.18090298771858215,0.4734871983528137,0.18518556654453278,0.4910551905632019,0.2856254577636719,0.24316567182540894,0.3846774995326996,0.376489520072937,0.2673267424106598
's,0.00493214325979352,0.06895173341035843,0.044498201459646225,0.03109198436141014,-0.032651059329509735,0.04866964742541313,-0.004298824816942215,0.061720144003629684,0.016215575858950615,0.02692362666130066,-0.023395681753754616
superiority,0.3151063919067383,0.23986971378326416,0.2993644177913666,0.3123038113117218,0.31362271308898926,0.24268001317977905,0.2855117917060852,0.4344101548194885,0.2595362663269043,0.30062198638916016,0.2002149522304535
",",0.2420617640018463,0.6633074283599854,0.25518688559532166,0.38080528378486633,0.26157647371292114,0.427140474319458,0.3315127193927765,0.21292094886302948,0.3301127254962921,0.3087472915649414,0.31091248989105225
domination,0.3614206910133362,0.29096317291259766,0.3790532350540161,0.23651856184005737,0.25561195611953735,0.2537585496902466,0.25025972723960876,0.6868993639945984,0.27290281653404236,0.2354229837656021,0.14703449606895447
and,0.19073538482189178,1.0,0.22906047105789185,0.5503310561180115,0.14361271262168884,0.3739250600337982,0.2974761426448822,0.30922091007232666,0.4021143913269043,0.31309178471565247,0.20544172823429108
influence,0.38372498750686646,0.34756016731262207,0.29679539799690247,0.2256375402212143,0.23850969970226288,0.23828014731407166,0.19705571234226227,0.4910376965999603,0.26964855194091797,0.2790174186229706,0.14200882613658905
upon,0.18223267793655396,0.2482176125049591,0.1534791886806488,0.1919373720884323,0.17386557161808014,0.17546571791172028,0.15030957758426666,0.24594619870185852,0.1950630396604538,0.2878674864768982,0.13780277967453003
a,0.17335295677185059,0.3739250600337982,0.19192901253700256,0.3171786069869995,0.2325790673494339,1.0,0.24708621203899384,0.25288090109825134,0.32199642062187195,0.3320399522781372,0.23916715383529663
person,0.1853829026222229,0.27333492040634155,0.18891575932502747,0.23376111686229706,0.24133382737636566,0.4078793525695801,0.23772762715816498,0.1583743840456009,0.2297246754169464,0.41527870297431946,0.324093222618103
or,0.16436384618282318,0.4713204801082611,0.17756415903568268,0.38249531388282776,0.21980789303779602,0.48853766918182373,0.21771061420440674,0.25091418623924255,0.30238664150238037,0.33867141604423523,0.32389625906944275
group,0.15742358565330505,0.3510662019252777,0.19172009825706482,0.2148570716381073,0.16739602386951447,0.2594761848449707,0.19787800312042236,0.24862924218177795,0.1525806486606598,0.2114069163799286,0.13827809691429138
of,0.29240643978118896,0.5116966962814331,0.2704770565032959,0.3565710783004761,0.2426251471042633,0.5052502155303955,0.30884552001953125,0.3554438352584839,0.36136594414711,0.33290785551071167,0.1826142966747284
people,0.16122907400131226,0.3016039729118347,0.2552579641342163,0.22685766220092773,0.13152360916137695,0.3483705520629883,0.30832067131996155,0.11373227089643478,0.2671499252319336,0.32444337010383606,0.23739641904830933
.,0.22279119491577148,0.588965117931366,0.22091162204742432,0.42281273007392883,0.21252663433551788,0.50484299659729,0.33941102027893066,0.20766650140285492,0.37877383828163147,0.3567904531955719,0.4130953550338745
