,what,does,connection,orientation,require
connection-oriented,0.2489452064037323,0.25793713331222534,0.8361984491348267,0.5016273856163025,0.27014485001564026
transmission,0.21502315998077393,0.17395558953285217,0.3869805932044983,0.27136626839637756,0.23804818093776703
requires,0.24784088134765625,0.4281558096408844,0.23933087289333344,0.28981807827949524,0.8026338815689087
a,0.3320399522781372,0.38201746344566345,0.29948776960372925,0.28198209404945374,0.24720792472362518
setup,0.30620378255844116,0.2917804718017578,0.30575627088546753,0.22220970690250397,0.3375150263309479
phase,0.19029277563095093,0.1439378410577774,0.18807488679885864,0.23237663507461548,0.17345717549324036
in,0.30808621644973755,0.214483380317688,0.2436826080083847,0.17691126465797424,0.14079172909259796
each,0.3353266417980194,0.31699198484420776,0.27409809827804565,0.3103398382663727,0.32193723320961
involved,0.2673480808734894,0.24343085289001465,0.3078419864177704,0.28106042742729187,0.27129900455474854
node,0.1706865280866623,0.20154601335525513,0.38629379868507385,0.2517671585083008,0.28267520666122437
before,0.3801657259464264,0.24947339296340942,0.13059355318546295,0.11078868061304092,0.23981165885925293
any,0.43670421838760376,0.5203019976615906,0.3051770031452179,0.33846449851989746,0.44277259707450867
packet,0.2392171323299408,0.26850301027297974,0.31168311834335327,0.15948542952537537,0.30451661348342896
is,0.28837618231773376,0.4403602182865143,0.2946256697177887,0.20858392119407654,0.20895631611347198
transferred,0.16428381204605103,0.15887892246246338,0.29160720109939575,0.1617831289768219,0.16750602424144745
to,0.455847829580307,0.4391997456550598,0.31829091906547546,0.26425614953041077,0.29503753781318665
establish,0.24999600648880005,0.272790789604187,0.30598682165145874,0.21228612959384918,0.24378713965415955
the,0.42745697498321533,0.35928019881248474,0.29966840147972107,0.24898602068424225,0.17356595396995544
parameters,0.22095292806625366,0.2518584728240967,0.17653913795948029,0.24955791234970093,0.359752357006073
of,0.33290785551071167,0.3119818866252899,0.21908310055732727,0.24640251696109772,0.20683176815509796
communication,0.283955842256546,0.2485891431570053,0.5018250346183777,0.2693587839603424,0.2668941020965576
.,0.3567904531955719,0.3022993505001068,0.24572813510894775,0.19950947165489197,0.21465444564819336
