,what,is,set,up,to,scrutinize,private,bills,submitted,by,party,outsiders,?
a,0.3320399522781372,0.658733606338501,0.2540091574192047,0.32523053884506226,0.45503583550453186,0.33280426263809204,0.20346391201019287,0.24252058565616608,0.17993977665901184,0.32094135880470276,0.20141370594501495,0.2722684442996979,0.23916715383529663
further,0.30867868661880493,0.13372796773910522,0.19828712940216064,0.2734512686729431,0.4001762866973877,0.38601917028427124,0.1169898584485054,0.0892731100320816,0.2791518568992615,0.2836849093437195,0.12340205162763596,0.16442742943763733,0.20960763096809387
type,0.2722663879394531,0.3053323030471802,0.10431047528982162,0.1313350349664688,0.19930607080459595,0.2524263560771942,0.2055162489414215,0.09800974279642105,0.10322783887386322,0.15232881903648376,0.08985449373722076,0.07219716161489487,0.17536182701587677
of,0.33290785551071167,0.4854315221309662,0.20671486854553223,0.32945773005485535,0.41548454761505127,0.32066506147384644,0.18706899881362915,0.21196214854717255,0.3152673840522766,0.3646814823150635,0.23662418127059937,0.27147603034973145,0.1826142966747284
committee,0.18195343017578125,0.1410297304391861,0.22804071009159088,0.17760077118873596,0.24979650974273682,0.304317444562912,0.12431012094020844,0.1678713709115982,0.3113212287425995,0.18816545605659485,0.33325687050819397,0.18420854210853577,0.12144632637500763
is,0.28837618231773376,1.0,0.21148966252803802,0.2853454053401947,0.42745086550712585,0.25913622975349426,0.1420905888080597,0.13326987624168396,0.13827726244926453,0.3899846076965332,0.1756078004837036,0.2089310884475708,0.22961433231830597
normally,0.30112072825431824,0.39886221289634705,0.2426016628742218,0.2801213562488556,0.3993734121322632,0.3536335825920105,0.18246670067310333,0.28828755021095276,0.16032126545906067,0.349295049905777,0.13218170404434204,0.19782251119613647,0.20675471425056458
set,0.28954121470451355,0.21148966252803802,1.0000001192092896,0.32636314630508423,0.320547491312027,0.25690650939941406,0.1900145560503006,0.13196483254432678,0.2514342963695526,0.21600963175296783,0.15430596470832825,0.201259046792984,0.1698019951581955
up,0.28591108322143555,0.2853454053401947,0.32636314630508423,1.0000001192092896,0.40375280380249023,0.3747521638870239,0.12035677582025528,0.2038668543100357,0.2052592933177948,0.2738759219646454,0.15331965684890747,0.1890276074409485,0.1819818764925003
to,0.455847829580307,0.42745086550712585,0.320547491312027,0.40375280380249023,1.0,0.5078926682472229,0.18892748653888702,0.24257683753967285,0.2779480218887329,0.33534231781959534,0.1893671154975891,0.3101596534252167,0.29463258385658264
scrutinise,0.4496873617172241,0.28051045536994934,0.26887834072113037,0.34640857577323914,0.4390365183353424,0.8543514013290405,0.2423018217086792,0.3194149434566498,0.3925643563270569,0.25043585896492004,0.2486944943666458,0.38617196679115295,0.4245428442955017
