,which,type,of,law,concerns,the,eu,'s,governance,structure,?
while,0.38669952750205994,0.10300906002521515,0.3366928696632385,0.2214563637971878,0.2644442319869995,0.39804592728614807,0.15644215047359467,0.0011869525769725442,0.246782585978508,0.22454498708248138,0.21076419949531555
constitutional,0.2864847183227539,0.11245497316122055,0.3563419580459595,0.5433541536331177,0.2793796956539154,0.2926941215991974,0.2730419635772705,-0.05937647446990013,0.4707236588001251,0.2515196204185486,0.2199033498764038
law,0.20205146074295044,0.051303401589393616,0.2816956341266632,1.0000001192092896,0.20987725257873535,0.24548950791358948,0.20359504222869873,-0.06109188124537468,0.35446998476982117,0.1710921823978424,0.1528988480567932
concerns,0.234709233045578,0.10978055000305176,0.18160763382911682,0.20987725257873535,1.0,0.23063859343528748,0.17792487144470215,-0.06240003928542137,0.271202027797699,0.22139503061771393,0.3555730879306793
the,0.6521818041801453,0.21819381415843964,0.733189046382904,0.24548950791358948,0.23063859343528748,1.0,0.14126400649547577,-0.01540423184633255,0.30334189534187317,0.2933249771595001,0.22068053483963013
european,0.2234036773443222,0.16010501980781555,0.2507138252258301,0.17164482176303864,0.15060962736606598,0.3423081040382385,0.46552222967147827,0.08902547508478165,0.18576475977897644,0.11848050355911255,0.14560863375663757
union,0.23846890032291412,0.03160056099295616,0.2642118036746979,0.19371826946735382,0.16258856654167175,0.24421639740467072,0.3292396068572998,0.10892792046070099,0.29460808634757996,0.13960646092891693,0.07797172665596008
's,0.03856118768453598,0.05257158726453781,-0.03817026689648628,-0.06109188124537468,-0.06240003928542137,-0.01540423184633255,0.02064049430191517,0.9999999403953552,0.059883203357458115,-0.016846615821123123,-0.023395681753754616
governance,0.33187419176101685,0.13760808110237122,0.34519848227500916,0.35446998476982117,0.271202027797699,0.30334189534187317,0.21581856906414032,0.059883203357458115,1.0000001192092896,0.28444910049438477,0.19755220413208008
structure,0.4027908146381378,0.2479354441165924,0.2599511742591858,0.1710921823978424,0.22139503061771393,0.2933249771595001,0.10908470302820206,-0.016846615821123123,0.28444910049438477,1.0000001192092896,0.1770772784948349
",",0.3658004403114319,0.1804078221321106,0.4946078956127167,0.24953721463680267,0.3228265941143036,0.4933079481124878,0.1565755307674408,-0.0016132977325469255,0.23150865733623505,0.20300157368183136,0.31091248989105225
administrative,0.2209426909685135,0.1090308129787445,0.3186163008213043,0.2302519977092743,0.22429928183555603,0.25410786271095276,0.22867801785469055,-0.05015919357538223,0.39145445823669434,0.21432757377624512,0.15912041068077087
law,0.20205146074295044,0.051303401589393616,0.2816956341266632,1.0000001192092896,0.20987725257873535,0.24548950791358948,0.20359504222869873,-0.06109188124537468,0.35446998476982117,0.1710921823978424,0.1528988480567932
binds,0.40098831057548523,0.26743704080581665,0.274389386177063,0.2474297434091568,0.18363304436206818,0.24022893607616425,0.20669250190258026,-0.05815441533923149,0.2192491888999939,0.3716907203197479,0.11864341795444489
eu,0.15620915591716766,0.09663985669612885,0.1579294353723526,0.20359504222869873,0.17792487144470215,0.14126400649547577,0.9999998807907104,0.02064049430191517,0.21581856906414032,0.10908470302820206,0.21586786210536957
institutions,0.3250819742679596,0.15365764498710632,0.3371490240097046,0.38910791277885437,0.3067786395549774,0.2776423394680023,0.22206048667430878,-0.033028494566679,0.5062427520751953,0.2915935218334198,0.19119486212730408
and,0.506277859210968,0.16898801922798157,0.5116966962814331,0.254730761051178,0.2781383991241455,0.5171257257461548,0.16977795958518982,0.06895173341035843,0.2939486801624298,0.24419280886650085,0.20544172823429108
member,0.19141918420791626,0.1253872513771057,0.2701796889305115,0.17515966296195984,0.07804936915636063,0.2806392312049866,0.2245567888021469,-0.031640440225601196,0.23014530539512634,0.11670070141553879,0.06826172769069672
states,0.27476921677589417,0.15023280680179596,0.30884552001953125,0.2508668601512909,0.1481885462999344,0.3463578522205353,0.17918972671031952,-0.004298824816942215,0.27295422554016113,0.1335165947675705,0.16272737085819244
to,0.5345056653022766,0.19930607080459595,0.41548454761505127,0.259207159280777,0.3080695569515228,0.535392165184021,0.1539587825536728,0.03782717138528824,0.26012709736824036,0.27200284600257874,0.29463258385658264
follow,0.34720125794410706,0.16043582558631897,0.26846790313720703,0.28822946548461914,0.27041855454444885,0.3197029232978821,0.1155661940574646,-0.030512675642967224,0.29947856068611145,0.2507196068763733,0.26102155447006226
the,0.6521818041801453,0.21819381415843964,0.733189046382904,0.24548950791358948,0.23063859343528748,1.0,0.14126400649547577,-0.01540423184633255,0.30334189534187317,0.2933249771595001,0.22068053483963013
law,0.20205146074295044,0.051303401589393616,0.2816956341266632,1.0000001192092896,0.20987725257873535,0.24548950791358948,0.20359504222869873,-0.06109188124537468,0.35446998476982117,0.1710921823978424,0.1528988480567932
.,0.45942068099975586,0.23195341229438782,0.5352458953857422,0.24482665956020355,0.23656776547431946,0.5934505462646484,0.1552242487668991,-0.003708066651597619,0.2614017426967621,0.26570191979408264,0.4130953550338745
