,what,two,doctors,does,the,war,doctor,exist,between,?
he,0.3114890456199646,0.27156874537467957,0.23351526260375977,0.22791607677936554,0.4571082592010498,0.34136271476745605,0.3197924494743347,0.202562153339386,0.20695680379867554,0.2089974731206894
is,0.28837618231773376,0.2315155267715454,0.14594002068042755,0.4403602182865143,0.5823672413825989,0.18502555787563324,0.19875872135162354,0.24373944103717804,0.26809602975845337,0.22961433231830597
shown,0.2601207196712494,0.25581416487693787,0.210747629404068,0.24773938953876495,0.3387985825538635,0.17798209190368652,0.18401096761226654,0.28138571977615356,0.25202757120132446,0.2433658242225647
in,0.30808621644973755,0.36463531851768494,0.1817551702260971,0.214483380317688,0.6662389636039734,0.29904094338417053,0.25567495822906494,0.2361043095588684,0.41100412607192993,0.20430970191955566
mini-episode,0.24535569548606873,0.26036104559898376,0.22134649753570557,0.2287161946296692,0.29159799218177795,0.22746838629245758,0.28662043809890747,0.24647220969200134,0.2201610654592514,0.2965864837169647
``,0.008517155423760414,0.07021170109510422,0.05142197012901306,0.06539655476808548,0.029072100296616554,0.02770489826798439,0.03718610852956772,0.05419663339853287,0.08136986941099167,0.0685480609536171
the,0.42745697498321533,0.43858039379119873,0.24499839544296265,0.35928019881248474,1.0,0.366199791431427,0.2820442318916321,0.3024537265300751,0.39067012071609497,0.22068053483963013
night,0.20251014828681946,0.19858719408512115,0.14564308524131775,0.17079299688339233,0.2817382514476776,0.20514647662639618,0.14202594757080078,0.14876215159893036,0.16698585450649261,0.13794848322868347
of,0.33290785551071167,0.37726253271102905,0.18925178050994873,0.3119818866252899,0.733189046382904,0.31680163741111755,0.16895952820777893,0.28013259172439575,0.3737983703613281,0.1826142966747284
the,0.42745697498321533,0.43858039379119873,0.24499839544296265,0.35928019881248474,1.0,0.366199791431427,0.2820442318916321,0.3024537265300751,0.39067012071609497,0.22068053483963013
doctor,0.20870667695999146,0.12698069214820862,0.6945362687110901,0.17192082107067108,0.2820442318916321,0.17948800325393677,0.9999999403953552,0.15136200189590454,0.13923875987529755,0.1462511420249939
'',0.08143015950918198,-0.004284570459276438,0.06958180665969849,-0.004023602232336998,0.041273195296525955,-0.04993505775928497,0.06782495975494385,0.017551228404045105,0.060806289315223694,0.018684765323996544
to,0.455847829580307,0.3343428373336792,0.2947743237018585,0.4391997456550598,0.535392165184021,0.2610234022140503,0.22950075566768646,0.2506487965583801,0.3639189600944519,0.29463258385658264
have,0.39808809757232666,0.4498785734176636,0.29020634293556213,0.3709583580493927,0.40389683842658997,0.22249692678451538,0.17649078369140625,0.4638937711715698,0.3203330636024475,0.32991164922714233
