,what,tribe,fell,apart,after,temüjin,defeated,toghrul,?
this,0.5489566326141357,0.20214860141277313,0.11906833946704865,0.27166837453842163,0.3357301354408264,0.38931000232696533,0.1344546675682068,0.2993663251399994,0.3155723512172699
defeat,0.16252544522285461,0.23178642988204956,0.2313115894794464,0.18672989308834076,0.35571539402008057,0.32097387313842773,0.8196790814399719,0.17263801395893097,0.12980464100837708
was,0.22111038863658905,0.18090631067752838,0.38681042194366455,0.1961895227432251,0.49306565523147583,0.38774195313453674,0.30834874510765076,0.2445739507675171,0.18412111699581146
a,0.3320399522781372,0.22244147956371307,0.19481830298900604,0.22174540162086487,0.3831600844860077,0.36845725774765015,0.12193045020103455,0.32233721017837524,0.23916715383529663
catalyst,0.22293639183044434,0.04647389054298401,0.07351816445589066,0.1530962437391281,0.11224555969238281,0.17858535051345825,0.09882195293903351,0.164292111992836,0.1609763652086258
for,0.3017193675041199,0.0773274376988411,0.15289437770843506,0.16792325675487518,0.3650246858596802,0.2671065032482147,0.15790952742099762,0.28215083479881287,0.264628142118454
the,0.42745697498321533,0.280248761177063,0.2598440647125244,0.28010323643684387,0.4565047025680542,0.43713900446891785,0.2833898365497589,0.3152857720851898,0.22068053483963013
fall,0.26931828260421753,0.1475106179714203,0.5631121397018433,0.33288076519966125,0.30550846457481384,0.30983999371528625,0.1857054978609085,0.1375473141670227,0.1656162142753601
and,0.31309178471565247,0.1568450778722763,0.29412880539894104,0.330744206905365,0.3765919506549835,0.3789469599723816,0.23550936579704285,0.3432293236255646,0.20544172823429108
eventual,0.24209775030612946,0.10571783781051636,0.22027695178985596,0.2269103080034256,0.469735711812973,0.3689754009246826,0.36210471391677856,0.13013781607151031,0.13254497945308685
dissolution,0.20645667612552643,0.0864090770483017,0.23125730454921722,0.17769119143486023,0.28594833612442017,0.31910285353660583,0.277604341506958,0.22465994954109192,0.11665984988212585
of,0.33290785551071167,0.22602348029613495,0.2526882588863373,0.25376787781715393,0.3867455720901489,0.378805011510849,0.21236225962638855,0.32596123218536377,0.1826142966747284
the,0.42745697498321533,0.280248761177063,0.2598440647125244,0.28010323643684387,0.4565047025680542,0.43713900446891785,0.2833898365497589,0.3152857720851898,0.22068053483963013
keraite,0.34052959084510803,0.34969836473464966,0.2128220647573471,0.3303084969520569,0.185285285115242,0.45074760913848877,0.23183749616146088,0.45995989441871643,0.23286446928977966
tribe,0.2215883582830429,1.0000001192092896,0.1542777121067047,0.17564301192760468,0.16394387185573578,0.40159136056900024,0.213591530919075,0.3389265537261963,0.11037874221801758
.,0.3567904531955719,0.1587309092283249,0.20426522195339203,0.2438974529504776,0.35870397090911865,0.31788840889930725,0.2081184983253479,0.336329847574234,0.4130953550338745
