,what,was,iqbal,studying,in,england,and,germany,?
while,0.35511791706085205,0.3253832161426544,0.18729950487613678,0.28374356031417847,0.3399278521537781,0.1860550493001938,0.45699796080589294,0.15474820137023926,0.21076419949531555
studying,0.3393959105014801,0.24193638563156128,0.26532772183418274,1.0,0.32655033469200134,0.1575341373682022,0.3061647117137909,0.15410511195659637,0.14438828825950623
law,0.2145031988620758,0.21553055942058563,0.24563677608966827,0.28413689136505127,0.24850773811340332,0.1709405481815338,0.254730761051178,0.17721128463745117,0.1528988480567932
and,0.31309178471565247,0.3740963041782379,0.26650312542915344,0.3061647117137909,0.4954058527946472,0.35173749923706055,1.0,0.29381805658340454,0.20544172823429108
philosophy,0.3238759934902191,0.18397994339466095,0.3354117274284363,0.40600576996803284,0.27151891589164734,0.1482396274805069,0.23960337042808533,0.22492468357086182,0.17949430644512177
in,0.30808621644973755,0.45514053106307983,0.2000269591808319,0.32655033469200134,1.0,0.33311840891838074,0.4954058527946472,0.3642844259738922,0.20430970191955566
england,0.21399550139904022,0.2656741440296173,0.2243778258562088,0.1575341373682022,0.33311840891838074,0.9999998807907104,0.35173749923706055,0.385330468416214,0.13436897099018097
and,0.31309178471565247,0.3740963041782379,0.26650312542915344,0.3061647117137909,0.4954058527946472,0.35173749923706055,1.0,0.29381805658340454,0.20544172823429108
germany,0.21690446138381958,0.2618768811225891,0.15274927020072937,0.15410511195659637,0.3642844259738922,0.385330468416214,0.29381805658340454,1.0,0.1388660967350006
",",0.3087472915649414,0.45456063747406006,0.21315646171569824,0.28254297375679016,0.5201468467712402,0.2732875645160675,0.6633074283599854,0.2898865044116974,0.31091248989105225
iqbal,0.26565322279930115,0.31416603922843933,1.0000001192092896,0.26532772183418274,0.2000269591808319,0.2243778258562088,0.26650312542915344,0.15274927020072937,0.18507060408592224
became,0.1434093862771988,0.6575068235397339,0.21433068811893463,0.2346731424331665,0.31047213077545166,0.2236611247062683,0.31226563453674316,0.21627181768417358,0.11374033987522125
a,0.3320399522781372,0.4508470594882965,0.19544151425361633,0.28715598583221436,0.539380669593811,0.2410653531551361,0.3739250600337982,0.2606942057609558,0.23916715383529663
member,0.09932345896959305,0.31559354066848755,0.08177398145198822,0.16390079259872437,0.20856694877147675,0.19622978568077087,0.28606608510017395,0.1564580649137497,0.06826172769069672
of,0.33290785551071167,0.4069072902202606,0.17434294521808624,0.2883101999759674,0.5696388483047485,0.24624483287334442,0.5116966962814331,0.2942050099372864,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.1828971952199936,0.24704718589782715,0.6662389636039734,0.28280043601989746,0.5171257257461548,0.3181285262107849,0.22068053483963013
london,0.15188734233379364,0.3026486933231354,0.28012916445732117,0.20113252103328705,0.2785358726978302,0.4936862885951996,0.2868692874908447,0.2620079517364502,0.11278104782104492
branch,0.1792319416999817,0.1434769183397293,0.17286193370819092,0.19097600877285004,0.21656033396720886,0.12212862819433212,0.23874594271183014,0.1462874412536621,0.10474635660648346
of,0.33290785551071167,0.4069072902202606,0.17434294521808624,0.2883101999759674,0.5696388483047485,0.24624483287334442,0.5116966962814331,0.2942050099372864,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.1828971952199936,0.24704718589782715,0.6662389636039734,0.28280043601989746,0.5171257257461548,0.3181285262107849,0.22068053483963013
all,0.41981086134910583,0.23179835081100464,0.1307486891746521,0.20255938172340393,0.3335905969142914,0.25864818692207336,0.4542157053947449,0.24488277733325958,0.29575422406196594
india,0.23203566670417786,0.22117909789085388,0.38283511996269226,0.12771226465702057,0.27070173621177673,0.333784818649292,0.2782815098762512,0.334312379360199,0.10473668575286865
muslim,0.2631456255912781,0.230477973818779,0.4648188054561615,0.19135400652885437,0.2092999517917633,0.18736247718334198,0.255716472864151,0.16805440187454224,0.17456822097301483
league,0.16616638004779816,0.21425791084766388,0.24619193375110626,0.08924998342990875,0.22963495552539825,0.2081800401210785,0.211333766579628,0.1610611379146576,0.15941482782363892
.,0.3567904531955719,0.40146201848983765,0.2092389315366745,0.2383679449558258,0.5591574311256409,0.31012484431266785,0.588965117931366,0.28498756885528564,0.4130953550338745
