,when,did,abc,films,begin,selling,programs,to,other,networks,?
in,0.4431333839893341,0.2593238651752472,0.1697147786617279,0.19618625938892365,0.2903634011745453,0.2517387568950653,0.2276356965303421,0.45010748505592346,0.39989137649536133,0.17525765299797058,0.20430970191955566
1959,0.11907853186130524,0.014086701907217503,-0.034490931779146194,-0.04791607707738876,0.10181530565023422,-0.05797658860683441,-0.055488355457782745,0.0955510213971138,0.04638982191681862,0.011311751790344715,0.07245876640081406
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.2246396839618683,0.27304404973983765,0.23531173169612885,0.21514803171157837,0.44245919585227966,0.4446498453617096,0.20105446875095367,0.31091248989105225
this,0.4959332048892975,0.3609912693500519,0.16107726097106934,0.19058983027935028,0.2800110876560211,0.2527153193950653,0.2318243682384491,0.5759071707725525,0.43044695258140564,0.22046619653701782,0.3155723512172699
rerun,0.1763761341571808,0.21082864701747894,0.3812296688556671,0.24266505241394043,0.1517142504453659,0.10896991193294525,0.35759401321411133,0.1901678740978241,0.13537317514419556,0.36368268728256226,0.29187825322151184
activity,0.2616889178752899,0.15278087556362152,0.10319694131612778,0.16548293828964233,0.2097553014755249,0.18253764510154724,0.24922238290309906,0.26676592230796814,0.3060377836227417,0.20933115482330322,0.19043973088264465
was,0.37326499819755554,0.41399896144866943,0.21565799415111542,0.16167162358760834,0.17294162511825562,0.27842292189598083,0.16294841468334198,0.3636345863342285,0.14651623368263245,0.169170543551445,0.18412111699581146
completed,0.1893177628517151,0.2574852406978607,0.11398109793663025,0.09867335855960846,0.3495575487613678,0.19064204394817352,0.23042435944080353,0.2867361009120941,0.08927036821842194,0.14690619707107544,0.08272653818130493
with,0.5075214505195618,0.25472134351730347,0.17432008683681488,0.21037143468856812,0.25770750641822815,0.2150118052959442,0.1916923075914383,0.4239959120750427,0.44086363911628723,0.20336084067821503,0.2433311939239502
program,0.2301054745912552,0.18915289640426636,0.28949791193008423,0.19357462227344513,0.15393386781215668,0.17291776835918427,0.7779488563537598,0.23681028187274933,0.16692878305912018,0.3980877101421356,0.1440187245607376
syndication,0.2195785790681839,0.14516595005989075,0.45915043354034424,0.3469754159450531,0.18917687237262726,0.22277694940567017,0.4316180646419525,0.2022804468870163,0.19861026108264923,0.43318405747413635,0.1681542545557022
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.2246396839618683,0.27304404973983765,0.23531173169612885,0.21514803171157837,0.44245919585227966,0.4446498453617096,0.20105446875095367,0.31091248989105225
with,0.5075214505195618,0.25472134351730347,0.17432008683681488,0.21037143468856812,0.25770750641822815,0.2150118052959442,0.1916923075914383,0.4239959120750427,0.44086363911628723,0.20336084067821503,0.2433311939239502
abc,0.13294127583503723,0.13353709876537323,1.0000001192092896,0.2945549488067627,0.12703588604927063,0.14465419948101044,0.3454950749874115,0.1762417107820511,0.10159935057163239,0.350273072719574,0.19065172970294952
films,0.16035419702529907,0.14824813604354858,0.2945549488067627,1.0,0.10340619087219238,0.2044292390346527,0.35745593905448914,0.1500503271818161,0.21570530533790588,0.25985753536224365,0.20618696510791779
selling,0.22064565122127533,0.24011237919330597,0.14465419948101044,0.2044292390346527,0.14036545157432556,1.0,0.2134733945131302,0.1958334594964981,0.28100115060806274,0.17675332725048065,0.13581715524196625
programs,0.19495362043380737,0.2038959413766861,0.3454950749874115,0.35745593905448914,0.14375528693199158,0.2134733945131302,1.0000001192092896,0.23389451205730438,0.2899841070175171,0.47337809205055237,0.16452431678771973
to,0.5423505902290344,0.4452643394470215,0.1762417107820511,0.1500503271818161,0.33302420377731323,0.1958334594964981,0.23389451205730438,1.0,0.4193183183670044,0.23877078294754028,0.29463258385658264
networks,0.1901119351387024,0.06869131326675415,0.350273072719574,0.25985753536224365,0.13577887415885925,0.17675332725048065,0.47337809205055237,0.23877078294754028,0.2968651056289673,1.0,0.17815114557743073
not,0.4799930453300476,0.6481515765190125,0.15984800457954407,0.1546679437160492,0.3201296329498291,0.20433828234672546,0.22915247082710266,0.5149973034858704,0.4341118037700653,0.15378254652023315,0.41942933201789856
owned,0.20093747973442078,0.20064307749271393,0.2405787706375122,0.14921866357326508,0.06170426309108734,0.2886703610420227,0.1938660889863968,0.12258157879114151,0.177451029419899,0.3114136755466461,0.1288648396730423
by,0.4376842677593231,0.18574509024620056,0.17600902915000916,0.17187541723251343,0.16351081430912018,0.2589837908744812,0.2369476854801178,0.33534231781959534,0.3321913778781891,0.24484656751155853,0.17966607213020325
abc,0.13294127583503723,0.13353709876537323,1.0000001192092896,0.2945549488067627,0.12703588604927063,0.14465419948101044,0.3454950749874115,0.1762417107820511,0.10159935057163239,0.350273072719574,0.19065172970294952
.,0.475719153881073,0.35288307070732117,0.2567209303379059,0.226910799741745,0.24827922880649567,0.2498367726802826,0.21148164570331573,0.4645031690597534,0.41511186957359314,0.24027101695537567,0.4130953550338745
