,when,was,the,dutch,revolt,?
some,0.386913925409317,0.21528802812099457,0.4566698372364044,0.13675643503665924,0.20225445926189423,0.2562315762042999
huguenots,0.21745723485946655,0.20650696754455566,0.30745792388916016,0.37400156259536743,0.41753843426704407,0.16010338068008423
fought,0.19500835239887238,0.3444228172302246,0.30367159843444824,0.16253729164600372,0.38871699571609497,0.15288178622722626
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.17559829354286194,0.1841784566640854,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.1705695390701294,0.26279088854789734,0.22068053483963013
low,0.23078076541423798,0.18105973303318024,0.2544175982475281,0.19933964312076569,0.12935197353363037,0.10658930987119675
countries,0.26415354013442993,0.24139733612537384,0.33290645480155945,0.2367144227027893,0.21956215798854828,0.15128466486930847
alongside,0.22126494348049164,0.186976358294487,0.2475084811449051,0.14928556978702545,0.06027267873287201,0.20579710602760315
the,0.5091903209686279,0.48711544275283813,1.0,0.1705695390701294,0.26279088854789734,0.22068053483963013
dutch,0.13281308114528656,0.2182149887084961,0.1705695390701294,0.9999999403953552,0.22567413747310638,0.1081366017460823
against,0.32684949040412903,0.22972732782363892,0.3090755045413971,0.16193445026874542,0.32754918932914734,0.18095137178897858
spain,0.16863207519054413,0.21705155074596405,0.259463906288147,0.28424811363220215,0.2300616204738617,0.16814002394676208
during,0.46721696853637695,0.4470829963684082,0.4838213622570038,0.1390973925590515,0.23214370012283325,0.1325719803571701
the,0.5091903209686279,0.48711544275283813,1.0,0.1705695390701294,0.26279088854789734,0.22068053483963013
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.18456821143627167,0.14999984204769135,0.18701928853988647
years,0.3409145474433899,0.35855233669281006,0.2912273406982422,0.1963994801044464,0.11001189053058624,0.1914375126361847
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.14408773183822632,0.23708310723304749,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.1705695390701294,0.26279088854789734,0.22068053483963013
dutch,0.13281308114528656,0.2182149887084961,0.1705695390701294,0.9999999403953552,0.22567413747310638,0.1081366017460823
revolt,0.2188282459974289,0.25198274850845337,0.26279088854789734,0.22567413747310638,1.0000001192092896,0.13996845483779907
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.1816992163658142,0.1071397215127945,0.40561532974243164
1568–1609,0.1138000637292862,0.043370384722948074,0.16815386712551117,0.11391796916723251,0.114016093313694,0.14578215777873993
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.1930844932794571,0.12460894137620926,0.42300865054130554
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2196396291255951,0.1779014617204666,0.4130953550338745
