,what,team,was,the,divisional,round,winner,between,the,broncos,and,steelers,?
the,0.42745697498321533,0.22564226388931274,0.48711544275283813,1.0,0.29866886138916016,0.19933617115020752,0.25965070724487305,0.39067012071609497,1.0,0.25985947251319885,0.5171257257461548,0.24458691477775574,0.22068053483963013
broncos,0.1787765771150589,0.32797038555145264,0.23574475944042206,0.25985947251319885,0.32206958532333374,0.2565499246120453,0.2863049805164337,0.18754306435585022,0.25985947251319885,1.0000001192092896,0.20959050953388214,0.6163044571876526,0.18377114832401276
defeated,0.13652801513671875,0.2748386263847351,0.30834874510765076,0.2833898365497589,0.26896175742149353,0.23165248334407806,0.24697282910346985,0.2388090044260025,0.2833898365497589,0.3003196120262146,0.23550936579704285,0.328355073928833,0.1413237303495407
the,0.42745697498321533,0.22564226388931274,0.48711544275283813,1.0,0.29866886138916016,0.19933617115020752,0.25965070724487305,0.39067012071609497,1.0,0.25985947251319885,0.5171257257461548,0.24458691477775574,0.22068053483963013
pittsburgh,0.16984835267066956,0.2527274489402771,0.24069096148014069,0.22728557884693146,0.1418951451778412,0.22934922575950623,0.22535409033298492,0.04461655020713806,0.22728557884693146,0.46763214468955994,0.17732641100883484,0.566253662109375,0.17622371017932892
steelers,0.15158270299434662,0.37284547090530396,0.2266676425933838,0.24458691477775574,0.29003608226776123,0.2820480763912201,0.2550937533378601,0.10071282088756561,0.24458691477775574,0.6163044571876526,0.26277098059654236,1.0,0.2030561864376068
in,0.30808621644973755,0.18841172754764557,0.45514053106307983,0.6662389636039734,0.27742800116539,0.17063008248806,0.2491646409034729,0.41100412607192993,0.6662389636039734,0.20316283404827118,0.4954058527946472,0.16642944514751434,0.20430970191955566
the,0.42745697498321533,0.22564226388931274,0.48711544275283813,1.0,0.29866886138916016,0.19933617115020752,0.25965070724487305,0.39067012071609497,1.0,0.25985947251319885,0.5171257257461548,0.24458691477775574,0.22068053483963013
divisional,0.19920207560062408,0.2789779603481293,0.22680401802062988,0.29866886138916016,1.0,0.23850208520889282,0.18568794429302216,0.19302970170974731,0.29866886138916016,0.32206958532333374,0.23339633643627167,0.29003608226776123,0.08093056827783585
round,0.19122174382209778,0.2515966296195984,0.11483433097600937,0.19933617115020752,0.23850208520889282,1.0,0.23215270042419434,0.12289085239171982,0.19933617115020752,0.2565499246120453,0.23684285581111908,0.2820480763912201,0.17003268003463745
