,when,was,the,methodist,episcopal,church,founded,?
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.20030651986598969,0.20055687427520752,0.1633070856332779,0.20260940492153168,0.21978627145290375
this,0.4959332048892975,0.3638818562030792,0.6274310946464539,0.13579334318637848,0.22885103523731232,0.18826861679553986,0.11364959180355072,0.3155723512172699
time,0.4363728165626526,0.3641340136528015,0.43061500787734985,0.19161073863506317,0.1616639941930771,0.17123638093471527,0.19703084230422974,0.27391523122787476
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2960420250892639,0.2749701738357544,0.2707274258136749,0.24976085126399994,0.31091248989105225
methodists,0.18112710118293762,0.226683109998703,0.25832629203796387,0.9008142352104187,0.5583233833312988,0.5860596895217896,0.2631668448448181,0.1608453392982483
had,0.37526828050613403,0.5927209258079529,0.3875846862792969,0.20389172434806824,0.2121780514717102,0.21721379458904266,0.1999899297952652,0.20728366076946259
not,0.4799930453300476,0.2888734042644501,0.4310511648654938,0.18699541687965393,0.19096937775611877,0.1967715620994568,0.07008978724479675,0.41942933201789856
yet,0.42393529415130615,0.2944047451019287,0.32892218232154846,0.11857573688030243,0.1838521510362625,0.1475159227848053,0.02411750517785549,0.4011770784854889
broken,0.28392845392227173,0.1565612107515335,0.27700477838516235,0.11522228270769119,0.1129487082362175,0.11813201755285263,0.021960118785500526,0.1915387511253357
away,0.38308146595954895,0.1712075024843216,0.29030847549438477,0.18537311255931854,0.1709538996219635,0.14537633955478668,0.09615881741046906,0.15156377851963043
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.2162594348192215,0.2385225147008896,0.1894836276769638,0.1587110161781311,0.19969791173934937
the,0.5091903209686279,0.48711544275283813,1.0,0.21922016143798828,0.2631160318851471,0.23846197128295898,0.2840350568294525,0.22068053483963013
anglican,0.13846904039382935,0.235756516456604,0.2092299461364746,0.5849136710166931,0.5795279145240784,0.6649542450904846,0.2428508847951889,0.11877371370792389
church,0.20053261518478394,0.24960921704769135,0.23846197128295898,0.6119816899299622,0.6002358794212341,0.9999999403953552,0.20292437076568604,0.18081501126289368
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.2376793771982193,0.18267527222633362,0.1976170688867569,0.22426098585128784,0.20544172823429108
the,0.5091903209686279,0.48711544275283813,1.0,0.21922016143798828,0.2631160318851471,0.23846197128295898,0.2840350568294525,0.22068053483963013
methodist,0.16788707673549652,0.2711138129234314,0.21922016143798828,1.0,0.607796847820282,0.6119816899299622,0.2783272862434387,0.1436992734670639
episcopal,0.17882616817951202,0.2479659467935562,0.2631160318851471,0.607796847820282,1.0000001192092896,0.6002358794212341,0.22673353552818298,0.22619661688804626
church,0.20053261518478394,0.24960921704769135,0.23846197128295898,0.6119816899299622,0.6002358794212341,0.9999999403953552,0.20292437076568604,0.18081501126289368
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.2711138129234314,0.2479659467935562,0.24960921704769135,0.36917948722839355,0.18412111699581146
not,0.4799930453300476,0.2888734042644501,0.4310511648654938,0.18699541687965393,0.19096937775611877,0.1967715620994568,0.07008978724479675,0.41942933201789856
founded,0.16657374799251556,0.36917948722839355,0.2840350568294525,0.2783272862434387,0.22673353552818298,0.20292437076568604,1.0000001192092896,0.09119737893342972
until,0.494509756565094,0.43126991391181946,0.37191009521484375,0.1588226705789566,0.22582635283470154,0.19995032250881195,0.22842633724212646,0.20304496586322784
1784,0.12088574469089508,0.12762801349163055,0.21695038676261902,0.1151311844587326,0.20317138731479645,0.18120720982551575,0.24582822620868683,0.12145309150218964
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.30669423937797546,0.29671710729599,0.28898224234580994,0.23141497373580933,0.4130953550338745
