,economy,",",energy,and,tourism,is,one,of,the,what,?
the,0.24644890427589417,0.4933079481124878,0.26756542921066284,0.5171257257461548,0.26230889558792114,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.42745697498321533,0.22068053483963013
current,0.1764192134141922,0.29341426491737366,0.2309693843126297,0.23919939994812012,0.08764912188053131,0.2555285692214966,0.28422072529792786,0.31470298767089844,0.3314409554004669,0.18294453620910645,0.12074550241231918
subject,0.19706737995147705,0.25792038440704346,0.1599547415971756,0.2574312388896942,0.18346773087978363,0.25386592745780945,0.2708847224712372,0.21533280611038208,0.2387523651123047,0.3828662037849426,0.33952999114990234
committees,0.2375374585390091,0.2178204506635666,0.19458642601966858,0.289193332195282,0.21381692588329315,0.15802469849586487,0.20696991682052612,0.34709328413009644,0.2924276292324066,0.1853698194026947,0.1382787674665451
in,0.2588731348514557,0.5201468467712402,0.17693158984184265,0.4954058527946472,0.2723471224308014,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.30808621644973755,0.20430970191955566
the,0.24644890427589417,0.4933079481124878,0.26756542921066284,0.5171257257461548,0.26230889558792114,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.42745697498321533,0.22068053483963013
fourth,0.10383468866348267,0.271299809217453,0.15857653319835663,0.27958914637565613,0.0852365791797638,0.31589972972869873,0.38157644867897034,0.30335766077041626,0.40804702043533325,0.137417271733284,0.13791213929653168
session,0.1097596287727356,0.20594055950641632,0.15295933187007904,0.19851624965667725,0.0696970522403717,0.1451595574617386,0.19057919085025787,0.18514622747898102,0.2187730073928833,0.17364954948425293,0.1393868774175644
are,0.20565389096736908,0.4062570035457611,0.24820072948932648,0.48576638102531433,0.194535031914711,0.5330929756164551,0.42537835240364075,0.39081433415412903,0.40399202704429626,0.29724663496017456,0.24591213464736938
:,0.05854745954275131,-0.004729332868009806,-0.07355408370494843,-0.04625999182462692,0.010691897012293339,-0.07222653180360794,0.05350891128182411,-0.08807745575904846,-0.03403344005346298,-0.12022944539785385,-0.07156077772378922
economy,1.0,0.2521176040172577,0.2605016231536865,0.26484790444374084,0.4874902367591858,0.2698528468608856,0.18449002504348755,0.2583308815956116,0.24644890427589417,0.21764783561229706,0.11486924439668655
",",0.2521176040172577,1.0000001192092896,0.21156731247901917,0.6633074283599854,0.18920621275901794,0.4691906273365021,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.3087472915649414,0.31091248989105225
energy,0.2605016231536865,0.21156731247901917,1.0000001192092896,0.23934243619441986,0.2547667324542999,0.2171693742275238,0.22750023007392883,0.26257598400115967,0.26756542921066284,0.190252885222435,0.14860127866268158
and,0.26484790444374084,0.6633074283599854,0.23934243619441986,1.0,0.20271359384059906,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.31309178471565247,0.20544172823429108
tourism,0.4874902367591858,0.18920621275901794,0.2547667324542999,0.20271359384059906,1.0,0.22605954110622406,0.15266141295433044,0.2838558554649353,0.26230889558792114,0.09624189138412476,0.08465105295181274
;,0.0673912763595581,0.04938793554902077,-0.0045349788852036,0.08403264731168747,0.0706644058227539,0.05324986204504967,0.03110813908278942,0.054534342139959335,0.09152708947658539,0.10986888408660889,0.10349778085947037
education,0.3624971807003021,0.2718683183193207,0.255889356136322,0.308173805475235,0.34731146693229675,0.18778188526630402,0.1546267718076706,0.3015166223049164,0.23982903361320496,0.19940856099128723,0.18067774176597595
and,0.26484790444374084,0.6633074283599854,0.23934243619441986,1.0,0.20271359384059906,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.31309178471565247,0.20544172823429108
culture,0.4020618200302124,0.23807421326637268,0.15287192165851593,0.2617773115634918,0.38275113701820374,0.22229626774787903,0.18371114134788513,0.27266472578048706,0.27157285809516907,0.22475376725196838,0.13093146681785583
;,0.0673912763595581,0.04938793554902077,-0.0045349788852036,0.08403264731168747,0.0706644058227539,0.05324986204504967,0.03110813908278942,0.054534342139959335,0.09152708947658539,0.10986888408660889,0.10349778085947037
health,0.3636942207813263,0.2331448197364807,0.31299328804016113,0.3215619623661041,0.3499905467033386,0.1864514946937561,0.19881348311901093,0.28076469898223877,0.2340974360704422,0.21460163593292236,0.16094304621219635
and,0.26484790444374084,0.6633074283599854,0.23934243619441986,1.0,0.20271359384059906,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.31309178471565247,0.20544172823429108
sport,0.19818761944770813,0.1842397302389145,0.2156769335269928,0.20057028532028198,0.35000911355018616,0.1922176480293274,0.20173762738704681,0.17918744683265686,0.15650692582130432,0.1305270493030548,0.0972188338637352
;,0.0673912763595581,0.04938793554902077,-0.0045349788852036,0.08403264731168747,0.0706644058227539,0.05324986204504967,0.03110813908278942,0.054534342139959335,0.09152708947658539,0.10986888408660889,0.10349778085947037
justice,0.18869437277317047,0.22630788385868073,0.22661298513412476,0.22812503576278687,0.16551056504249573,0.18458157777786255,0.2091836929321289,0.2658293545246124,0.23470892012119293,0.21462921798229218,0.19269752502441406
;,0.0673912763595581,0.04938793554902077,-0.0045349788852036,0.08403264731168747,0.0706644058227539,0.05324986204504967,0.03110813908278942,0.054534342139959335,0.09152708947658539,0.10986888408660889,0.10349778085947037
local,0.2703266739845276,0.20673875510692596,0.10596074163913727,0.2468787580728531,0.253913551568985,0.13173899054527283,0.1661648005247116,0.20668989419937134,0.2130540907382965,0.18981902301311493,0.15022775530815125
government,0.42942923307418823,0.27344048023223877,0.20771898329257965,0.2859337627887726,0.3329891860485077,0.20343491435050964,0.22701126337051392,0.3475167155265808,0.31798112392425537,0.28074538707733154,0.18851417303085327
and,0.26484790444374084,0.6633074283599854,0.23934243619441986,1.0,0.20271359384059906,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.31309178471565247,0.20544172823429108
regeneration,0.18074949085712433,0.1955612301826477,0.38818982243537903,0.275411456823349,0.16362956166267395,0.20627576112747192,0.27055180072784424,0.32214465737342834,0.3351733982563019,0.22060240805149078,0.13848066329956055
;,0.0673912763595581,0.04938793554902077,-0.0045349788852036,0.08403264731168747,0.0706644058227539,0.05324986204504967,0.03110813908278942,0.054534342139959335,0.09152708947658539,0.10986888408660889,0.10349778085947037
