,who,formed,the,government,in,kenya,?
despite,0.18035544455051422,0.21397092938423157,0.3172689974308014,0.2303158938884735,0.27473363280296326,0.1699586808681488,0.14350546896457672
british,0.2666113078594208,0.18256530165672302,0.28973397612571716,0.29284414649009705,0.23084034025669098,0.2537430226802826,0.09711728990077972
hopes,0.31926435232162476,0.11358528584241867,0.29385989904403687,0.17933474481105804,0.24646931886672974,0.12754875421524048,0.1416345238685608
of,0.2827862501144409,0.2871689796447754,0.733189046382904,0.3475167155265808,0.5696388483047485,0.22226637601852417,0.1826142966747284
handing,0.3449581563472748,0.1914285570383072,0.31698673963546753,0.19711823761463165,0.2477249801158905,0.15283909440040588,0.21460779011249542
power,0.25855374336242676,0.14191731810569763,0.2647338807582855,0.3452511131763458,0.16666220128536224,0.1037459671497345,0.15304024517536163
to,0.42656609416007996,0.15433534979820251,0.535392165184021,0.28343796730041504,0.45010748505592346,0.17769291996955872,0.29463258385658264
``,0.02397952415049076,0.04518236219882965,0.029072100296616554,0.09259884804487228,0.04765888676047325,0.06875105202198029,0.0685480609536171
moderate,0.16883650422096252,0.17823822796344757,0.20949949324131012,0.23335590958595276,0.21159562468528748,0.11872197687625885,0.14408792555332184
'',0.024401003494858742,-0.08816906809806824,0.041273195296525955,0.01981239765882492,0.07432962208986282,-0.08265174180269241,0.018684765323996544
local,0.20416545867919922,0.20755881071090698,0.2130540907382965,0.3564710021018982,0.2223825752735138,0.11963018774986267,0.15022775530815125
rivals,0.20291933417320251,0.16524052619934082,0.22553907334804535,0.20145732164382935,0.1964770406484604,0.05268658325076103,0.10840261727571487
",",0.3365725874900818,0.2636634409427643,0.4933079481124878,0.27344048023223877,0.5201468467712402,0.23432263731956482,0.31091248989105225
it,0.2868398427963257,0.27487313747406006,0.6251175999641418,0.28037968277931213,0.5130809545516968,0.11538690328598022,0.25732165575027466
was,0.3318818509578705,0.3009849190711975,0.48711544275283813,0.2995857298374176,0.45514053106307983,0.17758844792842865,0.18412111699581146
the,0.3733934462070465,0.28813210129737854,1.0,0.31798112392425537,0.6662389636039734,0.21657514572143555,0.22068053483963013
kenya,0.168242946267128,0.18930140137672424,0.21657514572143555,0.21103361248970032,0.23621977865695953,1.0,0.17197901010513306
african,0.2475580871105194,0.14021183550357819,0.23305515944957733,0.12055246531963348,0.2008972465991974,0.3880566954612732,0.11862778663635254
national,0.18105065822601318,0.21233901381492615,0.32739606499671936,0.29917800426483154,0.28915393352508545,0.3120550811290741,0.15643028914928436
union,0.16662479937076569,0.22809121012687683,0.24421639740467072,0.305277943611145,0.22726479172706604,0.155988872051239,0.07797172665596008
(,0.2443375140428543,0.18508760631084442,0.33289089798927307,0.14655277132987976,0.3087427020072937,0.10727446526288986,0.40561532974243164
kanu,0.23004478216171265,0.20115430653095245,0.18645383417606354,0.24652428925037384,0.16125991940498352,0.3828640580177307,0.15816979110240936
),0.2457384318113327,0.22280143201351166,0.3456730246543884,0.15263929963111877,0.3326910734176636,0.12372948974370956,0.42300865054130554
of,0.2827862501144409,0.2871689796447754,0.733189046382904,0.3475167155265808,0.5696388483047485,0.22226637601852417,0.1826142966747284
jomo,0.20368152856826782,0.12080419063568115,0.16876330971717834,0.2680456340312958,0.1911890059709549,0.491036981344223,0.08587100356817245
kenyatta,0.1682000458240509,0.20706342160701752,0.24919013679027557,0.34352007508277893,0.28018826246261597,0.7755836248397827,0.1456252485513687
that,0.45444270968437195,0.2487153261899948,0.5473989248275757,0.29558056592941284,0.435920387506485,0.18006594479084015,0.32716336846351624
formed,0.12868277728557587,1.0000001192092896,0.28813210129737854,0.21369439363479614,0.27325257658958435,0.18930140137672424,0.09686966985464096
a,0.36608949303627014,0.21948496997356415,0.5829201340675354,0.25158295035362244,0.539380669593811,0.1701713502407074,0.23916715383529663
government,0.27194860577583313,0.21369439363479614,0.31798112392425537,1.0000001192092896,0.3066793978214264,0.21103361248970032,0.18851417303085327
.,0.3541337847709656,0.2737641930580139,0.5934505462646484,0.2521961033344269,0.5591574311256409,0.24234211444854736,0.4130953550338745
