,which,son,did,genghis,khan,view,as,his,most,dependable,one,?
therefore,0.5236842632293701,0.18753860890865326,0.31914716958999634,0.19967523217201233,0.11893609911203384,0.2246638685464859,0.3956354260444641,0.24419480562210083,0.37110987305641174,0.3748064935207367,0.43307796120643616,0.3325358033180237
",",0.3658004403114319,0.2594279944896698,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.216712087392807,0.48816442489624023,0.3378419280052185,0.3636029064655304,0.2448187619447708,0.3696635365486145,0.31091248989105225
genghis,0.26472097635269165,0.34843745827674866,0.18339850008487701,1.0,0.5896923542022705,0.12939667701721191,0.17543354630470276,0.3744826912879944,0.22644314169883728,0.12627561390399933,0.22989769279956818,0.18813461065292358
khan,0.19211235642433167,0.27596136927604675,0.155345618724823,0.5896923542022705,1.0,0.1049734354019165,0.22500167787075043,0.26570460200309753,0.15546606481075287,0.1375054270029068,0.208477184176445,0.12862591445446014
decided,0.23397822678089142,0.18548594415187836,0.5689980983734131,0.1492944359779358,0.11275113373994827,0.1675502210855484,0.24476851522922516,0.3918905556201935,0.17170488834381104,0.16732308268547058,0.27310609817504883,0.258772075176239
to,0.5345056653022766,0.16820268332958221,0.4452643394470215,0.2294713407754898,0.18221943080425262,0.229315847158432,0.42092081904411316,0.3715193271636963,0.321603000164032,0.24590158462524414,0.4025384783744812,0.29463258385658264
give,0.3091176450252533,0.12102752923965454,0.34889718890190125,0.13463464379310608,0.11046889424324036,0.10236231982707977,0.2826775014400482,0.2390921413898468,0.26406097412109375,0.240499347448349,0.31462472677230835,0.2985610067844391
the,0.6521818041801453,0.2102738618850708,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.25610461831092834,0.48381632566452026,0.4394008219242096,0.47635307908058167,0.2763602137565613,0.5514441132545471,0.22068053483963013
throne,0.15780021250247955,0.47089722752571106,0.16482007503509521,0.38032007217407227,0.18667909502983093,0.09584331512451172,0.15506556630134583,0.3332606852054596,0.08945697546005249,0.12616540491580963,0.17881780862808228,0.17206846177577972
to,0.5345056653022766,0.16820268332958221,0.4452643394470215,0.2294713407754898,0.18221943080425262,0.229315847158432,0.42092081904411316,0.3715193271636963,0.321603000164032,0.24590158462524414,0.4025384783744812,0.29463258385658264
ögedei,0.2478010207414627,0.4085409939289093,0.2727532982826233,0.6161514520645142,0.43523725867271423,0.1766880750656128,0.27530238032341003,0.4082617163658142,0.25804275274276733,0.09346136450767517,0.27600666880607605,0.20177854597568512
.,0.45942068099975586,0.19869175553321838,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.23733025789260864,0.515582263469696,0.3119256794452667,0.35404038429260254,0.22568045556545258,0.4123194217681885,0.4130953550338745
