,which,panther,tipped,a,manning,pass,to,himself,and,picked,it,off,?
however,0.5545716285705566,0.16682958602905273,0.27113810181617737,0.38150349259376526,0.21974250674247742,0.269846111536026,0.5474119186401367,0.2684880197048187,0.498121976852417,0.2882617712020874,0.467002272605896,0.29648107290267944,0.2152075469493866
",",0.3658004403114319,0.20294712483882904,0.20248208940029144,0.427140474319458,0.30921146273612976,0.22301842272281647,0.44245919585227966,0.18494756519794464,0.6633074283599854,0.22014860808849335,0.48329564929008484,0.26180344820022583,0.31091248989105225
the,0.6521818041801453,0.21149678528308868,0.23939231038093567,0.5829201340675354,0.27058160305023193,0.25961899757385254,0.535392165184021,0.24642214179039001,0.5171257257461548,0.32128480076789856,0.6251175999641418,0.2773582935333252,0.22068053483963013
panthers,0.2003214955329895,0.8332511186599731,0.22351229190826416,0.2255268394947052,0.3926267921924591,0.16386406123638153,0.2185782641172409,0.16195839643478394,0.2230100929737091,0.2964138388633728,0.14710287749767303,0.15033701062202454,0.16608978807926178
soon,0.3400132358074188,0.10743778198957443,0.20378491282463074,0.3021368980407715,0.19724701344966888,0.15562951564788818,0.3827410042285919,0.3145992159843445,0.39496758580207825,0.2757210433483124,0.3188033998012543,0.2606077194213867,0.17460282146930695
took,0.15372000634670258,0.12271423637866974,0.2572387754917145,0.18697012960910797,0.18411393463611603,0.10032956302165985,0.24576251208782196,0.3170930743217468,0.25750628113746643,0.2947409152984619,0.2015649825334549,0.1787722259759903,0.14109265804290771
the,0.6521818041801453,0.21149678528308868,0.23939231038093567,0.5829201340675354,0.27058160305023193,0.25961899757385254,0.535392165184021,0.24642214179039001,0.5171257257461548,0.32128480076789856,0.6251175999641418,0.2773582935333252,0.22068053483963013
ball,0.24626874923706055,0.13626877963542938,0.2612858712673187,0.23578347265720367,0.3111599087715149,0.21328508853912354,0.2563202381134033,0.1531844586133957,0.19981779158115387,0.26619958877563477,0.1934148073196411,0.1333385407924652,0.1766241192817688
back,0.3174980580806732,0.18803635239601135,0.28284648060798645,0.31908270716667175,0.20350176095962524,0.18389853835105896,0.4675939381122589,0.1803937554359436,0.32774487137794495,0.21533609926700592,0.32559895515441895,0.35879114270210266,0.2397768795490265
when,0.572554349899292,0.11390477418899536,0.2677440941333771,0.44397395849227905,0.23698855936527252,0.20427322387695312,0.5423505902290344,0.26880574226379395,0.4716290831565857,0.3510895371437073,0.4775012135505676,0.29600462317466736,0.22841128706932068
defensive,0.21291330456733704,0.24013115465641022,0.14979669451713562,0.2169283777475357,0.44660845398902893,0.22306403517723083,0.21831567585468292,0.18682780861854553,0.22892872989177704,0.20953236520290375,0.1699700802564621,0.17222575843334198,0.1711898148059845
end,0.31110426783561707,0.07210077345371246,0.22300678491592407,0.28924596309661865,0.2056039273738861,0.23464839160442352,0.3229445815086365,0.11784587800502777,0.24708716571331024,0.22469836473464966,0.277616024017334,0.29407772421836853,0.12543344497680664
kony,0.22543151676654816,0.21816344559192657,0.07995720952749252,0.1972775012254715,0.2368711680173874,0.06601454317569733,0.2693209946155548,0.31696799397468567,0.24272817373275757,0.07810814678668976,0.1567036509513855,0.1562708020210266,0.07727755606174469
ealy,0.18943341076374054,0.2543570399284363,0.20302224159240723,0.2892864942550659,0.37721550464630127,0.15350939333438873,0.18552953004837036,0.1264438033103943,0.26657772064208984,0.18479833006858826,0.27467817068099976,0.1901824027299881,0.24052083492279053
