,what,was,president,kennedy,put,off,by,regarding,the,space,program,?
he,0.3114890456199646,0.5410010814666748,0.28017905354499817,0.276473730802536,0.21457596123218536,0.15956953167915344,0.2485479861497879,0.15882879495620728,0.4571082592010498,0.1412113457918167,0.22136984765529633,0.2089974731206894
knew,0.40829193592071533,0.39408883452415466,0.1740371584892273,0.18043583631515503,0.2810806334018707,0.1595299392938614,0.28905656933784485,0.22026638686656952,0.23686929047107697,0.10158408433198929,0.15987159311771393,0.23297454416751862
little,0.2614184617996216,0.15730731189250946,0.07838226854801178,0.127317413687706,0.27025318145751953,0.15604105591773987,0.16509714722633362,0.2282753735780716,0.2412613034248352,0.15423484146595,0.15546368062496185,0.20336517691612244
about,0.47976887226104736,0.2577359974384308,0.12657727301120758,0.12118501216173172,0.21937157213687897,0.19057247042655945,0.30091190338134766,0.3780473470687866,0.37995871901512146,0.1689152717590332,0.15241475403308868,0.302409827709198
the,0.42745697498321533,0.48711544275283813,0.24330610036849976,0.20303435623645782,0.34150463342666626,0.2773582935333252,0.4408751428127289,0.29280903935432434,1.0,0.24495907127857208,0.22986935079097748,0.22068053483963013
technical,0.2745521366596222,0.15379370748996735,0.155530646443367,0.10903257876634598,0.17419280111789703,0.10811283439397812,0.1823938935995102,0.33034998178482056,0.21600495278835297,0.19648012518882751,0.1937241554260254,0.1962660700082779
details,0.3390152156352997,0.12358178943395615,0.1325695514678955,0.09846009314060211,0.2208118438720703,0.1292242705821991,0.19747646152973175,0.3922656178474426,0.2639491856098175,0.15797847509384155,0.1500299870967865,0.2643139362335205
of,0.33290785551071167,0.4069072902202606,0.21610750257968903,0.1657739132642746,0.3247257471084595,0.20023372769355774,0.3646814823150635,0.2715161442756653,0.733189046382904,0.21300287544727325,0.17376001179218292,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.24330610036849976,0.20303435623645782,0.34150463342666626,0.2773582935333252,0.4408751428127289,0.29280903935432434,1.0,0.24495907127857208,0.22986935079097748,0.22068053483963013
space,0.20525942742824554,0.14677780866622925,0.13849757611751556,0.28336045145988464,0.24476167559623718,0.17898677289485931,0.16067887842655182,0.17571304738521576,0.24495907127857208,1.0000001192092896,0.27222728729248047,0.1885536164045334
program,0.25047802925109863,0.1849333792924881,0.20304667949676514,0.20489704608917236,0.19394709169864655,0.16054418683052063,0.19954828917980194,0.18729732930660248,0.22986935079097748,0.27222728729248047,1.0,0.1440187245607376
",",0.3087472915649414,0.45456063747406006,0.26552814245224,0.3363509774208069,0.28264448046684265,0.26180344820022583,0.3680937886238098,0.2758248746395111,0.4933079481124878,0.2285580337047577,0.17760658264160156,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.23286236822605133,0.22218705713748932,0.3297767639160156,0.2800697982311249,0.4289871156215668,0.3182925879955292,0.5171257257461548,0.22901733219623566,0.24895258247852325,0.20544172823429108
was,0.22111038863658905,1.0000001192092896,0.2505730390548706,0.1929353028535843,0.24684612452983856,0.15734454989433289,0.4752357602119446,0.19990648329257965,0.48711544275283813,0.14677780866622925,0.1849333792924881,0.18412111699581146
put,0.3330543637275696,0.24684612452983856,0.11702624708414078,0.20893102884292603,1.0,0.23831218481063843,0.2461918741464615,0.2657787501811981,0.34150463342666626,0.24476167559623718,0.19394709169864655,0.2993032932281494
off,0.2350364625453949,0.15734454989433289,0.13989050686359406,0.1802511066198349,0.23831218481063843,1.0,0.28998351097106934,0.13575805723667145,0.2773582935333252,0.17898677289485931,0.16054418683052063,0.12937544286251068
by,0.2455483376979828,0.4752357602119446,0.18304786086082458,0.13557405769824982,0.2461918741464615,0.28998351097106934,1.0000001192092896,0.22009238600730896,0.4408751428127289,0.16067887842655182,0.19954828917980194,0.17966607213020325
