,what,was,the,source,of,the,rhine,in,the,last,ice,age,?
most,0.3219912350177765,0.29933857917785645,0.47635307908058167,0.2471988946199417,0.4178851246833801,0.47635307908058167,0.11507835239171982,0.41416558623313904,0.47635307908058167,0.27070826292037964,0.14772264659404755,0.11108490079641342,0.2107497900724411
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.18598204851150513,1.0,0.733189046382904,0.2548927664756775,0.5696388483047485,0.733189046382904,0.3052992522716522,0.18215686082839966,0.2372717410326004,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.30258262157440186,0.733189046382904,1.0,0.30735138058662415,0.6662389636039734,1.0,0.3698786795139313,0.22322975099086761,0.24711290001869202,0.22068053483963013
rhine,0.16475653648376465,0.18681856989860535,0.30735138058662415,0.20831243693828583,0.2548927664756775,0.30735138058662415,1.0,0.24648422002792358,0.30735138058662415,0.13734391331672668,0.13962964713573456,0.14115528762340546,0.13754533231258392
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,-0.06033462658524513,-0.03817026689648628,-0.01540423184633255,0.0778765007853508,-0.037580832839012146,-0.01540423184633255,0.03682802617549896,0.042887844145298004,0.004176773596554995,-0.023395681753754616
current,0.18294453620910645,0.20140352845191956,0.3314409554004669,0.1746409684419632,0.31470298767089844,0.3314409554004669,0.15716533362865448,0.1955713927745819,0.3314409554004669,0.192361980676651,0.1795332431793213,0.11127956956624985,0.12074550241231918
course,0.3412042260169983,0.2136799544095993,0.32268625497817993,0.22837306559085846,0.2579863667488098,0.32268625497817993,0.259599506855011,0.27132725715637207,0.32268625497817993,0.21298937499523163,0.13180822134017944,0.21970979869365692,0.28826573491096497
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.14040647447109222,0.4069072902202606,0.48711544275283813,0.18681856989860535,0.45514053106307983,0.48711544275283813,0.32424551248550415,0.15280188620090485,0.27072176337242126,0.18412111699581146
not,0.5449194312095642,0.2888734042644501,0.4310511648654938,0.2873510718345642,0.3307090103626251,0.4310511648654938,0.18424437940120697,0.3403114080429077,0.4310511648654938,0.24076122045516968,0.16560789942741394,0.2090955525636673,0.41942933201789856
under,0.20154598355293274,0.2672741413116455,0.3348022699356079,0.1502467393875122,0.32766106724739075,0.3348022699356079,0.16471827030181885,0.2535393238067627,0.3348022699356079,0.20827795565128326,0.231464684009552,0.17188125848770142,0.18233340978622437
the,0.42745697498321533,0.48711544275283813,1.0,0.30258262157440186,0.733189046382904,1.0,0.30735138058662415,0.6662389636039734,1.0,0.3698786795139313,0.22322975099086761,0.24711290001869202,0.22068053483963013
ice,0.17764540016651154,0.15280188620090485,0.22322975099086761,0.07096697390079498,0.18215686082839966,0.22322975099086761,0.13962964713573456,0.18398158252239227,0.22322975099086761,0.1815238893032074,1.0000001192092896,0.26043158769607544,0.1261633038520813
during,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.12034432590007782,0.3869180977344513,0.4838213622570038,0.18684938549995422,0.4627237319946289,0.4838213622570038,0.3807850182056427,0.2150520533323288,0.27434083819389343,0.1325719803571701
the,0.42745697498321533,0.48711544275283813,1.0,0.30258262157440186,0.733189046382904,1.0,0.30735138058662415,0.6662389636039734,1.0,0.3698786795139313,0.22322975099086761,0.24711290001869202,0.22068053483963013
last,0.23175878822803497,0.32424551248550415,0.3698786795139313,0.15421198308467865,0.3052992522716522,0.3698786795139313,0.13734391331672668,0.30714505910873413,0.3698786795139313,1.0,0.1815238893032074,0.24636659026145935,0.22371746599674225
ice,0.17764540016651154,0.15280188620090485,0.22322975099086761,0.07096697390079498,0.18215686082839966,0.22322975099086761,0.13962964713573456,0.18398158252239227,0.22322975099086761,0.1815238893032074,1.0000001192092896,0.26043158769607544,0.1261633038520813
age,0.1895245760679245,0.27072176337242126,0.24711290001869202,0.09823834896087646,0.2372717410326004,0.24711290001869202,0.14115528762340546,0.30576348304748535,0.24711290001869202,0.24636659026145935,0.26043158769607544,0.9999998807907104,0.16859300434589386
