,developments,in,which,scientists,influenced,the,creation,of,pharmacology,in,medieval,islam,?
the,0.35879647731781006,0.6662389636039734,0.6521818041801453,0.25988271832466125,0.18518297374248505,1.0,0.34625571966171265,0.733189046382904,0.21185006201267242,0.6662389636039734,0.28617456555366516,0.2207694798707962,0.22068053483963013
advances,0.43951165676116943,0.22989708185195923,0.2912850081920624,0.2694374918937683,0.27064937353134155,0.29882919788360596,0.17713481187820435,0.27895745635032654,0.28534215688705444,0.22989708185195923,0.1863347440958023,0.20645739138126373,0.12414493411779404
made,0.26881206035614014,0.25271502137184143,0.3407467305660248,0.20367935299873352,0.22648973762989044,0.3885267674922943,0.23911215364933014,0.33167365193367004,0.11256200075149536,0.25271502137184143,0.1560470461845398,0.11487233638763428,0.17218779027462006
in,0.28820812702178955,1.0,0.4840516746044159,0.1995355486869812,0.23469695448875427,0.6662389636039734,0.22394786775112152,0.5696388483047485,0.2489364743232727,1.0,0.2546980679035187,0.16687287390232086,0.20430970191955566
the,0.35879647731781006,0.6662389636039734,0.6521818041801453,0.25988271832466125,0.18518297374248505,1.0,0.34625571966171265,0.733189046382904,0.21185006201267242,0.6662389636039734,0.28617456555366516,0.2207694798707962,0.22068053483963013
middle,0.21836324036121368,0.26767921447753906,0.22406704723834991,0.12787048518657684,0.15803688764572144,0.3405749201774597,0.19141890108585358,0.2799445688724518,0.11481780558824539,0.26767921447753906,0.35175955295562744,0.2358526587486267,0.13139553368091583
east,0.22281797230243683,0.32659441232681274,0.22817298769950867,0.17226068675518036,0.153269425034523,0.3383176326751709,0.20667988061904907,0.314786434173584,0.18183276057243347,0.32659441232681274,0.19635896384716034,0.1912822127342224,0.10070597380399704
in,0.28820812702178955,1.0,0.4840516746044159,0.1995355486869812,0.23469695448875427,0.6662389636039734,0.22394786775112152,0.5696388483047485,0.2489364743232727,1.0,0.2546980679035187,0.16687287390232086,0.20430970191955566
botany,0.22736139595508575,0.2559669315814972,0.2595283091068268,0.2909075915813446,0.07632022351026535,0.23956763744354248,0.10707223415374756,0.23161625862121582,0.4955785870552063,0.2559669315814972,0.18872205913066864,0.11233678460121155,0.04187402129173279
and,0.29413771629333496,0.4954058527946472,0.506277859210968,0.20514336228370667,0.2976251244544983,0.5171257257461548,0.22428621351718903,0.5116966962814331,0.25062739849090576,0.4954058527946472,0.2673880457878113,0.25070106983184814,0.20544172823429108
chemistry,0.1833105981349945,0.22757266461849213,0.1736503392457962,0.31248098611831665,0.16151076555252075,0.16179440915584564,0.19649802148342133,0.2278279960155487,0.5993528962135315,0.22757266461849213,0.10822339355945587,0.13874410092830658,0.1710113137960434
led,0.21067503094673157,0.2990247309207916,0.21040768921375275,0.2301938384771347,0.326850950717926,0.3267505168914795,0.17508605122566223,0.32918456196784973,0.17253343760967255,0.2990247309207916,0.08899359405040741,0.15596313774585724,0.09273858368396759
medicine,0.19068899750709534,0.2281779944896698,0.18779802322387695,0.2767198085784912,0.13707275688648224,0.19564834237098694,0.14234477281570435,0.20997224748134613,0.6683970093727112,0.2281779944896698,0.14021430909633636,0.13185521960258484,0.14826606214046478
in,0.28820812702178955,1.0,0.4840516746044159,0.1995355486869812,0.23469695448875427,0.6662389636039734,0.22394786775112152,0.5696388483047485,0.2489364743232727,1.0,0.2546980679035187,0.16687287390232086,0.20430970191955566
medieval,0.23196205496788025,0.2546980679035187,0.26363545656204224,0.055957794189453125,0.2668002247810364,0.28617456555366516,0.17416900396347046,0.31686919927597046,0.14529266953468323,0.2546980679035187,1.0,0.21357396245002747,0.15571735799312592
islam,0.23829537630081177,0.16687287390232086,0.19542136788368225,0.13166671991348267,0.23416708409786224,0.2207694798707962,0.18346241116523743,0.21728332340717316,0.20874537527561188,0.16687287390232086,0.21357396245002747,1.0000001192092896,0.18358638882637024
substantially,0.279213011264801,0.22848276793956757,0.3997728228569031,0.1829127073287964,0.1849588304758072,0.3244253695011139,0.2210540622472763,0.26305127143859863,0.20096826553344727,0.22848276793956757,0.18727637827396393,0.25936850905418396,0.2573455274105072
to,0.32066288590431213,0.45010748505592346,0.5345056653022766,0.27814680337905884,0.11829091608524323,0.535392165184021,0.28549936413764954,0.41548454761505127,0.20164233446121216,0.45010748505592346,0.1536858230829239,0.2398901730775833,0.29463258385658264
develop,0.6306124329566956,0.22882415354251862,0.33999425172805786,0.30845582485198975,0.28156429529190063,0.26276466250419617,0.25861018896102905,0.2259741723537445,0.244987353682518,0.22882415354251862,0.17975462973117828,0.14591754972934723,0.15784582495689392
pharmacology,0.2702130377292633,0.2489364743232727,0.24615266919136047,0.3647727966308594,0.17410589754581451,0.21185006201267242,0.19653312861919403,0.26790833473205566,1.0000001192092896,0.2489364743232727,0.14529266953468323,0.20874537527561188,0.16818587481975555
.,0.2925383150577545,0.5591574311256409,0.45942068099975586,0.22514508664608002,0.24771656095981598,0.5934505462646484,0.27493008971214294,0.5352458953857422,0.2489812672138214,0.5591574311256409,0.2585373520851135,0.2825687527656555,0.4130953550338745
