,who,elects,the,members,of,the,european,parliament,?
during,0.30551859736442566,0.14468108117580414,0.4838213622570038,0.24851804971694946,0.3869180977344513,0.4838213622570038,0.23395675420761108,0.17098255455493927,0.1325719803571701
the,0.3733934462070465,0.2653489410877228,1.0,0.3321719169616699,0.733189046382904,1.0,0.3423081040382385,0.26521381735801697,0.22068053483963013
ordinary,0.2949758470058441,0.1236373782157898,0.2741096615791321,0.17711849510669708,0.3156825006008148,0.2741096615791321,0.12013020366430283,0.18677915632724762,0.22565332055091858
legislative,0.17747299373149872,0.5384538769721985,0.27501925826072693,0.2957446873188019,0.34083476662635803,0.27501925826072693,0.2050885260105133,0.6651111245155334,0.1654243916273117
procedure,0.2529976963996887,0.2457437962293625,0.2383023202419281,0.20437470078468323,0.19142384827136993,0.2383023202419281,0.2675666809082031,0.2928203344345093,0.2520322799682617
",",0.3365725874900818,0.23219478130340576,0.4933079481124878,0.2357054501771927,0.4946078956127167,0.4933079481124878,0.19684812426567078,0.25442883372306824,0.31091248989105225
the,0.3733934462070465,0.2653489410877228,1.0,0.3321719169616699,0.733189046382904,1.0,0.3423081040382385,0.26521381735801697,0.22068053483963013
council,0.19620807468891144,0.37680289149284363,0.2829204201698303,0.3003452718257904,0.2972237169742584,0.2829204201698303,0.2610081732273102,0.4229061007499695,0.1160062924027443
(,0.2443375140428543,0.18682250380516052,0.33289089798927307,0.17843009531497955,0.35032153129577637,0.33289089798927307,0.17014704644680023,0.1706518530845642,0.40561532974243164
which,0.3688730001449585,0.16529200971126556,0.6521818041801453,0.295350044965744,0.5011631846427917,0.6521818041801453,0.2234036773443222,0.20252443850040436,0.25814583897590637
are,0.27294138073921204,0.18212799727916718,0.40399202704429626,0.31528955698013306,0.39081433415412903,0.40399202704429626,0.15548661351203918,0.09480422735214233,0.24591213464736938
ministers,0.24249345064163208,0.43212082982063293,0.2563166916370392,0.36830830574035645,0.31468528509140015,0.2563166916370392,0.2078772485256195,0.5303839445114136,0.15132683515548706
