,who,received,the,first,steam,engine,patent,?
the,0.3733934462070465,0.24890556931495667,1.0,0.49448907375335693,0.23105813562870026,0.21651263535022736,0.1728275567293167,0.22068053483963013
spanish,0.2404279112815857,0.14101961255073547,0.23213517665863037,0.1888950914144516,0.1162535771727562,0.06673978269100189,0.06679964810609818,0.14750491082668304
inventor,0.25475168228149414,0.17333583533763885,0.15489226579666138,0.2559942901134491,0.3006623089313507,0.2885926067829132,0.5571460723876953,0.1474177986383438
jerónimo,0.2643304765224457,0.20143933594226837,0.17035865783691406,0.1823510080575943,0.10261587053537369,0.1457139551639557,0.09266608953475952,0.19551105797290802
de,0.18189555406570435,0.13868382573127747,0.23491892218589783,0.21795547008514404,0.09886984527111053,0.0831836611032486,0.10535701364278793,0.11064168810844421
ayanz,0.22785931825637817,0.18759027123451233,0.1931198239326477,0.2143024206161499,0.1589377522468567,0.15821509063243866,0.13209161162376404,0.17175792157649994
y,0.049423523247241974,0.10096375644207001,0.1503237932920456,0.15971478819847107,0.07366275042295456,0.09566500037908554,0.0663832500576973,0.2510884404182434
beaumont,0.21888047456741333,0.13787133991718292,0.23672111332416534,0.17524634301662445,0.16287195682525635,0.11329220980405807,0.12083403766155243,0.1629330962896347
obtained,0.1461256444454193,0.3309323787689209,0.2607382833957672,0.1852674037218094,0.1121600791811943,0.1059795618057251,0.23191341757774353,0.10347618907690048
the,0.3733934462070465,0.24890556931495667,1.0,0.49448907375335693,0.23105813562870026,0.21651263535022736,0.1728275567293167,0.22068053483963013
first,0.39065709710121155,0.22090888023376465,0.49448907375335693,1.0,0.2210129350423813,0.16088122129440308,0.24726909399032593,0.18701928853988647
patent,0.21797259151935577,0.20042450726032257,0.1728275567293167,0.24726909399032593,0.2789400815963745,0.3063247501850128,0.9999999403953552,0.13298413157463074
for,0.37110671401023865,0.30396392941474915,0.4739971458911896,0.3800288736820221,0.19393667578697205,0.17779722809791565,0.23913012444972992,0.264628142118454
a,0.36608949303627014,0.22444266080856323,0.5829201340675354,0.4287874400615692,0.2141898274421692,0.24768835306167603,0.23810072243213654,0.23916715383529663
steam,0.1786653995513916,0.09090211242437363,0.23105813562870026,0.2210129350423813,1.0000001192092896,0.4921848475933075,0.2789400815963745,0.113324373960495
engine,0.1543407142162323,0.12134765833616257,0.21651263535022736,0.16088122129440308,0.4921848475933075,1.0,0.3063247501850128,0.17739196121692657
in,0.2792111933231354,0.2772020101547241,0.6662389636039734,0.4127444326877594,0.19852672517299652,0.18885408341884613,0.18244080245494843,0.20430970191955566
1606,0.07025972008705139,0.11629794538021088,0.06838265806436539,0.014482708647847176,-0.014767241664230824,0.02209915965795517,0.034411922097206116,0.11643918603658676
.,0.3541337847709656,0.25050681829452515,0.5934505462646484,0.4345304071903229,0.22855372726917267,0.21814921498298645,0.19082264602184296,0.4130953550338745
