,who,designed,the,bronze,doors,used,as,the,main,entrance,to,the,museum,?
the,0.3733934462070465,0.2559613883495331,1.0,0.2526973485946655,0.2340378314256668,0.3718377649784088,0.48381632566452026,1.0,0.38631999492645264,0.31372344493865967,0.535392165184021,1.0,0.24861779808998108,0.22068053483963013
style,0.15775224566459656,0.2501359283924103,0.2331719547510147,0.16114690899848938,0.17911642789840698,0.26038944721221924,0.2206137776374817,0.2331719547510147,0.16068793833255768,0.17599621415138245,0.2404285967350006,0.2331719547510147,0.0626421719789505,0.19862167537212372
adopted,0.20269951224327087,0.1866483986377716,0.23462533950805664,0.181717649102211,0.1457718014717102,0.23796898126602173,0.23623986542224884,0.23462533950805664,0.06602735817432404,0.05613998696208,0.1939777433872223,0.23462533950805664,0.09343315660953522,0.14235380291938782
for,0.37110671401023865,0.22817277908325195,0.4739971458911896,0.18907371163368225,0.2094033807516098,0.4236139953136444,0.44774648547172546,0.4739971458911896,0.27491986751556396,0.18154969811439514,0.4451248347759247,0.4739971458911896,0.15718214213848114,0.264628142118454
this,0.3345087468624115,0.24903929233551025,0.6274310946464539,0.1411134898662567,0.13998349010944366,0.3996967375278473,0.43993282318115234,0.6274310946464539,0.3026203215122223,0.20677846670150757,0.5759071707725525,0.6274310946464539,0.19769281148910522,0.3155723512172699
part,0.19576206803321838,0.1781352460384369,0.527681291103363,0.13029460608959198,0.11280238628387451,0.2790772020816803,0.2563304007053375,0.527681291103363,0.32072335481643677,0.2566089630126953,0.2875264883041382,0.527681291103363,0.2040945291519165,0.08557961881160736
of,0.2827862501144409,0.2000347077846527,0.733189046382904,0.2355436533689499,0.13909965753555298,0.3075267970561981,0.3886612355709076,0.733189046382904,0.3177044689655304,0.2534947693347931,0.41548454761505127,0.733189046382904,0.23314370214939117,0.1826142966747284
the,0.3733934462070465,0.2559613883495331,1.0,0.2526973485946655,0.2340378314256668,0.3718377649784088,0.48381632566452026,1.0,0.38631999492645264,0.31372344493865967,0.535392165184021,1.0,0.24861779808998108,0.22068053483963013
museum,0.14649315178394318,0.19523267447948456,0.24861779808998108,0.2092113196849823,0.15460798144340515,0.15161366760730743,0.15384963154792786,0.24861779808998108,0.12107153236865997,0.2587375044822693,0.1640389859676361,0.24861779808998108,1.0000001192092896,0.14128351211547852
was,0.3318818509578705,0.28384989500045776,0.48711544275283813,0.21250294148921967,0.22551825642585754,0.23679393529891968,0.3677520453929901,0.48711544275283813,0.21035033464431763,0.24333937466144562,0.3636345863342285,0.48711544275283813,0.21266788244247437,0.18412111699581146
italian,0.2497793436050415,0.15580657124519348,0.19855095446109772,0.17324860394001007,0.12645184993743896,0.11254885047674179,0.18211542069911957,0.19855095446109772,0.08950456231832504,0.1749361753463745,0.12072206288576126,0.19855095446109772,0.07830674201250076,0.1156633123755455
renaissance,0.2532185912132263,0.241072878241539,0.2050212025642395,0.24304290115833282,0.2042112946510315,0.24042512476444244,0.20994322001934052,0.2050212025642395,0.07420042157173157,0.22810272872447968,0.17294242978096008,0.2050212025642395,0.2021889090538025,0.12260647863149643
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.2434660792350769,0.2020350694656372,0.3120402991771698,0.48816442489624023,0.4933079481124878,0.2989408075809479,0.14223605394363403,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.31091248989105225
much,0.2998695373535156,0.17717324197292328,0.35023224353790283,0.13092872500419617,0.17285069823265076,0.3209210932254791,0.36514025926589966,0.35023224353790283,0.20790228247642517,0.13012683391571045,0.40610215067863464,0.35023224353790283,0.1407303512096405,0.23442231118679047
use,0.2265424281358719,0.30374231934547424,0.34342584013938904,0.14040353894233704,0.23355895280838013,0.7127541303634644,0.3453201949596405,0.34342584013938904,0.1890317052602768,0.15987472236156464,0.47261837124824524,0.34342584013938904,0.15783165395259857,0.32795652747154236
was,0.3318818509578705,0.28384989500045776,0.48711544275283813,0.21250294148921967,0.22551825642585754,0.23679393529891968,0.3677520453929901,0.48711544275283813,0.21035033464431763,0.24333937466144562,0.3636345863342285,0.48711544275283813,0.21266788244247437,0.18412111699581146
made,0.2576322853565216,0.3100772500038147,0.3885267674922943,0.18397870659828186,0.1856829822063446,0.3574022352695465,0.40740177035331726,0.3885267674922943,0.21967743337154388,0.13473249971866608,0.3377571105957031,0.3885267674922943,0.16088193655014038,0.17218779027462006
of,0.2827862501144409,0.2000347077846527,0.733189046382904,0.2355436533689499,0.13909965753555298,0.3075267970561981,0.3886612355709076,0.733189046382904,0.3177044689655304,0.2534947693347931,0.41548454761505127,0.733189046382904,0.23314370214939117,0.1826142966747284
terracotta,0.20448918640613556,0.2692287266254425,0.2803131341934204,0.49248018860816956,0.23412708938121796,0.3540372848510742,0.21771332621574402,0.2803131341934204,0.1655852049589157,0.3321555256843567,0.19796250760555267,0.2803131341934204,0.3033863604068756,0.11132478713989258
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.2434660792350769,0.2020350694656372,0.3120402991771698,0.48816442489624023,0.4933079481124878,0.2989408075809479,0.14223605394363403,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.31091248989105225
brick,0.17494256794452667,0.3407447934150696,0.2380465269088745,0.2451699674129486,0.4140525758266449,0.28049948811531067,0.20540998876094818,0.2380465269088745,0.1572815179824829,0.36929798126220703,0.15154148638248444,0.2380465269088745,0.17799286544322968,0.12426483631134033
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.23318837583065033,0.2604236602783203,0.3150506615638733,0.49487000703811646,0.5171257257461548,0.29831406474113464,0.24038183689117432,0.48971283435821533,0.5171257257461548,0.21554097533226013,0.20544172823429108
mosaic,0.13312764465808868,0.22475261986255646,0.27219533920288086,0.29995837807655334,0.1877281367778778,0.1888275146484375,0.15973317623138428,0.27219533920288086,0.1314951330423355,0.19768576323986053,0.16172049939632416,0.27219533920288086,0.21566423773765564,0.12222903966903687
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.2434660792350769,0.2020350694656372,0.3120402991771698,0.48816442489624023,0.4933079481124878,0.2989408075809479,0.14223605394363403,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.31091248989105225
this,0.3345087468624115,0.24903929233551025,0.6274310946464539,0.1411134898662567,0.13998349010944366,0.3996967375278473,0.43993282318115234,0.6274310946464539,0.3026203215122223,0.20677846670150757,0.5759071707725525,0.6274310946464539,0.19769281148910522,0.3155723512172699
north,0.11026738584041595,0.16862216591835022,0.36298373341560364,0.18504489958286285,0.13036422431468964,0.14014680683612823,0.22670356929302216,0.36298373341560364,0.21772423386573792,0.20772407948970795,0.2743184268474579,0.36298373341560364,0.19029363989830017,0.11829731613397598
façade,0.10018911212682724,0.3648923337459564,0.33251336216926575,0.2968991994857788,0.31781241297721863,0.24202533066272736,0.17631953954696655,0.33251336216926575,0.26285991072654724,0.39240762591362,0.18702681362628937,0.33251336216926575,0.3074198365211487,0.14144746959209442
