,what,developmental,network,was,discontinued,after,the,shutdown,of,abc1,?
with,0.2464839518070221,0.27605530619621277,0.2153671681880951,0.27411898970603943,0.18058116734027863,0.33843478560447693,0.4223487675189972,0.25292062759399414,0.41827285289764404,0.1930631548166275,0.2433311939239502
abc1,0.1549001783132553,0.12140892446041107,0.3080527186393738,0.21715706586837769,0.20823723077774048,0.23815692961215973,0.2300923466682434,0.15963199734687805,0.17286837100982666,1.0,0.23792004585266113
's,0.02692362666130066,-0.03741002082824707,0.07819218933582306,0.008974763564765453,0.05885791406035423,-0.055672239512205124,-0.01540423184633255,-0.1075805127620697,-0.03817026689648628,0.027025554329156876,-0.023395681753754616
shutdown,0.27740201354026794,0.30516722798347473,0.3001216650009155,0.21515397727489471,0.31730929017066956,0.24361735582351685,0.28532472252845764,1.0,0.17828132212162018,0.15963199734687805,0.22903333604335785
that,0.6297725439071655,0.2846325635910034,0.2984007000923157,0.33670201897621155,0.24089078605175018,0.373811811208725,0.5473989248275757,0.34058594703674316,0.41498205065727234,0.1852860152721405,0.32716336846351624
october,0.24927909672260284,0.15448620915412903,0.1911645382642746,0.4627581834793091,0.25378596782684326,0.3173348009586334,0.2621108889579773,0.28887441754341125,0.20846129953861237,0.19712801277637482,0.29706719517707825
",",0.3087472915649414,0.24764014780521393,0.1932937651872635,0.45456063747406006,0.24634304642677307,0.38860568404197693,0.4933079481124878,0.24801398813724518,0.4946078956127167,0.27806395292282104,0.31091248989105225
the,0.42745697498321533,0.3298147916793823,0.27187061309814453,0.48711544275283813,0.23268692195415497,0.4565047025680542,1.0,0.28532472252845764,0.733189046382904,0.2300923466682434,0.22068053483963013
company,0.2333769053220749,0.19264967739582062,0.28571397066116333,0.2293137013912201,0.33356016874313354,0.21655593812465668,0.26591673493385315,0.2325112670660019,0.20467796921730042,0.1915474683046341,0.12195809185504913
's,0.02692362666130066,-0.03741002082824707,0.07819218933582306,0.008974763564765453,0.05885791406035423,-0.055672239512205124,-0.01540423184633255,-0.1075805127620697,-0.03817026689648628,0.027025554329156876,-0.023395681753754616
attempt,0.2411041408777237,0.22512029111385345,0.14200010895729065,0.2327374517917633,0.18441841006278992,0.2802733778953552,0.2614527940750122,0.28864261507987976,0.21525268256664276,0.23999959230422974,0.16559520363807678
to,0.455847829580307,0.29659268260002136,0.25940340757369995,0.3636345863342285,0.2673664093017578,0.37890323996543884,0.535392165184021,0.254300057888031,0.41548454761505127,0.2436092644929886,0.29463258385658264
develop,0.20962175726890564,0.6004922986030579,0.19731423258781433,0.1536230444908142,0.22353611886501312,0.17105159163475037,0.26276466250419617,0.2298276126384735,0.2259741723537445,0.09736255556344986,0.15784582495689392
abc,0.1317344456911087,0.13792838156223297,0.4295894205570221,0.21565799415111542,0.2542455792427063,0.20314010977745056,0.2068762183189392,0.16722477972507477,0.14607268571853638,0.7637650966644287,0.19065172970294952
international,0.10870302468538284,0.28915515542030334,0.1845911592245102,0.22185437381267548,0.1929634064435959,0.16266441345214844,0.23719607293605804,0.2133038341999054,0.23367412388324738,0.12961822748184204,0.15335838496685028
were,0.22298263013362885,0.18840548396110535,0.14680062234401703,0.590133786201477,0.2758810222148895,0.36224013566970825,0.3906462490558624,0.16361820697784424,0.34038281440734863,0.1352209597826004,0.17890112102031708
discontinued,0.17781729996204376,0.20302364230155945,0.18752343952655792,0.3836498558521271,1.0000001192092896,0.31759148836135864,0.23268692195415497,0.31730929017066956,0.17247703671455383,0.20823723077774048,0.16722558438777924
.,0.3567904531955719,0.2838576138019562,0.23909442126750946,0.40146201848983765,0.24197247624397278,0.35870397090911865,0.5934505462646484,0.26736027002334595,0.5352458953857422,0.345625102519989,0.4130953550338745
