,how,much,can,ctenophores,eat,in,one,day,?
in,0.2601168751716614,0.2725222110748291,0.26527702808380127,0.1814151555299759,0.17146249115467072,1.0,0.4129433035850525,0.2671984136104584,0.20430970191955566
favorable,0.1937618851661682,0.2695905566215515,0.1614525318145752,0.1872100979089737,0.0907541960477829,0.16976967453956604,0.1713072657585144,0.15849272906780243,0.1794821172952652
circumstances,0.3659582734107971,0.2820437252521515,0.31317007541656494,0.2926848828792572,0.21169151365756989,0.18888375163078308,0.22191576659679413,0.14527566730976105,0.25984445214271545
",",0.22659391164779663,0.36182254552841187,0.3139454126358032,0.19362998008728027,0.27748003602027893,0.5201468467712402,0.3696635365486145,0.30821847915649414,0.31091248989105225
ctenophores,0.2594645917415619,0.19180738925933838,0.3193504512310028,1.0,0.3753615617752075,0.1814151555299759,0.19246654212474823,0.11694519221782684,0.2054179310798645
can,0.49246567487716675,0.39803463220596313,1.0,0.3193504512310028,0.33471569418907166,0.26527702808380127,0.34032124280929565,0.11817701905965805,0.3226337134838104
eat,0.2741355001926422,0.21723854541778564,0.33471569418907166,0.3753615617752075,0.9999999403953552,0.17146249115467072,0.20920982956886292,0.23215879499912262,0.2330920696258545
ten,0.26821833848953247,0.20169475674629211,0.1790909767150879,0.12948007881641388,0.151518315076828,0.29515787959098816,0.45943936705589294,0.27711963653564453,0.14471080899238586
times,0.2685738503932953,0.3250696063041687,0.20370972156524658,0.1357955038547516,0.16771872341632843,0.2427823841571808,0.3664974272251129,0.2524244785308838,0.18880689144134521
their,0.3316696584224701,0.280311644077301,0.3564860224723816,0.34535476565361023,0.3384864330291748,0.34976133704185486,0.3991999328136444,0.21451431512832642,0.1898253709077835
own,0.3035697042942047,0.24814017117023468,0.30718106031417847,0.19912417232990265,0.2515008747577667,0.31893372535705566,0.34935763478279114,0.15157382190227509,0.1937696635723114
weight,0.31575119495391846,0.243657186627388,0.3051937520503998,0.24935825169086456,0.3076552450656891,0.14912216365337372,0.22859367728233337,0.11429321020841599,0.18111222982406616
in,0.2601168751716614,0.2725222110748291,0.26527702808380127,0.1814151555299759,0.17146249115467072,1.0,0.4129433035850525,0.2671984136104584,0.20430970191955566
a,0.29312583804130554,0.2958075702190399,0.3915780484676361,0.25153061747550964,0.2176695615053177,0.539380669593811,0.4910551905632019,0.18630309402942657,0.23916715383529663
day,0.20268619060516357,0.23573602735996246,0.11817701905965805,0.11694519221782684,0.23215879499912262,0.2671984136104584,0.2929482161998749,1.0,0.2141837179660797
.,0.3287222981452942,0.3374604284763336,0.35783761739730835,0.22269779443740845,0.3032529056072235,0.5591574311256409,0.4123194217681885,0.24232520163059235,0.4130953550338745
