,when,did,the,first,direct,elections,take,place,?
over,0.36642953753471375,0.2535076439380646,0.39856547117233276,0.27581891417503357,0.24754947423934937,0.2408503144979477,0.37978237867355347,0.3398306965827942,0.25742942094802856
time,0.4363728165626526,0.3567926585674286,0.43061500787734985,0.4013477563858032,0.18759116530418396,0.26377013325691223,0.30334821343421936,0.379790335893631,0.27391523122787476
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.34503069519996643,0.20868940651416779,0.2606843113899231,0.2881867289543152,0.34068408608436584,0.31091248989105225
this,0.4959332048892975,0.3609912693500519,0.6274310946464539,0.41690850257873535,0.3898404538631439,0.2344498187303543,0.3235001862049103,0.34875795245170593,0.3155723512172699
has,0.34538573026657104,0.2124989777803421,0.4177538752555847,0.28288596868515015,0.15923023223876953,0.14865288138389587,0.2124529778957367,0.1814502328634262,0.15994466841220856
meant,0.36211591958999634,0.46665212512016296,0.34852901101112366,0.2748340368270874,0.2488694041967392,0.21550677716732025,0.23420999944210052,0.2783094048500061,0.28817421197891235
the,0.5091903209686279,0.34736719727516174,1.0,0.49448907375335693,0.3262479901313782,0.23646192252635956,0.31620436906814575,0.4179787337779999,0.22068053483963013
parliament,0.18992289900779724,0.20460043847560883,0.26521381735801697,0.19317375123500824,0.12715759873390198,0.5661953687667847,0.09751178324222565,0.12995770573616028,0.1586504578590393
gradually,0.44375845789909363,0.2431744784116745,0.3209700584411621,0.25828248262405396,0.1706056296825409,0.1930343508720398,0.24846374988555908,0.11666012555360794,0.09310194849967957
assumed,0.28750330209732056,0.2731741964817047,0.25453677773475647,0.1632564812898636,0.29436174035072327,0.24917519092559814,0.24188852310180664,0.23442167043685913,0.2463492453098297
more,0.359977662563324,0.2803135812282562,0.39758381247520447,0.2665303945541382,0.2544870972633362,0.20013155043125153,0.3237091600894928,0.28691914677619934,0.27894994616508484
voice,0.1692013293504715,0.1838737428188324,0.19344258308410645,0.17469745874404907,0.23967446386814117,0.11803045868873596,0.11799594014883041,0.10038486123085022,0.17046543955802917
:,-0.04432349652051926,-0.05305134505033493,-0.03403344005346298,0.018633490428328514,-0.10920419543981552,0.04301822930574417,-0.049146901816129684,0.052159421145915985,-0.07156077772378922
from,0.405669629573822,0.20248863101005554,0.40150508284568787,0.23348960280418396,0.30713847279548645,0.21435058116912842,0.21964672207832336,0.31214648485183716,0.19969791173934937
being,0.47212454676628113,0.27905046939849854,0.419739305973053,0.3338102698326111,0.20180416107177734,0.23122145235538483,0.25119996070861816,0.2188614457845688,0.26743772625923157
an,0.33026179671287537,0.22598257660865784,0.4207492768764496,0.29757723212242126,0.2583296000957489,0.11446139961481094,0.20120757818222046,0.20706063508987427,0.19793890416622162
unelected,0.2507902681827545,0.2074877917766571,0.33672913908958435,0.3179975748062134,0.2381911724805832,0.6775495409965515,0.20002461969852448,0.22314904630184174,0.2405329942703247
assembly,0.16456151008605957,0.13346484303474426,0.2524827718734741,0.2630605101585388,0.11500441282987595,0.4391990900039673,0.14149607717990875,0.15938082337379456,0.1488889455795288
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.34503069519996643,0.20868940651416779,0.2606843113899231,0.2881867289543152,0.34068408608436584,0.31091248989105225
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.3792489171028137,0.3420579433441162,0.23835663497447968,0.4075521230697632,0.3346366882324219,0.29463258385658264
its,0.34032323956489563,0.19922670722007751,0.559237003326416,0.26377397775650024,0.22426408529281616,0.1652129590511322,0.2256559580564499,0.27794507145881653,0.15103481709957123
first,0.4282494783401489,0.33691170811653137,0.49448907375335693,1.0,0.3011454939842224,0.2656244933605194,0.29357022047042847,0.283309668302536,0.18701928853988647
direct,0.24394018948078156,0.25516921281814575,0.3262479901313782,0.3011454939842224,1.0,0.18361029028892517,0.30991852283477783,0.24276255071163177,0.18476411700248718
elections,0.26424795389175415,0.22045423090457916,0.23646192252635956,0.2656244933605194,0.18361029028892517,1.0,0.20296572148799896,0.2008286863565445,0.2319818139076233
