,what,subatomic,particle,did,tesla,deny,the,existence,of,?
tesla,0.23221199214458466,0.3627432584762573,0.34292855858802795,0.09757418930530548,0.9999999403953552,0.17007745802402496,0.1324402391910553,0.1719500720500946,0.18837453424930573,0.10250775516033173
exhibited,0.16807207465171814,0.2375899702310562,0.1694747507572174,0.18129757046699524,0.19378741085529327,0.13343816995620728,0.19632861018180847,0.17520402371883392,0.1996210813522339,0.1261514127254486
a,0.3320399522781372,0.2980653643608093,0.2823246121406555,0.2552328109741211,0.2211925983428955,0.20648086071014404,0.5829201340675354,0.2136906236410141,0.5052502155303955,0.23916715383529663
pre-atomic,0.3168829083442688,0.8565321564674377,0.590278685092926,0.2123563289642334,0.33986061811447144,0.2596249282360077,0.3022160530090332,0.25589868426322937,0.32159146666526794,0.23334714770317078
understanding,0.4748767614364624,0.38783782720565796,0.3370060920715332,0.3280439078807831,0.2598200738430023,0.4252835810184479,0.3089916408061981,0.346464604139328,0.31433331966400146,0.3107462525367737
of,0.33290785551071167,0.33347442746162415,0.2452378273010254,0.2513895630836487,0.18837453424930573,0.1541273295879364,0.733189046382904,0.28272730112075806,1.0,0.1826142966747284
physics,0.26464056968688965,0.5599934458732605,0.570899248123169,0.17361022531986237,0.3476720154285431,0.1823885589838028,0.17952929437160492,0.2498282939195633,0.2395489662885666,0.1470423936843872
in,0.30808621644973755,0.2514369487762451,0.20448297262191772,0.2593238651752472,0.17097744345664978,0.12045605480670929,0.6662389636039734,0.24601192772388458,0.5696388483047485,0.20430970191955566
his,0.26976513862609863,0.1540437787771225,0.15650218725204468,0.3546801507472992,0.1580733060836792,0.1801447868347168,0.4394008219242096,0.23260429501533508,0.38364991545677185,0.18075084686279297
writings,0.31019967794418335,0.22226470708847046,0.18142589926719666,0.262403666973114,0.1577753871679306,0.22249269485473633,0.21431727707386017,0.25616079568862915,0.24593348801136017,0.1770159751176834
;,0.10986888408660889,0.02852446213364601,0.06465310603380203,0.10727239400148392,-0.03835732489824295,0.0073604038916528225,0.09152708947658539,0.12435764819383621,0.054534342139959335,0.10349778085947037
he,0.3114890456199646,0.1918642818927765,0.21523025631904602,0.3292143940925598,0.12373391538858414,0.15217867493629456,0.4571082592010498,0.2243146449327469,0.38706058263778687,0.2089974731206894
disagreed,0.4307783246040344,0.1953851580619812,0.16894301772117615,0.4441068768501282,0.11005858331918716,0.3824499845504761,0.2514760196208954,0.21190093457698822,0.27179938554763794,0.24631625413894653
with,0.2464839518070221,0.23486486077308655,0.2129172533750534,0.25472134351730347,0.16424812376499176,0.1299125701189041,0.4223487675189972,0.18640920519828796,0.41827285289764404,0.2433311939239502
the,0.42745697498321533,0.3204044997692108,0.2507205605506897,0.34736719727516174,0.1324402391910553,0.1799120455980301,1.0,0.3168535828590393,0.733189046382904,0.22068053483963013
theory,0.297923743724823,0.4231075942516327,0.45203304290771484,0.20347590744495392,0.25004854798316956,0.32784557342529297,0.2277156263589859,0.39768025279045105,0.23506702482700348,0.1387292891740799
of,0.33290785551071167,0.33347442746162415,0.2452378273010254,0.2513895630836487,0.18837453424930573,0.1541273295879364,0.733189046382904,0.28272730112075806,1.0,0.1826142966747284
atoms,0.2511626183986664,0.7162378430366516,0.6081212759017944,0.17240509390830994,0.2891845405101776,0.14512062072753906,0.1997222602367401,0.19524841010570526,0.20656298100948334,0.17423541843891144
being,0.3760843276977539,0.2198020964860916,0.2290758490562439,0.27905046939849854,0.13586261868476868,0.2831607758998871,0.419739305973053,0.27389514446258545,0.34885138273239136,0.26743772625923157
composed,0.14231626689434052,0.23070937395095825,0.18936993181705475,0.15944603085517883,0.08250017464160919,0.0636950433254242,0.21816956996917725,0.095707967877388,0.29509663581848145,0.0784355029463768
of,0.33290785551071167,0.33347442746162415,0.2452378273010254,0.2513895630836487,0.18837453424930573,0.1541273295879364,0.733189046382904,0.28272730112075806,1.0,0.1826142966747284
smaller,0.23730900883674622,0.3600606918334961,0.30721405148506165,0.17010630667209625,0.1359875649213791,0.07538463175296783,0.3588939607143402,0.19838020205497742,0.30439993739128113,0.17881669104099274
subatomic,0.3750778138637543,1.0,0.7479236721992493,0.21671554446220398,0.3627432584762573,0.2564525902271271,0.3204044997692108,0.260168194770813,0.33347442746162415,0.21510347723960876
particles,0.26094838976860046,0.7239762544631958,0.8852447271347046,0.16904394328594208,0.2877620458602905,0.2335851788520813,0.23884518444538116,0.2935374081134796,0.2280140221118927,0.22255320847034454
",",0.3087472915649414,0.2904837727546692,0.2206975817680359,0.3015086054801941,0.20599327981472015,0.24250644445419312,0.4933079481124878,0.21917741000652313,0.4946078956127167,0.31091248989105225
stating,0.40046313405036926,0.2295648455619812,0.29029011726379395,0.3425213694572449,0.18123072385787964,0.40133437514305115,0.2977248430252075,0.23606015741825104,0.26161399483680725,0.2760101556777954
there,0.35085538029670715,0.2572638690471649,0.21631188690662384,0.29736605286598206,0.16046448051929474,0.20271432399749756,0.47025805711746216,0.34047168493270874,0.44397735595703125,0.29405656456947327
was,0.22111038863658905,0.18659833073616028,0.19647429883480072,0.41399896144866943,0.16455206274986267,0.14502282440662384,0.48711544275283813,0.19127944111824036,0.4069072902202606,0.18412111699581146
no,0.339326947927475,0.2116522192955017,0.19814717769622803,0.23735837638378143,0.12855590879917145,0.28324082493782043,0.3461136817932129,0.3124677240848541,0.24809792637825012,0.32165053486824036
such,0.23989605903625488,0.2730127274990082,0.22341419756412506,0.24497397243976593,0.08131318539381027,0.19477537274360657,0.3575236201286316,0.2616131901741028,0.3209529519081116,0.17851735651493073
