,who,can,be,in,the,victorian,cabinet,?
cabinet,0.22148902714252472,0.14627705514431,0.19572855532169342,0.2274124175310135,0.24264733493328094,0.25735190510749817,1.0,0.16409438848495483
consists,0.05287136882543564,0.16898587346076965,0.2368895560503006,0.3011418879032135,0.3362659811973572,0.18636833131313324,0.17713643610477448,-0.004641483072191477
of,0.2827862501144409,0.2603091299533844,0.33904364705085754,0.5696388483047485,0.733189046382904,0.28338366746902466,0.27811557054519653,0.1826142966747284
representatives,0.19269686937332153,0.16816392540931702,0.18422095477581024,0.2394939363002777,0.2691882848739624,0.22712641954421997,0.38998088240623474,0.14079871773719788
elected,0.3117038309574127,0.0943373292684555,0.156069815158844,0.21190309524536133,0.23167964816093445,0.19411228597164154,0.44922250509262085,0.1966295689344406
to,0.42656609416007996,0.4979398250579834,0.4972836375236511,0.45010748505592346,0.535392165184021,0.18664970993995667,0.21436810493469238,0.29463258385658264
either,0.2945728600025177,0.4823819100856781,0.513343870639801,0.2748357057571411,0.3795609474182129,0.1978837251663208,0.20966960489749908,0.31498292088508606
house,0.2619773745536804,0.18605105578899384,0.19108030200004578,0.20026938617229462,0.2847244441509247,0.26484405994415283,0.32982301712036133,0.13736455142498016
of,0.2827862501144409,0.2603091299533844,0.33904364705085754,0.5696388483047485,0.733189046382904,0.28338366746902466,0.27811557054519653,0.1826142966747284
parliament,0.237068772315979,0.1599172055721283,0.1534755527973175,0.2323146015405655,0.26521381735801697,0.3065771162509918,0.5042983889579773,0.1586504578590393
.,0.3541337847709656,0.35783761739730835,0.4383580684661865,0.5591574311256409,0.5934505462646484,0.22745303809642792,0.24969246983528137,0.4130953550338745
