,what,is,an,interdenominational,group,composed,of,various,churches,to,promote,the,gospel,throughout,the,world,?
it,0.45803478360176086,0.6328473687171936,0.39472338557243347,0.2335202842950821,0.2364906221628189,0.21270644664764404,0.38761502504348755,0.21153901517391205,0.2516700327396393,0.513711154460907,0.2620626389980316,0.6251175999641418,0.16152004897594452,0.2899516522884369,0.6251175999641418,0.2775384485721588,0.25732165575027466
is,0.28837618231773376,1.0,0.4654068350791931,0.28088274598121643,0.22153858840465546,0.18838012218475342,0.4854315221309662,0.13601526618003845,0.20715926587581635,0.42745086550712585,0.1833173632621765,0.5823672413825989,0.1333623081445694,0.2639545500278473,0.5823672413825989,0.24458536505699158,0.22961433231830597
also,0.42747777700424194,0.5012649297714233,0.36835694313049316,0.3013981580734253,0.3116292357444763,0.19749240577220917,0.4924938678741455,0.46848681569099426,0.24361974000930786,0.5348826050758362,0.2673132121562958,0.6021018624305725,0.2039405107498169,0.36598628759384155,0.6021018624305725,0.30876004695892334,0.21848613023757935
active,0.2610722482204437,0.2193424552679062,0.22605904936790466,0.2806566059589386,0.23665361106395721,0.15951713919639587,0.23132829368114471,0.17564864456653595,0.11968939751386642,0.24291767179965973,0.2766076326370239,0.2376219779253006,0.07393258810043335,0.20366577804088593,0.2376219779253006,0.23022648692131042,0.20374006032943726
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.2783683240413666,0.2304753065109253,0.19297388195991516,0.5696388483047485,0.266343355178833,0.2825169265270233,0.45010748505592346,0.22624702751636505,0.6662389636039734,0.1775401383638382,0.46596065163612366,0.6662389636039734,0.3038199245929718,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3046874403953552,0.30795547366142273,0.21816956996917725,0.733189046382904,0.3235042691230774,0.2626241147518158,0.535392165184021,0.2408624291419983,1.0,0.16253972053527832,0.4158564507961273,1.0,0.33604270219802856,0.22068053483963013
world,0.21669597923755646,0.24458536505699158,0.15716314315795898,0.26203233003616333,0.22969414293766022,0.07261689007282257,0.2828933000564575,0.2260333001613617,0.20592568814754486,0.26213452219963074,0.21357716619968414,0.33604270219802856,0.14277876913547516,0.3657597303390503,0.33604270219802856,1.0000001192092896,0.17579582333564758
methodist,0.17637217044830322,0.14683330059051514,0.12909115850925446,0.4631935954093933,0.18875856697559357,0.1292622834444046,0.28458893299102783,0.14466503262519836,0.5514780282974243,0.21503986418247223,0.17633365094661713,0.21922016143798828,0.375629186630249,0.1937403678894043,0.21922016143798828,0.09401881694793701,0.1436992734670639
council,0.16933071613311768,0.2196589708328247,0.13216540217399597,0.27353736758232117,0.19795598089694977,0.09793567657470703,0.2972237169742584,0.16292308270931244,0.3425333797931671,0.23829470574855804,0.22395922243595123,0.2829204201698303,0.19785696268081665,0.15285101532936096,0.2829204201698303,0.17487794160842896,0.1160062924027443
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3189717233181,0.2809832692146301,0.21667295694351196,0.4946078956127167,0.30093157291412354,0.247207909822464,0.44245919585227966,0.27121588587760925,0.4933079481124878,0.19893822073936462,0.22385434806346893,0.4933079481124878,0.26091980934143066,0.31091248989105225
an,0.2821882665157318,0.4654068350791931,1.0,0.19150035083293915,0.1671597808599472,0.1331782042980194,0.32280945777893066,0.20065057277679443,0.09751348942518234,0.3138085603713989,0.17434252798557281,0.4207492768764496,0.1147264689207077,0.14042221009731293,0.4207492768764496,0.15716314315795898,0.19793890416622162
interdenominational,0.30057504773139954,0.28088274598121643,0.19150035083293915,1.0,0.32065969705581665,0.21575619280338287,0.3542567789554596,0.34075137972831726,0.5186764001846313,0.28269439935684204,0.3274354934692383,0.3046874403953552,0.33530154824256897,0.26472797989845276,0.3046874403953552,0.26203233003616333,0.3152935802936554
