,what,was,the,attack,on,the,british,weakness,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.1944931447505951,0.46853652596473694,0.6662389636039734,0.23084034025669098,0.18577663600444794,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2508925497531891,0.5107308030128479,1.0,0.28973397612571716,0.29792749881744385,0.22068053483963013
march,0.20529508590698242,0.4297752380371094,0.2680487632751465,0.2233724296092987,0.33868420124053955,0.2680487632751465,0.25463518500328064,0.1456429362297058,0.2802562415599823
battle,0.17112864553928375,0.23319749534130096,0.2820790410041809,0.33762338757514954,0.19314859807491302,0.2820790410041809,0.17756831645965576,0.24269935488700867,0.1680624783039093
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.20644454658031464,0.3966929316520691,0.733189046382904,0.23701532185077667,0.2845829725265503,0.1826142966747284
fort,0.19451747834682465,0.30989983677864075,0.2420126497745514,0.22204704582691193,0.2436540275812149,0.2420126497745514,0.2695907950401306,0.0648871660232544,0.15686731040477753
bull,0.1302551031112671,0.16848286986351013,0.23564068973064423,0.15509769320487976,0.11956887692213058,0.23564068973064423,0.08642450720071793,0.11094441264867783,0.12595409154891968
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.29392024874687195,0.49057599902153015,0.4933079481124878,0.25734075903892517,0.2162320762872696,0.31091248989105225
french,0.17393042147159576,0.2523815333843231,0.2555147111415863,0.17181217670440674,0.1382952481508255,0.2555147111415863,0.43574923276901245,0.11100991070270538,0.1386883556842804
forces,0.2112482488155365,0.22620010375976562,0.3134811818599701,0.3849691152572632,0.220676988363266,0.3134811818599701,0.23148047924041748,0.3001062273979187,0.16984491050243378
destroyed,0.19114850461483002,0.3184264302253723,0.3403017520904541,0.30653032660484314,0.22352316975593567,0.3403017520904541,0.10428076237440109,0.21645231544971466,0.10318030416965485
the,0.42745697498321533,0.48711544275283813,1.0,0.2508925497531891,0.5107308030128479,1.0,0.28973397612571716,0.29792749881744385,0.22068053483963013
fort,0.19451747834682465,0.30989983677864075,0.2420126497745514,0.22204704582691193,0.2436540275812149,0.2420126497745514,0.2695907950401306,0.0648871660232544,0.15686731040477753
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.24922382831573486,0.4077630043029785,0.5171257257461548,0.325880765914917,0.23897995054721832,0.20544172823429108
large,0.2017821967601776,0.21717436611652374,0.3828733265399933,0.19168433547019958,0.23191727697849274,0.3828733265399933,0.1757306456565857,0.11359606683254242,0.1355665624141693
quantities,0.22645783424377441,0.1631752997636795,0.2321729063987732,0.11996527016162872,0.18899288773536682,0.2321729063987732,0.17815986275672913,0.2479335516691208,0.18230070173740387
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.20644454658031464,0.3966929316520691,0.733189046382904,0.23701532185077667,0.2845829725265503,0.1826142966747284
supplies,0.16484728455543518,0.2477492392063141,0.31027752161026,0.23009823262691498,0.20651875436306,0.31027752161026,0.22382618486881256,0.21195441484451294,0.08799431473016739
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.29392024874687195,0.49057599902153015,0.4933079481124878,0.25734075903892517,0.2162320762872696,0.31091248989105225
including,0.18328791856765747,0.21884717047214508,0.3738902807235718,0.16040198504924774,0.324923574924469,0.3738902807235718,0.24625439941883087,0.16979274153709412,0.1633303165435791
"45,000",0.018050413578748703,0.06402032822370529,0.1375281810760498,0.21517692506313324,0.11838939040899277,0.1375281810760498,0.0728403851389885,0.13948321342468262,0.03222159296274185
pounds,0.16925819218158722,0.22008460760116577,0.18430368602275848,0.11668367683887482,0.14947298169136047,0.18430368602275848,0.21187831461429596,0.1531180590391159,0.1807934194803238
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.20644454658031464,0.3966929316520691,0.733189046382904,0.23701532185077667,0.2845829725265503,0.1826142966747284
gunpowder,0.19863209128379822,0.2553912103176117,0.2436419129371643,0.21549446880817413,0.1617651879787445,0.2436419129371643,0.2008967250585556,0.14325499534606934,0.18636876344680786
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.3003302216529846,0.49257001280784607,0.5934505462646484,0.23159366846084595,0.19079481065273285,0.4130953550338745
