,which,team,won,super,bowl,50,.
the,0.6521818041801453,0.22564226388931274,0.29432493448257446,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.5934505462646484
american,0.16603466868400574,0.11424583196640015,0.2515941262245178,0.13530968129634857,0.16529959440231323,-0.01108962669968605,0.29108086228370667
football,0.18762435019016266,0.5201307535171509,0.25430577993392944,0.295350581407547,0.3109349310398102,-0.06365623325109482,0.2514924108982086
conference,0.178037628531456,0.27145183086395264,0.18283259868621826,0.20312196016311646,0.283403605222702,0.0753558799624443,0.1982354372739792
(,0.2589828372001648,0.1808312088251114,0.25702881813049316,0.17553061246871948,0.15949074923992157,0.03192463144659996,0.5072786808013916
afc,0.17550261318683624,0.40331706404685974,0.34282955527305603,0.37206512689590454,0.41199249029159546,0.07724300771951675,0.28921979665756226
),0.2758678197860718,0.18319997191429138,0.255226194858551,0.1971341073513031,0.16361013054847717,-0.0024984623305499554,0.5363735556602478
champion,0.13563957810401917,0.41956013441085815,0.4828086793422699,0.3463263213634491,0.34389644861221313,0.0722193643450737,0.21011604368686676
denver,0.12987183034420013,0.18347741663455963,0.1950361430644989,0.24589714407920837,0.2861449718475342,0.03614028915762901,0.2573630213737488
broncos,0.22873279452323914,0.32797038555145264,0.29654255509376526,0.36141330003738403,0.4351775348186493,0.055216576904058456,0.2612393796443939
defeated,0.1519288420677185,0.2748386263847351,0.4306989014148712,0.22541621327400208,0.24224305152893066,0.06455407291650772,0.2081184983253479
the,0.6521818041801453,0.22564226388931274,0.29432493448257446,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.5934505462646484
national,0.28337109088897705,0.379366934299469,0.24765413999557495,0.2390993982553482,0.2769610285758972,0.0077375201508402824,0.29436907172203064
football,0.18762435019016266,0.5201307535171509,0.25430577993392944,0.295350581407547,0.3109349310398102,-0.06365623325109482,0.2514924108982086
conference,0.178037628531456,0.27145183086395264,0.18283259868621826,0.20312196016311646,0.283403605222702,0.0753558799624443,0.1982354372739792
(,0.2589828372001648,0.1808312088251114,0.25702881813049316,0.17553061246871948,0.15949074923992157,0.03192463144659996,0.5072786808013916
nfc,0.26508596539497375,0.4356997609138489,0.30012038350105286,0.373574823141098,0.47588562965393066,0.017712999135255814,0.23085859417915344
),0.2758678197860718,0.18319997191429138,0.255226194858551,0.1971341073513031,0.16361013054847717,-0.0024984623305499554,0.5363735556602478
champion,0.13563957810401917,0.41956013441085815,0.4828086793422699,0.3463263213634491,0.34389644861221313,0.0722193643450737,0.21011604368686676
carolina,0.16939401626586914,0.14482109248638153,0.1638120710849762,0.12624233961105347,0.2087959349155426,-0.029075996950268745,0.2702518403530121
panthers,0.2003214955329895,0.333659291267395,0.26923418045043945,0.27118441462516785,0.34713199734687805,0.10408550500869751,0.23446570336818695
24–10,0.0026488325092941523,-0.03587226942181587,0.11788803339004517,0.010416935198009014,0.08119672536849976,-0.010570821352303028,0.15203887224197388
to,0.5345056653022766,0.23889471590518951,0.1945943981409073,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.4645031690597534
earn,0.20343177020549774,0.22281768918037415,0.3681291937828064,0.17858323454856873,0.1886933445930481,0.08751052618026733,0.22682331502437592
their,0.4582767188549042,0.20038257539272308,0.1798611581325531,0.14342328906059265,0.1663845032453537,0.06537782400846481,0.34427863359451294
third,0.29048746824264526,0.2141726166009903,0.28600990772247314,0.25203296542167664,0.16511911153793335,0.09091969579458237,0.3039522171020508
super,0.25759580731391907,0.23339706659317017,0.23658764362335205,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.2757420241832733
bowl,0.23468568921089172,0.20460736751556396,0.2380966693162918,0.4848237931728363,1.0,0.005446359980851412,0.21516893804073334
title,0.22373083233833313,0.1845584511756897,0.27001631259918213,0.22950704395771027,0.21912378072738647,0.0812186673283577,0.26782113313674927
.,0.45942068099975586,0.26467522978782654,0.3011801838874817,0.2757420241832733,0.21516893804073334,0.04325474053621292,1.0000001192092896
