,what,did,john,dunn,invent,?
john,0.18237407505512238,0.18785913288593292,1.0000001192092896,0.34857791662216187,0.14274442195892334,0.13162356615066528
dunn,0.11816656589508057,0.1658296138048172,0.34857791662216187,0.9999999403953552,0.1418810337781906,0.207346573472023
",",0.3087472915649414,0.3015086054801941,0.23961079120635986,0.28081586956977844,0.1828853040933609,0.31091248989105225
inventor,0.1433403640985489,0.14229783415794373,0.256691575050354,0.20441342890262604,0.7599366903305054,0.1474177986383438
of,0.33290785551071167,0.2513895630836487,0.2407056987285614,0.1330581158399582,0.13912974298000336,0.1826142966747284
keyed,0.24245548248291016,0.2110157310962677,0.16351445019245148,0.13727730512619019,0.18404936790466309,0.21338117122650146
northumbrian,0.19740623235702515,0.2237088531255722,0.27894821763038635,0.20832742750644684,0.18968649208545685,0.14788129925727844
smallpipes,0.28020861744880676,0.29687240719795227,0.2148609608411789,0.23173987865447998,0.2765776813030243,0.27742627263069153
",",0.3087472915649414,0.3015086054801941,0.23961079120635986,0.28081586956977844,0.1828853040933609,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,0.2230520099401474,0.18453988432884216,0.12605838477611542,0.22068053483963013
most,0.3219912350177765,0.2822507321834564,0.11307311803102493,0.058383721858263016,0.16954189538955688,0.2107497900724411
characteristic,0.2773447632789612,0.17582112550735474,0.04754649102687836,0.05723801255226135,0.166415736079216,0.12125537544488907
musical,0.22908931970596313,0.16869671642780304,0.0832933783531189,0.08966241776943207,0.2013934850692749,0.187048077583313
instrument,0.26433292031288147,0.21325770020484924,0.1479342132806778,0.09807821363210678,0.3407074213027954,0.14794185757637024
in,0.30808621644973755,0.2593238651752472,0.22177861630916595,0.20591378211975098,0.17169365286827087,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.2230520099401474,0.18453988432884216,0.12605838477611542,0.22068053483963013
region,0.2298986315727234,0.06474873423576355,0.10369493812322617,0.05821724236011505,0.044280726462602615,0.13441751897335052
",",0.3087472915649414,0.3015086054801941,0.23961079120635986,0.28081586956977844,0.1828853040933609,0.31091248989105225
lived,0.18411467969417572,0.2549818158149719,0.15709470212459564,0.2097010463476181,0.14880463480949402,0.1798510104417801
and,0.31309178471565247,0.34479495882987976,0.21634717285633087,0.3299883008003235,0.1164553090929985,0.20544172823429108
worked,0.168898344039917,0.3377852141857147,0.215438112616539,0.19701038300991058,0.2397085428237915,0.0901828184723854
in,0.30808621644973755,0.2593238651752472,0.22177861630916595,0.20591378211975098,0.17169365286827087,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.2230520099401474,0.18453988432884216,0.12605838477611542,0.22068053483963013
city,0.17493832111358643,0.12266099452972412,0.1452411711215973,0.16642147302627563,0.07110784202814102,0.13423943519592285
.,0.3567904531955719,0.35288307070732117,0.26428887248039246,0.283163458108902,0.18691621720790863,0.4130953550338745
