,geoglyphs,dating,to,what,period,were,found,in,deforested,land,along,the,amazon,river,?
since,0.13051959872245789,0.2840975224971771,0.3733763098716736,0.29783400893211365,0.27205467224121094,0.3373812139034271,0.1931115686893463,0.4325680434703827,0.26276519894599915,0.17275309562683105,0.17021682858467102,0.4054957628250122,0.044190503656864166,0.14252382516860962,0.2876587212085724
the,0.28739407658576965,0.23401090502738953,0.535392165184021,0.42745697498321533,0.3125074505805969,0.3906462490558624,0.3452354073524475,0.6662389636039734,0.2549322545528412,0.28587454557418823,0.39495137333869934,1.0,0.260541707277298,0.2894456386566162,0.22068053483963013
1970s,-0.01895171031355858,-0.01628154329955578,0.06756533682346344,-0.020239217206835747,0.025706563144922256,0.08689665049314499,0.03723381087183952,0.057396724820137024,0.0057392604649066925,-0.006001595873385668,-0.013446697033941746,0.004102230537682772,0.05962200462818146,-0.02567339316010475,0.03861190751194954
",",0.24075524508953094,0.2450258880853653,0.44245919585227966,0.3087472915649414,0.25030651688575745,0.36755475401878357,0.27385151386260986,0.5201468467712402,0.31387853622436523,0.22220008075237274,0.29824912548065186,0.4933079481124878,0.2214922308921814,0.26637205481529236,0.31091248989105225
numerous,0.23369291424751282,0.22608482837677002,0.23493526875972748,0.1867249608039856,0.19472281634807587,0.38886791467666626,0.21403402090072632,0.30740252137184143,0.22531510889530182,0.17109358310699463,0.24003715813159943,0.3353725075721741,0.20288096368312836,0.11780849099159241,0.0875130444765091
geoglyphs,1.0,0.28627198934555054,0.20707105100154877,0.27937066555023193,0.3075212836265564,0.23081722855567932,0.2738480567932129,0.19653896987438202,0.23187406361103058,0.2769302725791931,0.2247992753982544,0.28739407658576965,0.31580930948257446,0.3014454245567322,0.21607805788516998
have,0.32899144291877747,0.252057284116745,0.4544740617275238,0.39808809757232666,0.24354155361652374,0.5193349123001099,0.32803434133529663,0.36843645572662354,0.27589336037635803,0.24725517630577087,0.2685122489929199,0.40389683842658997,0.20372521877288818,0.11765187978744507,0.32991164922714233
been,0.2337958961725235,0.27349013090133667,0.34945759177207947,0.2567804455757141,0.22201748192310333,0.5062422156333923,0.3022008240222931,0.3515113592147827,0.27984166145324707,0.17860938608646393,0.235473170876503,0.3563927710056305,0.13283225893974304,0.1514108031988144,0.24354910850524902
discovered,0.2759598195552826,0.3393344581127167,0.17764629423618317,0.19526781141757965,0.23304255306720734,0.29743650555610657,0.4998607039451599,0.2801778018474579,0.34884732961654663,0.09164997935295105,0.23788847029209137,0.27493247389793396,0.20010435581207275,0.12460961937904358,0.08452875912189484
on,0.20877650380134583,0.13376538455486298,0.41031414270401,0.34226128458976746,0.16633686423301697,0.2774328887462616,0.2337699830532074,0.46853652596473694,0.2054160088300705,0.2075873464345932,0.41361382603645325,0.5107308030128479,0.27227091789245605,0.2033996731042862,0.2714994251728058
deforested,0.23187406361103058,0.18135903775691986,0.23819011449813843,0.20958958566188812,0.1587834656238556,0.2920254170894623,0.2922305464744568,0.2786075472831726,0.9999999403953552,0.35675618052482605,0.28255656361579895,0.2549322545528412,0.2873900830745697,0.3106537163257599,0.14068925380706787
land,0.2769302725791931,0.05360785871744156,0.2885280251502991,0.23411516845226288,0.19874846935272217,0.27322420477867126,0.1589217334985733,0.22871792316436768,0.35675618052482605,1.0000001192092896,0.17430128157138824,0.28587454557418823,0.18616637587547302,0.27846759557724,0.1432059109210968
dating,0.28627198934555054,0.9999999403953552,0.17611581087112427,0.19090399146080017,0.31831052899360657,0.21325208246707916,0.2838641107082367,0.2300887107849121,0.18135903775691986,0.05360785871744156,0.1146119087934494,0.23401090502738953,0.04739570990204811,0.06733045727014542,0.1135709211230278
between,0.18767867982387543,0.19475068151950836,0.3639189600944519,0.2462156116962433,0.2825007140636444,0.27047741413116455,0.17483356595039368,0.41100412607192993,0.1557106077671051,0.1967475861310959,0.3784843385219574,0.39067012071609497,0.12149064987897873,0.11233054101467133,0.12887074053287506
