,what,was,the,name,of,du,pont,'s,gunpowder,operation,?
du,0.10019232332706451,0.14861533045768738,0.22366085648536682,0.11224523186683655,0.19881431758403778,1.0000001192092896,0.506618082523346,0.10915599763393402,0.20674288272857666,0.11632364243268967,0.155681312084198
pont,0.15612657368183136,0.18593241274356842,0.2215055376291275,0.13945534825325012,0.188912495970726,0.506618082523346,1.0000001192092896,0.15149997174739838,0.18339891731739044,0.15133684873580933,0.21644508838653564
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.2132224291563034,0.250752329826355,-0.0016132977325469255,0.2027875781059265,0.24555085599422455,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.20477020740509033,0.21915028989315033,0.04866964742541313,0.250070720911026,0.22423553466796875,0.23916715383529663
former,0.13598288595676422,0.2544213533401489,0.2251449078321457,0.18270879983901978,0.30415382981300354,0.13527555763721466,0.17395606637001038,0.032462362200021744,0.05908532813191414,0.11341491341590881,0.10570605844259262
student,0.20548318326473236,0.26442357897758484,0.21259291470050812,0.07360304892063141,0.20310284197330475,0.09119398146867752,0.11149074137210846,0.018150636926293373,0.22274565696716309,0.136698380112648,0.13282090425491333
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.19881431758403778,0.188912495970726,-0.03817026689648628,0.24691924452781677,0.259731262922287,0.1826142966747284
lavoisier,0.20517738163471222,0.29939597845077515,0.2755334973335266,0.18948547542095184,0.2657543122768402,0.3728458881378174,0.44705429673194885,-0.00664711557328701,0.2892002761363983,0.21755880117416382,0.14628292620182037
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.2132224291563034,0.250752329826355,-0.0016132977325469255,0.2027875781059265,0.24555085599422455,0.31091248989105225
established,0.14869536459445953,0.26515325903892517,0.33092597126960754,0.1540020853281021,0.2735237777233124,0.08541027456521988,0.09051253646612167,-0.05163693428039551,0.07677476853132248,0.14446915686130524,0.15917523205280304
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,0.22366085648536682,0.2215055376291275,-0.01540423184633255,0.2436419129371643,0.2985492944717407,0.22068053483963013
eleutherian,0.19324569404125214,0.21459126472473145,0.2550998628139496,0.2585065960884094,0.2708485722541809,0.17830008268356323,0.21224245429039001,0.09126073122024536,0.09344533830881119,0.13962264358997345,0.15833860635757446
gunpowder,0.19863209128379822,0.2553912103176117,0.2436419129371643,0.06140568479895592,0.24691924452781677,0.20674288272857666,0.18339891731739044,-0.04025048762559891,0.9999999403953552,0.22338998317718506,0.18636876344680786
mills,0.11937421560287476,0.20112526416778564,0.19292980432510376,0.14991019666194916,0.20120367407798767,0.1767982691526413,0.18485158681869507,0.00311061879619956,0.22425273060798645,0.07202623039484024,0.13688337802886963
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.20510727167129517,0.21248717606067657,-0.003708066651597619,0.204978346824646,0.21765126287937164,0.4130953550338745
