,when,did,photosynthetic,organisms,evolve,on,earth,?
free,0.25120967626571655,0.1839899867773056,0.2436971813440323,0.20693515241146088,0.11587801575660706,0.20887258648872375,0.1706184595823288,0.1278279572725296
oxygen,0.28107690811157227,0.15723921358585358,0.5653203129768372,0.42718103528022766,0.3130098879337311,0.2008662223815918,0.3065866231918335,0.16786395013332367
gas,0.2590837776660919,0.14743757247924805,0.3641115128993988,0.26666373014450073,0.19367754459381104,0.14262238144874573,0.2002556324005127,0.1582372784614563
was,0.37326499819755554,0.41399896144866943,0.14218483865261078,0.13126005232334137,0.12113098800182343,0.3909217119216919,0.18661361932754517,0.18412111699581146
almost,0.3277508616447449,0.29008886218070984,0.2426149845123291,0.2450101673603058,0.18818849325180054,0.3132628798484802,0.24033094942569733,0.1372147500514984
nonexistent,0.181376650929451,0.2126053273677826,0.2334332913160324,0.2400195449590683,0.27200594544410706,0.21124470233917236,0.17534494400024414,0.32814696431159973
in,0.4431333839893341,0.2593238651752472,0.23389901220798492,0.21345661580562592,0.16849663853645325,0.46853652596473694,0.18566735088825226,0.20430970191955566
earth,0.23456822335720062,0.15510493516921997,0.3761105239391327,0.3788684606552124,0.3018154501914978,0.20645220577716827,1.0,0.17717236280441284
's,-0.03368149697780609,0.05069678649306297,0.005246729589998722,0.04160294681787491,0.03452568128705025,0.0026888418942689896,0.0661235973238945,-0.023395681753754616
atmosphere,0.2594868540763855,0.1584479659795761,0.4373706579208374,0.3749786615371704,0.28467103838920593,0.20375999808311462,0.5628719925880432,0.15636961162090302
before,0.5650408267974854,0.33642593026161194,0.17247620224952698,0.15480655431747437,0.21719352900981903,0.3903424143791199,0.20864665508270264,0.2507109045982361
photosynthetic,0.25665542483329773,0.16752298176288605,0.9999999403953552,0.6155421733856201,0.3742358982563019,0.16515646874904633,0.3761105239391327,0.15254013240337372
archaea,0.1908753663301468,0.14620566368103027,0.5362494587898254,0.5583130121231079,0.36930719017982483,0.1492454558610916,0.2899288833141327,0.20809222757816315
and,0.4716290831565857,0.34479495882987976,0.24332784116268158,0.2444908618927002,0.23748697340488434,0.4077630043029785,0.27524080872535706,0.20544172823429108
bacteria,0.20949238538742065,0.1587878316640854,0.5420467853546143,0.6575207114219666,0.2608400285243988,0.1267084926366806,0.2161928117275238,0.18786604702472687
evolved,0.16948756575584412,0.20691414177417755,0.4128972887992859,0.46044376492500305,0.8124511241912842,0.19824178516864777,0.23333927989006042,0.1599971204996109
",",0.36674630641937256,0.3015086054801941,0.1952964812517166,0.20150232315063477,0.1798633337020874,0.49057599902153015,0.23186853528022766,0.31091248989105225
probably,0.3694952726364136,0.29997241497039795,0.23999111354351044,0.30325382947921753,0.2763086259365082,0.2655051350593567,0.24230632185935974,0.3524723947048187
about,0.3835894465446472,0.28723078966140747,0.18493735790252686,0.1900499165058136,0.21130216121673584,0.322975218296051,0.252605140209198,0.302409827709198
3.5,0.032404825091362,0.0012022986775264144,0.007638867013156414,-0.009857558645308018,-0.07823803275823593,-0.10235127061605453,-0.07537852227687836,-0.09453554451465607
billion,0.17189708352088928,0.1482735127210617,0.31006520986557007,0.26954299211502075,0.2065306007862091,0.15091213583946228,0.337089866399765,0.25791820883750916
years,0.3409145474433899,0.2695724070072174,0.2110598087310791,0.23434053361415863,0.22920680046081543,0.2152649462223053,0.2667286992073059,0.1914375126361847
ago,0.34233349561691284,0.19972491264343262,0.2874157130718231,0.2399907112121582,0.3073028028011322,0.2044028788805008,0.2885291278362274,0.2202194780111313
.,0.475719153881073,0.35288307070732117,0.24930793046951294,0.2715383470058441,0.250874400138855,0.49257001280784607,0.2542925775051117,0.4130953550338745
