,what,root,problem,can,cause,starch,buildup,?
the,0.42745697498321533,0.16797003149986267,0.24928659200668335,0.312528520822525,0.2551237642765045,0.25495320558547974,0.399291068315506,0.22068053483963013
starch,0.23971526324748993,0.3187050223350525,0.2319837510585785,0.3553079664707184,0.28419816493988037,1.0000001192092896,0.36239442229270935,0.1948019117116928
granules,0.1271534413099289,0.24829067289829254,0.19856292009353638,0.3582110106945038,0.35740962624549866,0.6108137369155884,0.40178513526916504,0.15524077415466309
displace,0.25660938024520874,0.17137034237384796,0.25471818447113037,0.2129867672920227,0.33316153287887573,0.20856566727161407,0.38976946473121643,0.1321750432252884
the,0.42745697498321533,0.16797003149986267,0.24928659200668335,0.312528520822525,0.2551237642765045,0.25495320558547974,0.399291068315506,0.22068053483963013
thylakoids,0.18655724823474884,0.23458541929721832,0.21202421188354492,0.3173975646495819,0.28266292810440063,0.5073124766349792,0.27115797996520996,0.17522360384464264
",",0.3087472915649414,0.21637433767318726,0.23938199877738953,0.3139454126358032,0.2546827793121338,0.2539854049682617,0.25140365958213806,0.31091248989105225
but,0.5029441118240356,0.1793096959590912,0.4038695693016052,0.4161612093448639,0.3522830903530121,0.2549003064632416,0.2865426540374756,0.27921953797340393
leave,0.3595171868801117,0.10640455037355423,0.2862001955509186,0.25126633048057556,0.26899453997612,0.14794690907001495,0.3012264668941498,0.23890845477581024
them,0.4994642734527588,0.1454295814037323,0.37214699387550354,0.4612884819507599,0.2911783456802368,0.35032400488853455,0.3000406324863434,0.35435691475868225
intact,0.2567657232284546,0.12552762031555176,0.25462180376052856,0.219455286860466,0.23237743973731995,0.21958228945732117,0.29439738392829895,0.1481182724237442
.,0.3567904531955719,0.2173004299402237,0.22562150657176971,0.35783761739730835,0.267557293176651,0.29690173268318176,0.3119821548461914,0.4130953550338745
