,universal,paid,for,the,secret,life,of,pets,and,which,other,film,trailer,?
fox,0.16137945652008057,0.08633742481470108,0.1993214637041092,0.24760441482067108,0.15301772952079773,0.19659210741519928,0.13095848262310028,0.24822431802749634,0.22043024003505707,0.19590693712234497,0.18333250284194946,0.25025081634521484,0.15135587751865387,0.1670110523700714
paid,0.1164514496922493,1.0,0.29203978180885315,0.22871042788028717,0.21787358820438385,0.18842549622058868,0.22769756615161896,0.19088652729988098,0.23595960438251495,0.21827414631843567,0.20844975113868713,0.11198428273200989,0.17094449698925018,0.20964482426643372
for,0.19553370773792267,0.29203978180885315,0.9999999403953552,0.4739971458911896,0.2010081261396408,0.244698166847229,0.4185989499092102,0.1955041140317917,0.5064792633056641,0.44095608592033386,0.3273986279964447,0.24293163418769836,0.1980103701353073,0.264628142118454
deadpool,0.22754280269145966,0.144717738032341,0.31429100036621094,0.3412702977657318,0.2855382263660431,0.2658633291721344,0.2362900674343109,0.23951028287410736,0.3149321973323822,0.34856897592544556,0.25995227694511414,0.37047070264816284,0.37386804819107056,0.24113722145557404
",",0.23720639944076538,0.18092423677444458,0.4464869201183319,0.4933079481124878,0.20687520503997803,0.24050940573215485,0.4946078956127167,0.20324310660362244,0.6633074283599854,0.3658004403114319,0.4446498453617096,0.2552308440208435,0.20151035487651825,0.31091248989105225
x-men,0.1149689257144928,0.26516199111938477,0.21549175679683685,0.27345529198646545,0.2465495765209198,0.15606316924095154,0.24411845207214355,0.2378954142332077,0.27407917380332947,0.21065284311771393,0.2668948769569397,0.19016054272651672,0.20309090614318848,0.14535854756832123
:,-0.04396766424179077,-0.031136125326156616,-0.02522280067205429,-0.03403344005346298,-0.11828507483005524,-0.13699789345264435,-0.08807745575904846,-0.10989157855510712,-0.04625999182462692,-0.11049769818782806,-0.0941355749964714,-0.0469588078558445,-0.10141312330961227,-0.07156077772378922
apocalypse,0.26508039236068726,0.08944745361804962,0.14751319587230682,0.3059094250202179,0.25460198521614075,0.2776894271373749,0.24439729750156403,0.1684872955083847,0.19618673622608185,0.25763556361198425,0.19613872468471527,0.28771981596946716,0.2384660392999649,0.21990230679512024
",",0.23720639944076538,0.18092423677444458,0.4464869201183319,0.4933079481124878,0.20687520503997803,0.24050940573215485,0.4946078956127167,0.20324310660362244,0.6633074283599854,0.3658004403114319,0.4446498453617096,0.2552308440208435,0.20151035487651825,0.31091248989105225
independence,0.2458323836326599,0.15877754986286163,0.1525467187166214,0.2836182415485382,0.15854837000370026,0.09957506507635117,0.2965129017829895,0.08759261667728424,0.19334110617637634,0.21886801719665527,0.1846928894519806,0.10933595895767212,0.09794473648071289,0.12301119416952133
