,what,is,the,proprietary,system,that,sky+hd,uses,?
interactive,0.2204633206129074,0.2058257758617401,0.21269570291042328,0.3391798436641693,0.2671290934085846,0.21348004043102264,0.3137596845626831,0.23256036639213562,0.15266580879688263
services,0.16048473119735718,0.2128378003835678,0.2381475418806076,0.3718014061450958,0.2635749876499176,0.2574901282787323,0.3046592175960541,0.2710663974285126,0.1328447163105011
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22124436497688293,0.231138214468956,0.4731321930885315,0.2721347510814667,0.2964407801628113,0.20544172823429108
7-day,0.2702717185020447,0.16967810690402985,0.20001542568206787,0.1756044179201126,0.1515401005744934,0.3340654671192169,0.2526393532752991,0.1518872082233429,0.20059072971343994
epg,0.22331632673740387,0.2193833440542221,0.29304635524749756,0.24514265358448029,0.31632235646247864,0.22494834661483765,0.2975752353668213,0.16061139106750488,0.23839257657527924
use,0.3453877568244934,0.3357410430908203,0.34342584013938904,0.3569185137748718,0.32895785570144653,0.3939064145088196,0.19209875166416168,0.6821471452713013,0.32795652747154236
the,0.42745697498321533,0.5823672413825989,1.0,0.26915648579597473,0.3233085572719574,0.5473989248275757,0.3039562702178955,0.2830192744731903,0.22068053483963013
proprietary,0.23492130637168884,0.2569493055343628,0.26915648579597473,1.0000001192092896,0.318156898021698,0.2951420545578003,0.21516741812229156,0.326577752828598,0.17883402109146118
opentv,0.20302939414978027,0.19706571102142334,0.19567207992076874,0.3689972758293152,0.1556822806596756,0.21830566227436066,0.3669472932815552,0.20115947723388672,0.34537047147750854
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.318156898021698,1.0000001192092896,0.3088737428188324,0.2058863639831543,0.296671062707901,0.15556083619594574
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.24479596316814423,0.18439900875091553,0.4137537479400635,0.28284984827041626,0.28387847542762756,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.1612684726715088,0.14296101033687592,0.4154358208179474,0.25748345255851746,0.2903013229370117,0.2433311939239502
set-top,0.33053141832351685,0.19197112321853638,0.24217815697193146,0.20206037163734436,0.18043296039104462,0.25684234499931335,0.2899589538574219,0.1888960301876068,0.2532500624656677
boxes,0.22161251306533813,0.20117680728435516,0.2145986557006836,0.1664043813943863,0.18703815340995789,0.22862164676189423,0.20041105151176453,0.23863691091537476,0.21614888310432434
including,0.18328791856765747,0.25093933939933777,0.3738902807235718,0.20647799968719482,0.14377175271511078,0.31577053666114807,0.18222548067569733,0.3125716745853424,0.1633303165435791
modems,0.2580239474773407,0.24964262545108795,0.2685663402080536,0.4565048813819885,0.38788726925849915,0.31919610500335693,0.34651777148246765,0.37275445461273193,0.21744856238365173
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.30299270153045654,0.2630598843097687,0.4137635827064514,0.2106488049030304,0.39873167872428894,0.264628142118454
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.23901624977588654,0.2589043080806732,0.47537946701049805,0.2503020167350769,0.35566505789756775,0.23916715383529663
return,0.18344242870807648,0.16104018688201904,0.2543797492980957,0.12129214406013489,0.08690189570188522,0.2386225014925003,0.14247366786003113,0.16256937384605408,0.14655634760856628
path,0.25106123089790344,0.19813401997089386,0.21527591347694397,0.15616197884082794,0.18489401042461395,0.24823515117168427,0.2008400410413742,0.18581967055797577,0.12429215013980865
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.19811056554317474,0.2277725487947464,0.4460422694683075,0.2952575385570526,0.30030930042266846,0.4130953550338745
