,who,long,was,the,broadcast,delay,claimed,to,be,the,first,time,the,series,premiered,?
it,0.2868398427963257,0.34568047523498535,0.4577186405658722,0.6251175999641418,0.24714356660842896,0.2143334448337555,0.21661654114723206,0.513711154460907,0.5203388929367065,0.6251175999641418,0.3491429388523102,0.3375589847564697,0.6251175999641418,0.20531252026557922,0.27528926730155945,0.25732165575027466
has,0.2558172643184662,0.2952231168746948,0.40313825011253357,0.4177538752555847,0.17970146238803864,0.13389690220355988,0.21875758469104767,0.3619994819164276,0.3863394856452942,0.4177538752555847,0.28288596868515015,0.25164222717285156,0.4177538752555847,0.16834278404712677,0.13089430332183838,0.15994466841220856
been,0.3295723795890808,0.3324016332626343,0.518218457698822,0.3563927710056305,0.18831424415111542,0.23748835921287537,0.30681607127189636,0.34945759177207947,0.5304332375526428,0.3563927710056305,0.32745984196662903,0.3667145073413849,0.3563927710056305,0.24386771023273468,0.19914869964122772,0.24354910850524902
claimed,0.32327672839164734,0.1532471477985382,0.32895320653915405,0.2761930227279663,0.19262492656707764,0.1657322347164154,1.0,0.2575981914997101,0.22778548300266266,0.2761930227279663,0.24460621178150177,0.25433099269866943,0.2761930227279663,0.12136606872081757,0.19333237409591675,0.2083493024110794
that,0.45444270968437195,0.34424030780792236,0.33670201897621155,0.5473989248275757,0.267183780670166,0.34386560320854187,0.38060468435287476,0.5436353087425232,0.6036020517349243,0.5473989248275757,0.3482176661491394,0.388528436422348,0.5473989248275757,0.24595457315444946,0.20893624424934387,0.32716336846351624
the,0.3733934462070465,0.3075225353240967,0.48711544275283813,1.0,0.2713715434074402,0.2607918381690979,0.2761930227279663,0.535392165184021,0.4248143136501312,1.0,0.49448907375335693,0.43061500787734985,1.0,0.31376904249191284,0.2763466238975525,0.22068053483963013
transmission,0.1659122109413147,0.2131146788597107,0.1702040582895279,0.26124435663223267,0.327177494764328,0.289958655834198,0.12448879331350327,0.22681647539138794,0.19686271250247955,0.26124435663223267,0.24909992516040802,0.2507856786251068,0.26124435663223267,0.2518768906593323,0.2037733942270279,0.16372337937355042
of,0.2827862501144409,0.2567519545555115,0.4069072902202606,0.733189046382904,0.20155203342437744,0.19660267233848572,0.25888603925704956,0.41548454761505127,0.33904364705085754,0.733189046382904,0.3536086082458496,0.35127586126327515,0.733189046382904,0.22268271446228027,0.17575117945671082,0.1826142966747284
the,0.3733934462070465,0.3075225353240967,0.48711544275283813,1.0,0.2713715434074402,0.2607918381690979,0.2761930227279663,0.535392165184021,0.4248143136501312,1.0,0.49448907375335693,0.43061500787734985,1.0,0.31376904249191284,0.2763466238975525,0.22068053483963013
first,0.39065709710121155,0.23231349885463715,0.5022147297859192,0.49448907375335693,0.2604263722896576,0.22215960919857025,0.24460621178150177,0.3792489171028137,0.29818081855773926,0.49448907375335693,1.0,0.4013477563858032,0.49448907375335693,0.3264976441860199,0.3443596065044403,0.18701928853988647
episode,0.2015407234430313,0.1578792929649353,0.1706574261188507,0.25342556834220886,0.3553028106689453,0.24347448348999023,0.19107221066951752,0.25052839517593384,0.2390575110912323,0.25342556834220886,0.24243572354316711,0.28294599056243896,0.25342556834220886,0.4687832295894623,0.48305678367614746,0.23978739976882935
was,0.3318818509578705,0.1968146562576294,1.0000001192092896,0.48711544275283813,0.24068336188793182,0.22715745866298676,0.32895320653915405,0.3636345863342285,0.42228707671165466,0.48711544275283813,0.5022147297859192,0.3641340136528015,0.48711544275283813,0.2261398285627365,0.3313652276992798,0.18412111699581146
