,what,is,a,secondary,goal,of,pleading,not,guilty,?
steven,0.1722090095281601,0.15821102261543274,0.18639017641544342,0.061238862574100494,0.16985492408275604,0.20107577741146088,0.16976222395896912,0.1707698404788971,0.15143044292926788,0.10277901589870453
barkan,0.09688692539930344,0.18503019213676453,0.2086959332227707,0.16561630368232727,0.10498262941837311,0.2000858634710312,0.18101786077022552,0.10428370535373688,0.16779053211212158,0.12385564297437668
writes,0.31006428599357605,0.2639923393726349,0.25101935863494873,0.13607609272003174,0.16145820915699005,0.2183077037334442,0.2511642277240753,0.21386826038360596,0.2322007715702057,0.17896029353141785
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.1989964246749878,0.2496824711561203,0.41498205065727234,0.35620155930519104,0.6600887179374695,0.3181126117706299,0.32716336846351624
if,0.5277165174484253,0.30927813053131104,0.41272827982902527,0.21165785193443298,0.20990332961082458,0.2557544410228729,0.3750605285167694,0.6100378632545471,0.2373649775981903,0.4441644251346588
defendants,0.2779662609100342,0.218027263879776,0.2493535876274109,0.11573346704244614,0.24193359911441803,0.20012208819389343,0.5330396890640259,0.3440821170806885,0.5252792835235596,0.2534805238246918
plead,0.2829829156398773,0.13676275312900543,0.16376721858978271,0.13128761947155,0.15178456902503967,0.1669377088546753,0.8099702000617981,0.3233085572719574,0.5811393857002258,0.23760166764259338
not,0.5449194312095642,0.3776007890701294,0.3791346549987793,0.2397385537624359,0.22583067417144775,0.3307090103626251,0.36394715309143066,0.9999999403953552,0.31318390369415283,0.41942933201789856
guilty,0.2844175100326538,0.17789146304130554,0.18984173238277435,0.018431471660733223,0.14479990303516388,0.15539902448654175,0.5002273917198181,0.31318390369415283,0.9999999403953552,0.17103199660778046
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2158004194498062,0.2145523726940155,0.4946078956127167,0.27879762649536133,0.3769696354866028,0.23272031545639038,0.31091248989105225
``,0.008517155423760414,0.058766357600688934,0.07272057235240936,0.0480029322206974,0.01941765658557415,0.06780257821083069,0.1317407488822937,0.09406080842018127,-0.01962808147072792,0.0685480609536171
they,0.4431931674480438,0.330102801322937,0.3528250455856323,0.2186330109834671,0.18134628236293793,0.3426007330417633,0.21269962191581726,0.5804335474967957,0.2222183346748352,0.2753053903579712
must,0.30362528562545776,0.3093329071998596,0.3016769587993622,0.25053080916404724,0.24521934986114502,0.24322323501110077,0.3361043334007263,0.48002883791923523,0.20291917026042938,0.23707495629787445
decide,0.4684337377548218,0.2671701908111572,0.3188471794128418,0.15423284471035004,0.2640441656112671,0.2682307958602905,0.4077979326248169,0.4294470250606537,0.31102555990219116,0.35001131892204285
whether,0.5516265630722046,0.30252501368522644,0.38829004764556885,0.20682808756828308,0.18071489036083221,0.24392437934875488,0.3818340003490448,0.5590019822120667,0.25825831294059753,0.3150278329849243
their,0.35142919421195984,0.2101074606180191,0.29698723554611206,0.227782741189003,0.2400694042444229,0.4329940676689148,0.22249984741210938,0.4368778169155121,0.14438366889953613,0.1898253709077835
primary,0.2113915979862213,0.23824772238731384,0.23038449883460999,0.6853594779968262,0.16766726970672607,0.23414276540279388,0.1696527600288391,0.24001744389533997,0.08021466434001923,0.16286636888980865
goal,0.2571476101875305,0.20883920788764954,0.20853768289089203,0.10421369969844818,1.0000001192092896,0.1838325709104538,0.2364693135023117,0.22583067417144775,0.14479990303516388,0.1964566856622696
will,0.3510494530200958,0.3723262846469879,0.3401327431201935,0.19338317215442657,0.2331242561340332,0.2473582625389099,0.30717599391937256,0.5266793966293335,0.1877063363790512,0.35046905279159546
be,0.3929833769798279,0.4819129705429077,0.39883795380592346,0.18861138820648193,0.19475089013576508,0.33904364705085754,0.30127963423728943,0.5788898468017578,0.18981578946113586,0.3324260413646698
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.27947136759757996,0.37094977498054504,0.41548454761505127,0.36576491594314575,0.5149973034858704,0.1728491187095642,0.29463258385658264
win,0.15653561055660248,0.21301808953285217,0.2358047515153885,0.11015740036964417,0.3327437937259674,0.18048720061779022,0.319301038980484,0.22013457119464874,0.1465044766664505,0.1873117983341217
an,0.2821882665157318,0.4654068350791931,0.44552403688430786,0.14836344122886658,0.16866573691368103,0.32280945777893066,0.2688821256160736,0.3722182512283325,0.1951056718826294,0.19793890416622162
acquittal,0.23635438084602356,0.16603650152683258,0.24890100955963135,0.10532409697771072,0.1619010716676712,0.21401692926883698,0.5148088335990906,0.2741837799549103,0.5310446619987488,0.18193498253822327
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.25317713618278503,0.20885969698429108,0.5116966962814331,0.29147064685821533,0.39099299907684326,0.15852567553520203,0.20544172823429108
avoid,0.2615243196487427,0.2189902514219284,0.2583659291267395,0.1429462730884552,0.18189576268196106,0.22642050683498383,0.34792080521583557,0.41114541888237,0.19218504428863525,0.26885488629341125
imprisonment,0.16481763124465942,0.17076261341571808,0.20937210321426392,0.12666426599025726,0.17429165542125702,0.26023393869400024,0.44514456391334534,0.1804126501083374,0.486433207988739,0.13416679203510284
