,what,band,is,often,regarded,as,the,first,folk,metal,group,?
folk,0.20571109652519226,0.3478228449821472,0.18752248585224152,0.246781587600708,0.21364900469779968,0.18369601666927338,0.21019841730594635,0.15294571220874786,1.0000001192092896,0.3169485628604889,0.1856926530599594,0.16659963130950928
metal,0.1684471070766449,0.49296674132347107,0.2802240252494812,0.26413723826408386,0.2042451947927475,0.16926591098308563,0.22397266328334808,0.18083295226097107,0.3169485628604889,1.0,0.215323343873024,0.19767305254936218
band,0.21816317737102509,1.0000001192092896,0.1886248141527176,0.18685340881347656,0.11099208146333694,0.22726528346538544,0.25564542412757874,0.22108453512191772,0.3478228449821472,0.49296674132347107,0.323089063167572,0.1476995348930359
skyclad,0.2118310183286667,0.3219394087791443,0.2179710566997528,0.2061517834663391,0.18788579106330872,0.26390931010246277,0.3361929953098297,0.29920434951782227,0.20420682430267334,0.2983417809009552,0.30287665128707886,0.17037901282310486
",",0.3087472915649414,0.281078964471817,0.4691906273365021,0.24139221012592316,0.24524879455566406,0.48816442489624023,0.4933079481124878,0.34503069519996643,0.27747583389282227,0.22670342028141022,0.2809832692146301,0.31091248989105225
often,0.3849453330039978,0.18685340881347656,0.3856629431247711,1.0000001192092896,0.31482017040252686,0.405699223279953,0.38004449009895325,0.26239994168281555,0.246781587600708,0.26413723826408386,0.28262874484062195,0.23748154938220978
regarded,0.19386208057403564,0.11099208146333694,0.2792160212993622,0.31482017040252686,1.0,0.36671122908592224,0.28921735286712646,0.23552736639976501,0.21364900469779968,0.2042451947927475,0.17670531570911407,0.1741991639137268
as,0.31749409437179565,0.22726528346538544,0.43216490745544434,0.405699223279953,0.36671122908592224,1.0,0.48381632566452026,0.33842000365257263,0.18369601666927338,0.16926591098308563,0.2519444227218628,0.27043893933296204
the,0.42745697498321533,0.25564542412757874,0.5823672413825989,0.38004449009895325,0.28921735286712646,0.48381632566452026,1.0,0.49448907375335693,0.21019841730594635,0.22397266328334808,0.30795547366142273,0.22068053483963013
first,0.28086137771606445,0.22108453512191772,0.30889374017715454,0.26239994168281555,0.23552736639976501,0.33842000365257263,0.49448907375335693,1.0,0.15294571220874786,0.18083295226097107,0.2270493358373642,0.18701928853988647
folk,0.20571109652519226,0.3478228449821472,0.18752248585224152,0.246781587600708,0.21364900469779968,0.18369601666927338,0.21019841730594635,0.15294571220874786,1.0000001192092896,0.3169485628604889,0.1856926530599594,0.16659963130950928
metal,0.1684471070766449,0.49296674132347107,0.2802240252494812,0.26413723826408386,0.2042451947927475,0.16926591098308563,0.22397266328334808,0.18083295226097107,0.3169485628604889,1.0,0.215323343873024,0.19767305254936218
band,0.21816317737102509,1.0000001192092896,0.1886248141527176,0.18685340881347656,0.11099208146333694,0.22726528346538544,0.25564542412757874,0.22108453512191772,0.3478228449821472,0.49296674132347107,0.323089063167572,0.1476995348930359
",",0.3087472915649414,0.281078964471817,0.4691906273365021,0.24139221012592316,0.24524879455566406,0.48816442489624023,0.4933079481124878,0.34503069519996643,0.27747583389282227,0.22670342028141022,0.2809832692146301,0.31091248989105225
also,0.42747777700424194,0.23011170327663422,0.5012649297714233,0.5936985611915588,0.2937717139720917,0.5774298906326294,0.6021018624305725,0.43768298625946045,0.2509315609931946,0.22504600882530212,0.3116292357444763,0.21848613023757935
formed,0.15451857447624207,0.3981039226055145,0.22319979965686798,0.16682486236095428,0.15902435779571533,0.21414828300476074,0.28813210129737854,0.22088022530078888,0.1812586784362793,0.27015069127082825,0.34953606128692627,0.09686966985464096
in,0.30808621644973755,0.2001747488975525,0.5394441485404968,0.3380797803401947,0.22748704254627228,0.3887844979763031,0.6662389636039734,0.4127444326877594,0.21155992150306702,0.21532365679740906,0.2304753065109253,0.20430970191955566
newcastle,0.16276082396507263,0.22651119530200958,0.1841045320034027,0.1761261522769928,0.15816546976566315,0.21526619791984558,0.2253497689962387,0.2823651134967804,0.18429818749427795,0.15290477871894836,0.1983904093503952,0.0902252271771431
after,0.21973377466201782,0.2404910922050476,0.2835143506526947,0.21496504545211792,0.12301476299762726,0.3014480769634247,0.4565047025680542,0.42302387952804565,0.13589590787887573,0.16676528751850128,0.21563246846199036,0.16608688235282898
the,0.42745697498321533,0.25564542412757874,0.5823672413825989,0.38004449009895325,0.28921735286712646,0.48381632566452026,1.0,0.49448907375335693,0.21019841730594635,0.22397266328334808,0.30795547366142273,0.22068053483963013
break-up,0.298659086227417,0.33958739042282104,0.203465536236763,0.23167386651039124,0.12422247976064682,0.26355549693107605,0.32942548394203186,0.25717851519584656,0.23952165246009827,0.27437135577201843,0.26766306161880493,0.19662362337112427
of,0.33290785551071167,0.2142038196325302,0.4854315221309662,0.3351972997188568,0.3187633752822876,0.3886612355709076,0.733189046382904,0.3536086082458496,0.25145381689071655,0.20934239029884338,0.25542253255844116,0.1826142966747284
martin,0.14814218878746033,0.21965453028678894,0.17765893042087555,0.12547612190246582,0.04772358387708664,0.13608874380588531,0.22029393911361694,0.1735634207725525,0.1926775574684143,0.12797561287879944,0.18381460011005402,0.060103293508291245
walkyier,0.2759789824485779,0.27592936158180237,0.2913132309913635,0.3238179385662079,0.17374348640441895,0.297610342502594,0.3548159897327423,0.2957756817340851,0.2687566578388214,0.29965880513191223,0.24652934074401855,0.21478602290153503
thrash,0.2542869746685028,0.532359778881073,0.2050779014825821,0.25122904777526855,0.20916932821273804,0.15454955399036407,0.2495051473379135,0.13347138464450836,0.3369699716567993,0.6115847229957581,0.24741461873054504,0.20313555002212524
metal,0.1684471070766449,0.49296674132347107,0.2802240252494812,0.26413723826408386,0.2042451947927475,0.16926591098308563,0.22397266328334808,0.18083295226097107,0.3169485628604889,1.0,0.215323343873024,0.19767305254936218
band,0.21816317737102509,1.0000001192092896,0.1886248141527176,0.18685340881347656,0.11099208146333694,0.22726528346538544,0.25564542412757874,0.22108453512191772,0.3478228449821472,0.49296674132347107,0.323089063167572,0.1476995348930359
",",0.3087472915649414,0.281078964471817,0.4691906273365021,0.24139221012592316,0.24524879455566406,0.48816442489624023,0.4933079481124878,0.34503069519996643,0.27747583389282227,0.22670342028141022,0.2809832692146301,0.31091248989105225
sabbat,0.2034187614917755,0.30645468831062317,0.1752265840768814,0.1806822121143341,0.09987015277147293,0.1711096316576004,0.24132773280143738,0.1594437211751938,0.22255617380142212,0.24836641550064087,0.1440950483083725,0.21109558641910553
.,0.3567904531955719,0.26936691999435425,0.4569662809371948,0.30710849165916443,0.21672438085079193,0.515582263469696,0.5934505462646484,0.4345304071903229,0.21273191273212433,0.24715308845043182,0.27268800139427185,0.4130953550338745
