,when,was,newton,the,first,selection,in,the,nfl,draft,?
manning,0.23698855936527252,0.2607507109642029,0.31537702679634094,0.27058160305023193,0.28783273696899414,0.20637711882591248,0.22345924377441406,0.27058160305023193,0.41851508617401123,0.29614222049713135,0.15856626629829407
was,0.37326499819755554,1.0000001192092896,0.25264593958854675,0.48711544275283813,0.5022147297859192,0.18640951812267303,0.45514053106307983,0.48711544275283813,0.20145657658576965,0.22196774184703827,0.18412111699581146
the,0.5091903209686279,0.48711544275283813,0.1876603662967682,1.0,0.49448907375335693,0.26173123717308044,0.6662389636039734,1.0,0.15305201709270477,0.2136591076850891,0.22068053483963013
#,0.11634358018636703,0.15975844860076904,0.16112487018108368,0.24127686023712158,0.14546403288841248,0.0636182576417923,0.15086837112903595,0.24127686023712158,0.10203789919614792,0.1326262205839157,0.23921507596969604
1,-0.2683585286140442,-0.2275921255350113,-0.21369890868663788,-0.1554475575685501,-0.26829156279563904,-0.2778385877609253,-0.10660158097743988,-0.1554475575685501,-0.24205392599105835,-0.2553935647010803,-0.249979168176651
selection,0.19198103249073029,0.18640951812267303,0.16482582688331604,0.26173123717308044,0.2667909264564514,1.0,0.20567981898784637,0.26173123717308044,0.26464515924453735,0.28765392303466797,0.24161170423030853
of,0.3757161796092987,0.4069072902202606,0.18479612469673157,0.733189046382904,0.3536086082458496,0.253727525472641,0.5696388483047485,0.733189046382904,0.1524115800857544,0.1597527265548706,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.1876603662967682,1.0,0.49448907375335693,0.26173123717308044,0.6662389636039734,1.0,0.15305201709270477,0.2136591076850891,0.22068053483963013
1998,-0.02254817821085453,0.04920116811990738,-0.05959796905517578,-0.047468025237321854,-0.025406846776604652,-0.016462331637740135,-0.07160314172506332,-0.047468025237321854,-0.06900740414857864,0.03720373287796974,0.11714459210634232
nfl,0.13304822146892548,0.20145657658576965,0.2505591809749603,0.15305201709270477,0.15461091697216034,0.26464515924453735,0.12599408626556396,0.15305201709270477,1.0,0.4675278961658478,0.10610254108905792
draft,0.22716832160949707,0.22196774184703827,0.19785626232624054,0.2136591076850891,0.23240342736244202,0.28765392303466797,0.19735127687454224,0.2136591076850891,0.4675278961658478,0.9999999403953552,0.1941390335559845
",",0.36674630641937256,0.45456063747406006,0.2648763358592987,0.4933079481124878,0.34503069519996643,0.20986172556877136,0.5201468467712402,0.4933079481124878,0.18939071893692017,0.2209516018629074,0.31091248989105225
while,0.548916757106781,0.3253832161426544,0.1801067441701889,0.39804592728614807,0.30667605996131897,0.1226140633225441,0.3399278521537781,0.39804592728614807,0.11480259895324707,0.19970649480819702,0.21076419949531555
newton,0.16569024324417114,0.25264593958854675,1.0000001192092896,0.1876603662967682,0.2017267495393753,0.16482582688331604,0.23639483749866486,0.1876603662967682,0.2505591809749603,0.19785626232624054,0.09645649790763855
was,0.37326499819755554,1.0000001192092896,0.25264593958854675,0.48711544275283813,0.5022147297859192,0.18640951812267303,0.45514053106307983,0.48711544275283813,0.20145657658576965,0.22196774184703827,0.18412111699581146
picked,0.3510895371437073,0.26922017335891724,0.11323507875204086,0.32128480076789856,0.2950030267238617,0.2885422110557556,0.17203427851200104,0.32128480076789856,0.2857164442539215,0.43280717730522156,0.11181110143661499
first,0.4282494783401489,0.5022147297859192,0.2017267495393753,0.49448907375335693,1.0,0.2667909264564514,0.4127444326877594,0.49448907375335693,0.15461091697216034,0.23240342736244202,0.18701928853988647
in,0.4431333839893341,0.45514053106307983,0.23639483749866486,0.6662389636039734,0.4127444326877594,0.20567981898784637,1.0,0.6662389636039734,0.12599408626556396,0.19735127687454224,0.20430970191955566
2011,0.07140792906284332,-0.022202642634510994,-0.01159194577485323,0.07811610400676727,0.008425894193351269,0.052045788615942,0.08290185779333115,0.07811610400676727,0.039159614592790604,-0.0938880667090416,0.005212190095335245
.,0.475719153881073,0.40146201848983765,0.20699870586395264,0.5934505462646484,0.4345304071903229,0.24504819512367249,0.5591574311256409,0.5934505462646484,0.1964210718870163,0.22211715579032898,0.4130953550338745
