,when,was,the,settlement,which,would,become,warsaw,established,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2599570155143738,0.6521818041801453,0.4133751392364502,0.31731709837913513,0.23137180507183075,0.33092597126960754,0.22068053483963013
prince,0.16897666454315186,0.21743454039096832,0.24284426867961884,0.1665959507226944,0.15987098217010498,0.15222905576229095,0.16698263585567474,0.14949780702590942,0.11444839835166931,0.15431542694568634
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.25982165336608887,0.5011631846427917,0.3353942930698395,0.31678006052970886,0.19253842532634735,0.2735237777233124,0.1826142966747284
płock,0.2633691430091858,0.38092687726020813,0.38222333788871765,0.31541314721107483,0.28054279088974,0.1901291012763977,0.2440262883901596,0.4191743731498718,0.27218177914619446,0.2226855754852295
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.25103551149368286,0.3658004403114319,0.32586824893951416,0.29676204919815063,0.25300899147987366,0.22739723324775696,0.31091248989105225
bolesław,0.19585947692394257,0.24895334243774414,0.20948052406311035,0.19549551606178284,0.07769916951656342,0.20934316515922546,0.23129354417324066,0.5615204572677612,0.19941172003746033,0.22558791935443878
ii,0.26453444361686707,0.25630512833595276,0.2631464898586273,0.11703728884458542,0.20586715638637543,0.14788436889648438,0.1428542137145996,0.2033650428056717,0.11994921416044235,0.11928234249353409
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.25982165336608887,0.5011631846427917,0.3353942930698395,0.31678006052970886,0.19253842532634735,0.2735237777233124,0.1826142966747284
masovia,0.16209639608860016,0.2602479159832001,0.2862490713596344,0.3301641047000885,0.23414213955402374,0.11801481246948242,0.19695179164409637,0.5123679041862488,0.19640956819057465,0.12488449364900589
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.25103551149368286,0.3658004403114319,0.32586824893951416,0.29676204919815063,0.25300899147987366,0.22739723324775696,0.31091248989105225
established,0.18169470131397247,0.26515325903892517,0.33092597126960754,0.2832983136177063,0.26644110679626465,0.11141114681959152,0.20697630941867828,0.16576151549816132,0.9999998807907104,0.15917523205280304
this,0.4959332048892975,0.3638818562030792,0.6274310946464539,0.26537057757377625,0.6719430088996887,0.47797831892967224,0.32014283537864685,0.1978864073753357,0.2030201405286789,0.3155723512172699
settlement,0.20788389444351196,0.2632548213005066,0.2599570155143738,1.0,0.21023687720298767,0.18628086149692535,0.17476342618465424,0.15837286412715912,0.2832983136177063,0.12535437941551208
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.25103551149368286,0.3658004403114319,0.32586824893951416,0.29676204919815063,0.25300899147987366,0.22739723324775696,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.2599570155143738,0.6521818041801453,0.4133751392364502,0.31731709837913513,0.23137180507183075,0.33092597126960754,0.22068053483963013
modern-day,0.2607916295528412,0.3210471272468567,0.3206247389316559,0.26474323868751526,0.3324111998081207,0.2517545521259308,0.1875016838312149,0.228667214512825,0.22502289712429047,0.2257315069437027
warsaw,0.1615014374256134,0.2614976763725281,0.23137180507183075,0.15837286412715912,0.16906329989433289,0.18329472839832306,0.1807192862033844,1.0,0.16576151549816132,0.09769917279481888
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.25103551149368286,0.3658004403114319,0.32586824893951416,0.29676204919815063,0.25300899147987366,0.22739723324775696,0.31091248989105225
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.26083990931510925,0.4840516746044159,0.30461156368255615,0.23238378763198853,0.22642600536346436,0.3118882477283478,0.20430970191955566
about,0.3835894465446472,0.2577359974384308,0.37995871901512146,0.2369319051504135,0.4059852957725525,0.2849528193473816,0.21891550719738007,0.09913060814142227,0.14973650872707367,0.302409827709198
1300,0.001079911831766367,0.11682294309139252,-0.020564422011375427,0.004735738504678011,-0.11372505873441696,-0.02383250556886196,0.1397644281387329,-0.03532801941037178,0.022642426192760468,-0.06911228597164154
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.233600914478302,0.45942068099975586,0.35067233443260193,0.32859939336776733,0.26825499534606934,0.23771190643310547,0.4130953550338745
